month,day,price
july,1,3800
july,2,3800
july,3,3850
july,4,3850
july,5,3850
july,6,3850
july,7,3850
july,8,3900
july,9,3900
july,10,3900
july,11,3900
july,12,3900
july,13,3800
july,14,3800
july,15,3850
july,16,3800
july,17,3800
july,18,3800
july,19,3900
july,20,3900
july,1,4000
july,2,4000
july,3,4000
july,4,4000
july,5,4000
july,6,4000
july,7,4000
july,8,4000
july,9,4000
july,10,4000
july,11,4000
july,12,4000
july,13,4000
july,14,4000
july,15,4000
july,16,4000
july,17,4000
july,18,4000
july,19,4000
july,20,4000
july,1,5000
july,2,5000
july,3,5000
july,4,5000
july,5,5000
july,6,5000
july,7,5000
july,8,5000
july,9,5000
july,10,4800
july,11,4700
july,12,5000
july,13,5000
july,14,5000
july,15,4800
july,16,4800
july,17,4800
july,18,5000
july,19,5000
july,20,4800
july,1,4200
july,2,4200
july,3,4200
july,4,4200
july,5,4200
july,6,4200
july,7,4200
july,8,4200
july,9,4000
july,10,4200
july,11,4200
july,12,4320
july,13,4200
july,14,4200
july,15,4200
july,16,4200
july,17,4300
july,18,4200
july,19,4200
july,20,4200
july,1,5200
july,2,5400
july,3,5400
july,4,5400
july,5,5200
july,6,5200
july,7,5200
july,8,5200
july,9,5400
july,10,5200
july,11,5400
july,12,5300
july,13,5200
july,14,5400
july,15,5400
july,16,5200
july,17,5400
july,18,5400
july,19,5400
july,20,5400
