month,day,price
august,1,4100
august,2,4100
august,3,4100
august,4,4100
august,5,4100
august,6,4100
august,7,4100
august,8,4100
august,9,4100
august,10,4100
august,11,4100
august,12,4100
august,13,4100
august,14,4100
august,15,4100
august,16,4100
august,17,4100
august,18,4100
august,19,4100
august,20,4100
august,1,4100
august,2,4100
august,3,4100
august,4,4100
august,5,4100
august,6,4100
august,7,4100
august,8,4100
august,9,4100
august,10,4100
august,11,4100
august,12,4100
august,13,4100
august,14,4100
august,15,4100
august,16,4100
august,17,4100
august,18,4100
august,19,4100
august,20,4100
august,1,4320
august,2,4320
august,3,4320
august,4,4320
august,5,4320
august,6,4320
august,7,4320
august,8,4320
august,9,4320
august,10,4320
august,11,4320
august,12,4320
august,13,4320
august,14,4320
august,15,4320
august,16,4320
august,17,4320
august,18,4320
august,19,4320
august,20,4320
august,1,5300
august,2,5300
august,3,5300
august,4,5300
august,5,5300
august,6,5300
august,7,5300
august,8,5300
august,9,5300
august,10,5300
august,11,5300
august,12,5300
august,13,5300
august,14,5300
august,15,5300
august,16,5300
august,17,5300
august,18,5300
august,19,5300
august,20,5300
