month,day,price
feb,1,4050
feb,2,4050
feb,3,4050
feb,4,4050
feb,5,4050
feb,6,4050
feb,7,4050
feb,8,4050
feb,9,4050
feb,10,4050
feb,11,4050
feb,12,4050
feb,13,4050
feb,14,4050
feb,15,4050
feb,16,4050
feb,17,4050
feb,18,4050
feb,19,4050
feb,20,4050
feb,1,4100
feb,2,4100
feb,3,4100
feb,4,4100
feb,5,4100
feb,6,4100
feb,7,4100
feb,8,4100
feb,9,4100
feb,10,4100
feb,11,4100
feb,12,4100
feb,13,4100
feb,14,4100
feb,15,4100
feb,16,4100
feb,17,4100
feb,18,4100
feb,19,4100
feb,20,4100
feb,1,4100
feb,2,4100
feb,3,4100
feb,4,4100
feb,5,4100
feb,6,4100
feb,7,4100
feb,8,4100
feb,9,4100
feb,10,4100
feb,11,4100
feb,12,4100
feb,13,4100
feb,14,4100
feb,15,4100
feb,16,4100
feb,17,4100
feb,18,4100
feb,19,4100
feb,20,4100
feb,1,4320
feb,2,4320
feb,3,4320
feb,4,4320
feb,5,4320
feb,6,4320
feb,7,4320
feb,8,4320
feb,9,4320
feb,10,4320
feb,11,4320
feb,12,4320
feb,13,4320
feb,14,4320
feb,15,4320
feb,16,4320
feb,17,4320
feb,18,4320
feb,19,4320
feb,20,4320
feb,1,5300
feb,2,5300
feb,3,5300
feb,4,5300
feb,5,5300
feb,6,5300
feb,7,5300
feb,8,5300
feb,9,5300
feb,10,5300
feb,11,5300
feb,12,5300
feb,13,5300
feb,14,5300
feb,15,5300
feb,16,5300
feb,17,5300
feb,18,5300
feb,19,5300
feb,20,5300
