month,day,price
march,1,4050
march,2,4050
march,3,4050
march,4,4050
march,5,4050
march,6,4050
march,7,4050
march,8,4050
march,9,4050
march,10,4050
march,11,4050
march,12,4050
march,13,4050
march,14,4050
march,15,4050
march,16,4050
march,17,4050
march,18,4050
march,19,4050
march,20,4050
march,1,4100
march,2,4100
march,3,4100
march,4,4100
march,5,4100
march,6,4100
march,7,4100
march,8,4100
march,9,4100
march,10,4100
march,11,4100
march,12,4100
march,13,4100
march,14,4100
march,15,4100
march,16,4100
march,17,4100
march,18,4100
march,19,4100
march,20,4100
march,1,4100
march,2,4100
march,3,4100
march,4,4100
march,5,4100
march,6,4100
march,7,4100
march,8,4100
march,9,4100
march,10,4100
march,11,4100
march,12,4100
march,13,4100
march,14,4100
march,15,4100
march,16,4100
march,17,4100
march,18,4100
march,19,4100
march,20,4100
march,1,4320
march,2,4320
march,3,4320
march,4,4320
march,5,4320
march,6,4320
march,7,4320
march,8,4320
march,9,4320
march,10,4320
march,11,4320
march,12,4320
march,13,4320
march,14,4320
march,15,4320
march,16,4320
march,17,4320
march,18,4320
march,19,4320
march,20,4320
march,1,5300
march,2,5300
march,3,5300
march,4,5300
march,5,5300
march,6,5300
march,7,5300
march,8,5300
march,9,5300
march,10,5300
march,11,5300
march,12,5300
march,13,5300
march,14,5300
march,15,5300
march,16,5300
march,17,5300
march,18,5300
march,19,5300
march,20,5300
