month,day,price
may,1,4050
may,2,4050
may,3,4050
may,4,4050
may,5,4050
may,6,4050
may,7,4050
may,8,4050
may,9,4050
may,10,4050
may,11,4050
may,12,4050
may,13,4050
may,14,4050
may,15,4050
may,16,4050
may,17,4050
may,18,4100
may,19,4059
may,20,4018
may,1,4100
may,2,4100
may,3,4100
may,4,4100
may,5,4100
may,6,4100
may,7,4100
may,8,4100
may,9,4100
may,10,4100
may,11,4100
may,12,4100
may,13,4100
may,14,4100
may,15,4100
may,16,4100
may,17,4100
may,18,4100
may,19,4100
may,20,4100
may,1,4100
may,2,4100
may,3,4100
may,4,4100
may,5,4100
may,6,4100
may,7,4100
may,8,4100
may,9,4100
may,10,4100
may,11,4100
may,12,4100
may,13,4100
may,14,4100
may,15,4100
may,16,4100
may,17,4100
may,18,4100
may,19,4100
may,20,4100
may,1,4320
may,2,4320
may,3,4320
may,4,4320
may,5,4320
may,6,4320
may,7,4320
may,8,4320
may,9,4320
may,10,4320
may,11,4320
may,12,4320
may,13,4320
may,14,4320
may,15,4320
may,16,4320
may,17,4320
may,18,4320
may,19,4320
may,20,4320
may,1,5300
may,2,5300
may,3,5300
may,4,5300
may,5,5300
may,6,5300
may,7,5300
may,8,5300
may,9,5300
may,10,5300
may,11,5300
may,12,5300
may,13,5300
may,14,5300
may,15,5300
may,16,5300
may,17,5300
may,18,5300
may,19,5300
may,20,5300
