month,day,price
feb,1,5100
feb,2,5150
feb,3,5200
feb,4,5000
feb,5,4950
feb,6,4900
feb,7,4930
feb,8,4950
feb,9,4900
feb,10,4850
feb,11,4860
feb,12,4840
feb,13,4850
feb,14,4900
feb,15,4950
feb,16,5000
feb,17,4930
feb,18,4950
feb,19,4975
feb,20,4900
feb,1,4500
feb,2,4460
feb,3,4450
feb,4,4500
feb,5,4550
feb,6,4525
feb,7,4500
feb,8,4560
feb,9,4550
feb,10,4600
feb,11,4650
feb,12,4400
feb,13,4450
feb,14,4500
feb,15,4550
feb,16,4600
feb,17,4650
feb,18,4660
feb,19,4600
feb,20,4450
feb,1,3900
feb,2,3950
feb,3,4000
feb,4,3910
feb,5,3900
feb,6,3950
feb,7,3750
feb,8,3600
feb,9,3550
feb,10,3700
feb,11,3650
feb,12,3760
feb,13,3800
feb,14,3810
feb,15,3910
feb,16,3900
feb,17,3950
feb,18,3750
feb,19,3600
feb,20,3550
feb,1,4600
feb,2,4650
feb,3,4750
feb,4,4675
feb,5,4680
feb,6,4700
feb,7,4750
feb,8,4860
feb,9,4850
feb,10,4800
feb,11,4860
feb,12,4900
feb,13,4950
feb,14,5000
feb,15,4950
feb,16,4975
feb,17,4900
feb,18,4800
feb,19,4885
feb,20,4900
feb,1,4500
feb,2,4550
feb,3,4450
feb,4,4440
feb,5,4450
feb,6,4500
feb,7,4550
feb,8,4450
feb,9,4450
feb,10,4500
feb,11,4550
feb,12,4600
feb,13,4500
feb,14,4550
feb,15,4600
feb,16,4600
feb,17,4550
feb,18,4570
feb,19,4600
feb,20,4550
