month,day,price
jan,1,5450
jan,2,5350
jan,3,5100
jan,4,5200
jan,5,5150
jan,6,5130
jan,7,5100
jan,8,5200
jan,9,5250
jan,10,5260
jan,11,5200
jan,12,5150
jan,13,5180
jan,14,5050
jan,15,5100
jan,16,5150
jan,17,5050
jan,18,5100
jan,19,5125
jan,20,5100
jan,1,4480
jan,2,4550
jan,3,4600
jan,4,4650
jan,5,4700
jan,6,4680
jan,7,4700
jan,8,4750
jan,9,4700
jan,10,4650
jan,11,4600
jan,12,4630
jan,13,4500
jan,14,4450
jan,15,4400
jan,16,4500
jan,17,4450
jan,18,4350
jan,19,4400
jan,20,4450
jan,1,4700
jan,2,4800
jan,3,4700
jan,4,4500
jan,5,4350
jan,6,4400
jan,7,4450
jan,8,4500
jan,9,4550
jan,10,4400
jan,11,4300
jan,12,4350
jan,13,4400
jan,14,4300
jan,15,4400
jan,16,4300
jan,17,4360
jan,18,4100
jan,19,4000
jan,20,4100
jan,1,4100
jan,2,4050
jan,3,4000
jan,4,4100
jan,5,4150
jan,6,4200
jan,7,4150
jan,8,4300
jan,9,4275
jan,10,4250
jan,11,4280
jan,12,4350
jan,13,4450
jan,14,4400
jan,15,4400
jan,16,4425
jan,17,4550
jan,18,4250
jan,19,4280
jan,20,4350
jan,1,5500
jan,2,5550
jan,3,5600
jan,4,5650
jan,5,5700
jan,6,5600
jan,7,5650
jan,8,5640
jan,9,5400
jan,10,5450
jan,11,5300
jan,12,5150
jan,13,5000
jan,14,5100
jan,15,4900
jan,16,4850
jan,17,4950
jan,18,5000
jan,19,5050
jan,20,4850
