month,day,price
oct,1,5150
oct,2,5100
oct,3,5050
oct,4,5100
oct,5,5100
oct,6,5050
oct,7,5000
oct,8,4950
oct,9,5000
oct,10,5050
oct,11,5150
oct,12,5200
oct,13,5100
oct,14,5000
oct,15,4940
oct,16,4950
oct,17,4900
oct,18,4850
oct,19,4800
oct,20,4800
oct,1,4200
oct,2,4250
oct,3,4150
oct,4,4100
oct,5,4160
oct,6,4260
oct,7,4200
oct,8,4150
oct,9,4160
oct,10,4200
oct,11,4250
oct,12,4210
oct,13,4150
oct,14,4150
oct,15,4200
oct,16,4170
oct,17,4150
oct,18,4200
oct,19,4300
oct,20,4300
oct,1,4660
oct,2,4550
oct,3,4525
oct,4,4500
oct,5,4500
oct,6,4550
oct,7,4530
oct,8,4510
oct,9,4600
oct,10,4650
oct,11,4800
oct,12,4700
oct,13,4750
oct,14,4650
oct,15,4700
oct,16,4680
oct,17,4650
oct,18,4400
oct,19,4460
oct,20,4460
oct,1,4300
oct,2,4350
oct,3,4400
oct,4,4300
oct,5,4350
oct,6,4450
oct,7,4500
oct,8,4400
oct,9,4500
oct,10,4550
oct,11,4600
oct,12,4500
oct,13,4560
oct,14,4650
oct,15,4700
oct,16,4680
oct,17,4650
oct,18,4400
oct,19,4460
oct,20,4460
oct,1,5400
oct,2,5400
oct,3,5500
oct,4,5200
oct,5,5450
oct,6,5500
oct,7,5600
oct,8,5500
oct,9,5600
oct,10,5550
oct,11,5300
oct,12,5500
oct,13,5700
oct,14,5650
oct,15,5500
oct,16,5500
oct,17,5400
oct,18,5525
oct,19,5500
oct,20,6050
