month,day,price
sept,1,4500
sept,2,4650
sept,3,4600
sept,4,4550
sept,5,4575
sept,6,4750
sept,7,5000
sept,8,4950
sept,9,5200
sept,10,5400
sept,11,5500
sept,12,5450
sept,13,5600
sept,14,5300
sept,15,5250
sept,16,5300
sept,17,5250
sept,18,5350
sept,19,5300
sept,20,5325
sept,1,4200
sept,2,4150
sept,3,4200
sept,4,4250
sept,5,4300
sept,6,4250
sept,7,4260
sept,8,4200
sept,9,4250
sept,10,4210
sept,11,4260
sept,12,4240
sept,13,4300
sept,14,4300
sept,15,4100
sept,16,4150
sept,17,4110
sept,18,3900
sept,19,3950
sept,20,4200
sept,1,4660
sept,2,4550
sept,3,4525
sept,4,4500
sept,5,4500
sept,6,4550
sept,7,4530
sept,8,4510
sept,9,4600
sept,10,4650
sept,11,4800
sept,12,4700
sept,13,4750
sept,14,4650
sept,15,4700
sept,16,4680
sept,17,4650
sept,18,4400
sept,19,4460
sept,20,4460
sept,1,4300
sept,2,4350
sept,3,4400
sept,4,4300
sept,5,4350
sept,6,4450
sept,7,4500
sept,8,4400
sept,9,4500
sept,10,4550
sept,11,4600
sept,12,4500
sept,13,4560
sept,14,4650
sept,15,4700
sept,16,4680
sept,17,4650
sept,18,4400
sept,19,4460
sept,20,4460
sept,1,5400
sept,2,5400
sept,3,5300
sept,4,6050
sept,5,6000
sept,6,5950
sept,7,5600
sept,8,5500
sept,9,5500
sept,10,5350
sept,11,5550
sept,12,5560
sept,13,5600
sept,14,5900
sept,15,5900
sept,16,5800
sept,17,5600
sept,18,5500
sept,19,5500
sept,20,5450
