month,date,area_sown,yield,inflation,price
april,1,6.66,606,4.94,3747
april,2,6.66,606,4.94,3711
april,3,6.66,606,4.94,3729
april,4,6.66,606,4.94,3778
april,5,6.66,606,4.94,3617
april,6,6.66,606,4.94,3643
april,7,6.66,606,4.94,3643
april,8,6.66,606,4.94,3762
april,9,6.66,606,4.94,3750
april,10,6.66,606,4.94,3717
april,11,6.66,606,4.94,3766
april,12,6.66,606,4.94,3766
april,13,6.66,606,4.94,3766
april,14,6.66,606,4.94,3766
april,15,6.66,606,4.94,3724
april,16,6.66,606,4.94,3794
april,17,6.66,606,4.94,3811
april,18,6.66,606,4.94,3820
april,19,6.66,606,4.94,3859
april,20,6.66,606,4.94,3859
april,1,4.72,684,2.94,4207
april,2,4.72,684,2.94,4198
april,3,4.72,684,2.94,4159
april,4,4.72,684,2.94,4207
april,5,4.72,684,2.94,4207
april,6,4.72,684,2.94,4207
april,7,4.72,684,2.94,4207
april,8,4.72,684,2.94,4207
april,9,4.72,684,2.94,4231
april,10,4.72,684,2.94,4194
april,11,4.72,684,2.94,4222
april,12,4.72,684,2.94,4222
april,13,4.72,684,2.94,4264
april,14,4.72,684,2.94,4232
april,15,4.72,684,2.94,4217
april,16,4.72,684,2.94,4152
april,17,4.72,684,2.94,4149
april,18,4.72,684,2.94,4116
april,19,4.72,684,2.94,4116
april,20,4.72,684,2.94,4128
april,1,6.56,559,4.86,5390
april,2,6.56,559,4.86,5376
april,3,6.56,559,4.86,5315
april,4,6.56,559,4.86,5357
april,5,6.56,559,4.86,5230
april,6,6.56,559,4.86,5231
april,7,6.56,559,4.86,5264
april,8,6.56,559,4.86,5224
april,9,6.56,559,4.86,5311
april,10,6.56,559,4.86,5311
april,11,6.56,559,4.86,5365
april,12,6.56,559,4.86,5380
april,13,6.56,559,4.86,5362
april,14,6.56,559,4.86,5397
april,15,6.56,559,4.86,5428
april,16,6.56,559,4.86,5348
april,17,6.56,559,4.86,5348
april,18,6.56,559,4.86,5334
april,19,6.56,559,4.86,5334
april,20,6.56,559,4.86,5334
april,1,6.21,397,7.66,4369
april,2,6.21,397,7.66,4569
april,3,6.21,397,7.66,4566
april,4,6.21,397,7.66,4659
april,5,6.21,397,7.66,4659
april,6,6.21,397,7.66,4619
april,7,6.21,397,7.66,4458
april,8,6.21,397,7.66,4469
april,9,6.21,397,7.66,4469
april,10,6.21,397,7.66,4419
april,11,6.21,397,7.66,4569
april,12,6.21,397,7.66,4569
april,13,6.21,397,7.66,4569
april,14,6.21,397,7.66,4569
april,15,6.21,397,7.66,4569
april,16,6.21,397,7.66,4569
april,17,6.21,397,7.66,4359
april,18,6.21,397,7.66,4359
april,19,6.21,397,7.66,4359
april,20,6.21,397,7.66,4339
april,1,5.86,580,6.76,5557
april,2,5.86,580,6.76,5590
april,3,5.86,580,6.76,5600
april,4,5.86,580,6.76,5616
april,5,5.86,580,6.76,5666
april,6,5.86,580,6.76,5671
april,7,5.86,580,6.76,5680
april,8,5.86,580,6.76,5656
april,9,5.86,580,6.76,5663
april,10,5.86,580,6.76,5709
april,11,5.86,580,6.76,5675
april,12,5.86,580,6.76,5665
april,13,5.86,580,6.76,5830
april,14,5.86,580,6.76,5844
april,15,5.86,580,6.76,5799
april,16,5.86,580,6.76,5897
april,17,5.86,580,6.76,5859
april,18,5.86,580,6.76,5859
april,19,5.86,580,6.76,5864
april,20,5.86,580,6.76,5869
