month,date,area_sown,yield,inflation,price
feb,1,6.66,606,4.94,4009
feb,2,6.66,606,4.94,4009
feb,3,6.66,606,4.94,4009
feb,4,6.66,606,4.94,4009
feb,5,6.66,606,4.94,3814
feb,6,6.66,606,4.94,3862
feb,7,6.66,606,4.94,3800
feb,8,6.66,606,4.94,3670
feb,9,6.66,606,4.94,3690
feb,10,6.66,606,4.94,3888
feb,11,6.66,606,4.94,3888
feb,12,6.66,606,4.94,3888
feb,13,6.66,606,4.94,3781
feb,14,6.66,606,4.94,3791
feb,15,6.66,606,4.94,3791
feb,16,6.66,606,4.94,3888
feb,17,6.66,606,4.94,3888
feb,18,6.66,606,4.94,3888
feb,19,6.66,606,4.94,3900
feb,20,6.66,606,4.94,3714
feb,1,4.72,684,2.94,4325
feb,2,4.72,684,2.94,4339
feb,3,4.72,684,2.94,4263
feb,4,4.72,684,2.94,4263
feb,5,4.72,684,2.94,4193
feb,6,4.72,684,2.94,4193
feb,7,4.72,684,2.94,4272
feb,8,4.72,684,2.94,4185
feb,9,4.72,684,2.94,4089
feb,10,4.72,684,2.94,4109
feb,11,4.72,684,2.94,4101
feb,12,4.72,684,2.94,4100
feb,13,4.72,684,2.94,4109
feb,14,4.72,684,2.94,4115
feb,15,4.72,684,2.94,4113
feb,16,4.72,684,2.94,4129
feb,17,4.72,684,2.94,4129
feb,18,4.72,684,2.94,4129
feb,19,4.72,684,2.94,4118
feb,20,4.72,684,2.94,4158
feb,1,6.56,559,4.86,5409
feb,2,6.56,559,4.86,5560
feb,3,6.56,559,4.86,5533
feb,4,6.56,559,4.86,5533
feb,5,6.56,559,4.86,5533
feb,6,6.56,559,4.86,5403
feb,7,6.56,559,4.86,5403
feb,8,6.56,559,4.86,5361
feb,9,6.56,559,4.86,5166
feb,10,6.56,559,4.86,5165
feb,11,6.56,559,4.86,5217
feb,12,6.56,559,4.86,5256
feb,13,6.56,559,4.86,5256
feb,14,6.56,559,4.86,5244
feb,15,6.56,559,4.86,5268
feb,16,6.56,559,4.86,5269
feb,17,6.56,559,4.86,5286
feb,18,6.56,559,4.86,5281
feb,19,6.56,559,4.86,5317
feb,20,6.56,559,4.86,5317
feb,1,6.21,397,7.66,5588
feb,2,6.21,397,7.66,5589
feb,3,6.21,397,7.66,5585
feb,4,6.21,397,7.66,5589
feb,5,6.21,397,7.66,5571
feb,6,6.21,397,7.66,5541
feb,7,6.21,397,7.66,5541
feb,8,6.21,397,7.66,5497
feb,9,6.21,397,7.66,5470
feb,10,6.21,397,7.66,5462
feb,11,6.21,397,7.66,4939
feb,12,6.21,397,7.66,4839
feb,13,6.21,397,7.66,4869
feb,14,6.21,397,7.66,4869
feb,15,6.21,397,7.66,4869
feb,16,6.21,397,7.66,4869
feb,17,6.21,397,7.66,4869
feb,18,6.21,397,7.66,4669
feb,19,6.21,397,7.66,4669
feb,20,6.21,397,7.66,4779
feb,1,5.86,580,6.76,6011
feb,2,5.86,580,6.76,5466
feb,3,5.86,580,6.76,5462
feb,4,5.86,580,6.76,5466
feb,5,5.86,580,6.76,5481
feb,6,5.86,580,6.76,5461
feb,7,5.86,580,6.76,5456
feb,8,5.86,580,6.76,5459
feb,9,5.86,580,6.76,5450
feb,10,5.86,580,6.76,5452
feb,11,5.86,580,6.76,5369
feb,12,5.86,580,6.76,5379
feb,13,5.86,580,6.76,5359
feb,14,5.86,580,6.76,5367
feb,15,5.86,580,6.76,5365
feb,16,5.86,580,6.76,5359
feb,17,5.86,580,6.76,5389
feb,18,5.86,580,6.76,5359
feb,19,5.86,580,6.76,5377
feb,20,5.86,580,6.76,5370
