month,date,area_sown,yield,inflation,price
jan,1,6.66,606,4.94,4350
jan,2,6.66,606,4.94,4500
jan,3,6.66,606,4.94,4500
jan,4,6.66,606,4.94,4700
jan,5,6.66,606,4.94,4700
jan,6,6.66,606,4.94,4650
jan,7,6.66,606,4.94,4650
jan,8,6.66,606,4.94,4650
jan,9,6.66,606,4.94,4600
jan,10,6.66,606,4.94,4650
jan,11,6.66,606,4.94,4600
jan,12,6.66,606,4.94,4600
jan,13,6.66,606,4.94,4600
jan,14,6.66,606,4.94,4600
jan,15,6.66,606,4.94,4600
jan,16,6.66,606,4.94,4680
jan,17,6.66,606,4.94,4745
jan,18,6.66,606,4.94,4800
jan,19,6.66,606,4.94,4800
jan,20,6.66,606,4.94,4800
jan,1,4.72,684,2.94,4025
jan,2,4.72,684,2.94,4025
jan,3,4.72,684,2.94,4025
jan,4,4.72,684,2.94,4025
jan,5,4.72,684,2.94,4025
jan,6,4.72,684,2.94,4009
jan,7,4.72,684,2.94,4009
jan,8,4.72,684,2.94,4009
jan,9,4.72,684,2.94,4025
jan,10,4.72,684,2.94,4025
jan,11,4.72,684,2.94,4025
jan,12,4.72,684,2.94,4025
jan,13,4.72,684,2.94,4025
jan,14,4.72,684,2.94,4025
jan,15,4.72,684,2.94,3800
jan,16,4.72,684,2.94,3800
jan,17,4.72,684,2.94,3800
jan,18,4.72,684,2.94,4009
jan,19,4.72,684,2.94,4009
jan,20,4.72,684,2.94,4009
jan,1,6.56,559,4.86,4129
jan,2,6.56,559,4.86,4147
jan,3,6.56,559,4.86,4147
jan,4,6.56,559,4.86,4396
jan,5,6.56,559,4.86,4344
jan,6,6.56,559,4.86,4360
jan,7,6.56,559,4.86,4379
jan,8,6.56,559,4.86,4366
jan,9,6.56,559,4.86,4366
jan,10,6.56,559,4.86,4366
jan,11,6.56,559,4.86,4352
jan,12,6.56,559,4.86,4311
jan,13,6.56,559,4.86,4300
jan,14,6.56,559,4.86,4300
jan,15,6.56,559,4.86,4300
jan,16,6.56,559,4.86,4300
jan,17,6.56,559,4.86,4300
jan,18,6.56,559,4.86,4305
jan,19,6.56,559,4.86,4237
jan,20,6.56,559,4.86,4213
jan,1,6.21,397,7.66,5286
jan,2,6.21,397,7.66,5127
jan,3,6.21,397,7.66,5225
jan,4,6.21,397,7.66,5305
jan,5,6.21,397,7.66,5292
jan,6,6.21,397,7.66,5286
jan,7,6.21,397,7.66,5286
jan,8,6.21,397,7.66,5286
jan,9,6.21,397,7.66,5286
jan,10,6.21,397,7.66,5251
jan,11,6.21,397,7.66,5240
jan,12,6.21,397,7.66,5234
jan,13,6.21,397,7.66,5293
jan,14,6.21,397,7.66,5293
jan,15,6.21,397,7.66,5293
jan,16,6.21,397,7.66,5293
jan,17,6.21,397,7.66,5312
jan,18,6.21,397,7.66,5313
jan,19,6.21,397,7.66,5364
jan,20,6.21,397,7.66,5409
jan,1,5.86,580,6.76,5758
jan,2,5.86,580,6.76,5489
jan,3,5.86,580,6.76,5559
jan,4,5.86,580,6.76,5859
jan,5,5.86,580,6.76,5870
jan,6,5.86,580,6.76,5859
jan,7,5.86,580,6.76,5821
jan,8,5.86,580,6.76,5801
jan,9,5.86,580,6.76,5810
jan,10,5.86,580,6.76,5829
jan,11,5.86,580,6.76,5769
jan,12,5.86,580,6.76,5769
jan,13,5.86,580,6.76,5640
jan,14,5.86,580,6.76,5590
jan,15,5.86,580,6.76,5619
jan,16,5.86,580,6.76,5549
jan,17,5.86,580,6.76,5545
jan,18,5.86,580,6.76,5557
jan,19,5.86,580,6.76,5520
jan,20,5.86,580,6.76,5588
