month,date,area_sown,yield,inflation,price
july,1,6.66,606,4.94,4337
july,2,6.66,606,4.94,4254
july,3,6.66,606,4.94,4279
july,4,6.66,606,4.94,4284
july,5,6.66,606,4.94,4284
july,6,6.66,606,4.94,4284
july,7,6.66,606,4.94,4218
july,8,6.66,606,4.94,4269
july,9,6.66,606,4.94,4204
july,10,6.66,606,4.94,4184
july,11,6.66,606,4.94,4189
july,12,6.66,606,4.94,4189
july,13,6.66,606,4.94,4173
july,14,6.66,606,4.94,4100
july,15,6.66,606,4.94,4087
july,16,6.66,606,4.94,4030
july,17,6.66,606,4.94,4059
july,18,6.66,606,4.94,4163
july,19,6.66,606,4.94,4163
july,20,6.66,606,4.94,4163
july,1,4.72,684,2.94,4789
july,2,4.72,684,2.94,4751
july,3,4.72,684,2.94,4751
july,4,4.72,684,2.94,4688
july,5,4.72,684,2.94,4688
july,6,4.72,684,2.94,4688
july,7,4.72,684,2.94,4839
july,8,4.72,684,2.94,4907
july,9,4.72,684,2.94,4954
july,10,4.72,684,2.94,4918
july,11,4.72,684,2.94,4901
july,12,4.72,684,2.94,4901
july,13,4.72,684,2.94,4865
july,14,4.72,684,2.94,4716
july,15,4.72,684,2.94,4739
july,16,4.72,684,2.94,4703
july,17,4.72,684,2.94,4674
july,18,4.72,684,2.94,4826
july,19,4.72,684,2.94,4826
july,20,4.72,684,2.94,4966
july,1,6.56,559,4.86,5291
july,2,6.56,559,4.86,5270
july,3,6.56,559,4.86,5258
july,4,6.56,559,4.86,5258
july,5,6.56,559,4.86,5308
july,6,6.56,559,4.86,5221
july,7,6.56,559,4.86,5126
july,8,6.56,559,4.86,5126
july,9,6.56,559,4.86,5187
july,10,6.56,559,4.86,5169
july,11,6.56,559,4.86,5169
july,12,6.56,559,4.86,4506
july,13,6.56,559,4.86,5337
july,14,6.56,559,4.86,5337
july,15,6.56,559,4.86,5337
july,16,6.56,559,4.86,5189
july,17,6.56,559,4.86,5367
july,18,6.56,559,4.86,5367
july,19,6.56,559,4.86,5317
july,20,6.56,559,4.86,4560
july,1,6.21,397,7.66,3619
july,2,6.21,397,7.66,4229
july,3,6.21,397,7.66,4019
july,4,6.21,397,7.66,4449
july,5,6.21,397,7.66,4260
july,6,6.21,397,7.66,4895
july,7,6.21,397,7.66,4000
july,8,6.21,397,7.66,2759
july,9,6.21,397,7.66,3859
july,10,6.21,397,7.66,3611
july,11,6.21,397,7.66,2809
july,12,6.21,397,7.66,2829
july,13,6.21,397,7.66,3320
july,14,6.21,397,7.66,4065
july,15,6.21,397,7.66,3361
july,16,6.21,397,7.66,4031
july,17,6.21,397,7.66,3561
july,18,6.21,397,7.66,3569
july,19,6.21,397,7.66,4211
july,20,6.21,397,7.66,4219
july,1,5.86,580,6.76,5310
july,2,5.86,580,6.76,5320
july,3,5.86,580,6.76,5509
july,4,5.86,580,6.76,5525
july,5,5.86,580,6.76,5557
july,6,5.86,580,6.76,5590
july,7,5.86,580,6.76,5600
july,8,5.86,580,6.76,5616
july,9,5.86,580,6.76,5666
july,10,5.86,580,6.76,5671
july,11,5.86,580,6.76,5680
july,12,5.86,580,6.76,5656
july,13,5.86,580,6.76,5663
july,14,5.86,580,6.76,5709
july,15,5.86,580,6.76,5675
july,16,5.86,580,6.76,5665
july,17,5.86,580,6.76,5830
july,18,5.86,580,6.76,5844
july,19,5.86,580,6.76,5799
july,20,5.86,580,6.76,5897
