month,date,area_sown,yield,inflation,price
june,1,6.66,606,4.94,4139
june,2,6.66,606,4.94,4139
june,3,6.66,606,4.94,4100
june,4,6.66,606,4.94,4118
june,5,6.66,606,4.94,4127
june,6,6.66,606,4.94,4146
june,7,6.66,606,4.94,4146
june,8,6.66,606,4.94,4229
june,9,6.66,606,4.94,4256
june,10,6.66,606,4.94,4264
june,11,6.66,606,4.94,4209
june,12,6.66,606,4.94,4209
june,13,6.66,606,4.94,4257
june,14,6.66,606,4.94,4350
june,15,6.66,606,4.94,4379
june,16,6.66,606,4.94,4403
june,17,6.66,606,4.94,4372
june,18,6.66,606,4.94,4372
june,19,6.66,606,4.94,4355
june,20,6.66,606,4.94,4344
june,1,4.72,684,2.94,4677
june,2,4.72,684,2.94,4749
june,3,4.72,684,2.94,4749
june,4,4.72,684,2.94,4749
june,5,4.72,684,2.94,4733
june,6,4.72,684,2.94,4733
june,7,4.72,684,2.94,4744
june,8,4.72,684,2.94,4709
june,9,4.72,684,2.94,4661
june,10,4.72,684,2.94,4661
june,11,4.72,684,2.94,4661
june,12,4.72,684,2.94,4661
june,13,4.72,684,2.94,4711
june,14,4.72,684,2.94,4669
june,15,4.72,684,2.94,4682
june,16,4.72,684,2.94,4711
june,17,4.72,684,2.94,4715
june,18,4.72,684,2.94,4841
june,19,4.72,684,2.94,4841
june,20,4.72,684,2.94,4781
june,1,6.56,559,4.86,5370
june,2,6.56,559,4.86,5355
june,3,6.56,559,4.86,5449
june,4,6.56,559,4.86,5449
june,5,6.56,559,4.86,5439
june,6,6.56,559,4.86,5383
june,7,6.56,559,4.86,5383
june,8,6.56,559,4.86,5372
june,9,6.56,559,4.86,5325
june,10,6.56,559,4.86,5325
june,11,6.56,559,4.86,5325
june,12,6.56,559,4.86,5324
june,13,6.56,559,4.86,5317
june,14,6.56,559,4.86,5305
june,15,6.56,559,4.86,5299
june,16,6.56,559,4.86,5338
june,17,6.56,559,4.86,5338
june,18,6.56,559,4.86,5287
june,19,6.56,559,4.86,5297
june,20,6.56,559,4.86,5300
june,1,6.21,397,7.66,4329
june,2,6.21,397,7.66,4329
june,3,6.21,397,7.66,4339
june,4,6.21,397,7.66,4335
june,5,6.21,397,7.66,4329
june,6,6.21,397,7.66,5939
june,7,6.21,397,7.66,5939
june,8,6.21,397,7.66,5570
june,9,6.21,397,7.66,5450
june,10,6.21,397,7.66,4771
june,11,6.21,397,7.66,4859
june,12,6.21,397,7.66,4569
june,13,6.21,397,7.66,3859
june,14,6.21,397,7.66,4981
june,15,6.21,397,7.66,4981
june,16,6.21,397,7.66,4919
june,17,6.21,397,7.66,4540
june,18,6.21,397,7.66,4211
june,19,6.21,397,7.66,4786
june,20,6.21,397,7.66,4786
june,1,5.86,580,6.76,5251
june,2,5.86,580,6.76,5239
june,3,5.86,580,6.76,5371
june,4,5.86,580,6.76,5269
june,5,5.86,580,6.76,5279
june,6,5.86,580,6.76,5281
june,7,5.86,580,6.76,5290
june,8,5.86,580,6.76,5294
june,9,5.86,580,6.76,5289
june,10,5.86,580,6.76,5285
june,11,5.86,580,6.76,5280
june,12,5.86,580,6.76,5288
june,13,5.86,580,6.76,5319
june,14,5.86,580,6.76,5289
june,15,5.86,580,6.76,5310
june,16,5.86,580,6.76,5320
june,17,5.86,580,6.76,5509
june,18,5.86,580,6.76,5525
june,19,5.86,580,6.76,5557
june,20,5.86,580,6.76,5590
