month,date,area_sown,yield,inflation,price
may,1,6.66,606,4.94,3859
may,2,6.66,606,4.94,3967
may,3,6.66,606,4.94,4012
may,4,6.66,606,4.94,4028
may,5,6.66,606,4.94,4005
may,6,6.66,606,4.94,4005
may,7,6.66,606,4.94,4005
may,8,6.66,606,4.94,4050
may,9,6.66,606,4.94,4125
may,10,6.66,606,4.94,4178
may,11,6.66,606,4.94,4188
may,12,6.66,606,4.94,4180
may,13,6.66,606,4.94,4180
may,14,6.66,606,4.94,4189
may,15,6.66,606,4.94,4189
may,16,6.66,606,4.94,4181
may,17,6.66,606,4.94,4183
may,18,6.66,606,4.94,4135
may,19,6.66,606,4.94,4135
may,20,6.66,606,4.94,4135
may,1,4.72,684,2.94,4158
may,2,4.72,684,2.94,4158
may,3,4.72,684,2.94,4146
may,4,4.72,684,2.94,4146
may,5,4.72,684,2.94,4089
may,6,4.72,684,2.94,4089
may,7,4.72,684,2.94,4165
may,8,4.72,684,2.94,4103
may,9,4.72,684,2.94,4160
may,10,4.72,684,2.94,4162
may,11,4.72,684,2.94,4162
may,12,4.72,684,2.94,4205
may,13,4.72,684,2.94,4205
may,14,4.72,684,2.94,4227
may,15,4.72,684,2.94,4227
may,16,4.72,684,2.94,4333
may,17,4.72,684,2.94,4333
may,18,4.72,684,2.94,4333
may,19,4.72,684,2.94,4333
may,20,4.72,684,2.94,4333
may,1,6.56,559,4.86,5334
may,2,6.56,559,4.86,5485
may,3,6.56,559,4.86,5485
may,4,6.56,559,4.86,5509
may,5,6.56,559,4.86,5552
may,6,6.56,559,4.86,5552
may,7,6.56,559,4.86,5559
may,8,6.56,559,4.86,5574
may,9,6.56,559,4.86,5551
may,10,6.56,559,4.86,5551
may,11,6.56,559,4.86,5582
may,12,6.56,559,4.86,5582
may,13,6.56,559,4.86,5582
may,14,6.56,559,4.86,5501
may,15,6.56,559,4.86,5501
may,16,6.56,559,4.86,5497
may,17,6.56,559,4.86,5497
may,18,6.56,559,4.86,5457
may,19,6.56,559,4.86,5412
may,20,6.56,559,4.86,5424
may,1,6.21,397,7.66,4339
may,2,6.21,397,7.66,4339
may,3,6.21,397,7.66,4339
may,4,6.21,397,7.66,4339
may,5,6.21,397,7.66,4330
may,6,6.21,397,7.66,4330
may,7,6.21,397,7.66,4330
may,8,6.21,397,7.66,4349
may,9,6.21,397,7.66,4339
may,10,6.21,397,7.66,4389
may,11,6.21,397,7.66,4389
may,12,6.21,397,7.66,4369
may,13,6.21,397,7.66,4369
may,14,6.21,397,7.66,4419
may,15,6.21,397,7.66,3769
may,16,6.21,397,7.66,4328
may,17,6.21,397,7.66,4325
may,18,6.21,397,7.66,4337
may,19,6.21,397,7.66,4329
may,20,6.21,397,7.66,4329
may,1,5.86,580,6.76,5890
may,2,5.86,580,6.76,5885
may,3,5.86,580,6.76,5888
may,4,5.86,580,6.76,5879
may,5,5.86,580,6.76,5889
may,6,5.86,580,6.76,5905
may,7,5.86,580,6.76,5869
may,8,5.86,580,6.76,5899
may,9,5.86,580,6.76,5909
may,10,5.86,580,6.76,5869
may,11,5.86,580,6.76,5869
may,12,5.86,580,6.76,5879
may,13,5.86,580,6.76,5869
may,14,5.86,580,6.76,5821
may,15,5.86,580,6.76,5869
may,16,5.86,580,6.76,5881
may,17,5.86,580,6.76,5859
may,18,5.86,580,6.76,5859
may,19,5.86,580,6.76,5879
may,20,5.86,580,6.76,5879
