month,date,area_sown,yield,inflation,price
jan,1,27.73,687,5.87,4220
jan,2,27.73,687,5.87,4270
jan,3,27.73,687,5.87,4250
jan,4,27.73,687,5.87,4270
jan,5,27.73,687,5.87,4275
jan,6,27.73,687,5.87,4235
jan,7,27.73,687,5.87,4160
jan,8,27.73,687,5.87,4100
jan,9,27.73,687,5.87,4035
jan,10,27.73,687,5.87,4170
jan,11,27.73,687,5.87,4055
jan,12,27.73,687,5.87,4060
jan,13,27.73,687,5.87,4105
jan,14,27.73,687,5.87,4035
jan,15,27.73,687,5.87,4005
jan,16,27.73,687,5.87,3940
jan,17,27.73,687,5.87,3935
jan,18,27.73,687,5.87,3935
jan,19,27.73,687,5.87,3910
jan,20,27.73,687,5.87,3885
jan,1,27.22,562,4.94,4765
jan,2,27.22,562,4.94,4865
jan,3,27.22,562,4.94,4615
jan,4,27.22,562,4.94,4830
jan,5,27.22,562,4.94,4625
jan,6,27.22,562,4.94,4620
jan,7,27.22,562,4.94,4625
jan,8,27.22,562,4.94,4580
jan,9,27.22,562,4.94,4590
jan,10,27.22,562,4.94,4520
jan,11,27.22,562,4.94,4585
jan,12,27.22,562,4.94,4590
jan,13,27.22,562,4.94,4540
jan,14,27.22,562,4.94,4745
jan,15,27.22,562,4.94,4605
jan,16,27.22,562,4.94,4620
jan,17,27.22,562,4.94,4585
jan,18,27.22,562,4.94,4400
jan,19,27.22,562,4.94,4400
jan,20,27.22,562,4.94,4450
jan,1,23.82,678,2.94,5365
jan,2,23.82,678,2.94,5430
jan,3,23.82,678,2.94,5440
jan,4,23.82,678,2.94,5510
jan,5,23.82,678,2.94,5525
jan,6,23.82,678,2.94,5540
jan,7,23.82,678,2.94,5580
jan,8,23.82,678,2.94,5625
jan,9,23.82,678,2.94,5635
jan,10,23.82,678,2.94,5560
jan,11,23.82,678,2.94,5570
jan,12,23.82,678,2.94,5560
jan,13,23.82,678,2.94,5620
jan,14,23.82,678,2.94,5590
jan,15,23.82,678,2.94,5650
jan,16,23.82,678,2.94,5765
jan,17,23.82,678,2.94,5740
jan,18,23.82,678,2.94,5665
jan,19,23.82,678,2.94,5600
jan,20,23.82,678,2.94,5580
jan,1,26.24,673,4.86,5130
jan,2,26.24,673,4.86,5185
jan,3,26.24,673,4.86,5145
jan,4,26.24,673,4.86,5060
jan,5,26.24,673,4.86,5275
jan,6,26.24,673,4.86,5360
jan,7,26.24,673,4.86,5270
jan,8,26.24,673,4.86,5185
jan,9,26.24,673,4.86,5140
jan,10,26.24,673,4.86,5175
jan,11,26.24,673,4.86,5155
jan,12,26.24,673,4.86,5190
jan,13,26.24,673,4.86,5240
jan,14,26.24,673,4.86,5210
jan,15,26.24,673,4.86,5150
jan,16,26.24,673,4.86,4920
jan,17,26.24,673,4.86,4620
jan,18,26.24,673,4.86,4715
jan,19,26.24,673,4.86,4905
jan,20,26.24,673,4.86,4720
jan,1,26.6,559,7.66,5590
jan,2,26.6,559,7.66,5575
jan,3,26.6,559,7.66,5585
jan,4,26.6,559,7.66,5595
jan,5,26.6,559,7.66,5570
jan,6,26.6,559,7.66,5560
jan,7,26.6,559,7.66,5570
jan,8,26.6,559,7.66,5535
jan,9,26.6,559,7.66,5565
jan,10,26.6,559,7.66,5525
jan,11,26.6,559,7.66,5435
jan,12,26.6,559,7.66,5540
jan,13,26.6,559,7.66,5485
jan,14,26.6,559,7.66,5490
jan,15,26.6,559,7.66,5535
jan,16,26.6,559,7.66,5490
jan,17,26.6,559,7.66,5495
jan,18,26.6,559,7.66,5510
jan,19,26.6,559,7.66,5500
jan,20,26.6,559,7.66,5485
jan,1,26.29,614,6.76,5330
jan,2,26.29,614,6.76,5380
jan,3,26.29,614,6.76,5360
jan,4,26.29,614,6.76,5375
jan,5,26.29,614,6.76,5255
jan,6,26.29,614,6.76,5395
jan,7,26.29,614,6.76,5255
jan,8,26.29,614,6.76,5465
jan,9,26.29,614,6.76,5480
jan,10,26.29,614,6.76,5465
jan,11,26.29,614,6.76,5400
jan,12,26.29,614,6.76,5345
jan,13,26.29,614,6.76,5430
jan,14,26.29,614,6.76,5450
jan,15,26.29,614,6.76,5250
jan,16,26.29,614,6.76,5135
jan,17,26.29,614,6.76,5395
jan,18,26.29,614,6.76,5350
jan,19,26.29,614,6.76,5350
jan,20,26.29,614,6.76,5080
