month,date,area_sown,yield,inflation,price
oct,1,23.82,678,2.94,4590
oct,2,23.82,678,2.94,4420
oct,3,23.82,678,2.94,4215
oct,4,23.82,678,2.94,4420
oct,5,23.82,678,2.94,4395
oct,6,23.82,678,2.94,4420
oct,7,23.82,678,2.94,4385
oct,8,23.82,678,2.94,4530
oct,9,23.82,678,2.94,4475
oct,10,23.82,678,2.94,4495
oct,11,23.82,678,2.94,4400
oct,12,23.82,678,2.94,4325
oct,13,23.82,678,2.94,4265
oct,14,23.82,678,2.94,4265
oct,15,23.82,678,2.94,4215
oct,16,23.82,678,2.94,4370
oct,17,23.82,678,2.94,4250
oct,18,23.82,678,2.94,4250
oct,19,23.82,678,2.94,4250
oct,20,23.82,678,2.94,4250
oct,1,26.24,673,4.86,5550
oct,2,26.24,673,4.86,5210
oct,3,26.24,673,4.86,5310
oct,4,26.24,673,4.86,5365
oct,5,26.24,673,4.86,5495
oct,6,26.24,673,4.86,5285
oct,7,26.24,673,4.86,4600
oct,8,26.24,673,4.86,4580
oct,9,26.24,673,4.86,4630
oct,10,26.24,673,4.86,4500
oct,11,26.24,673,4.86,4560
oct,12,26.24,673,4.86,4850
oct,13,26.24,673,4.86,4910
oct,14,26.24,673,4.86,4810
oct,15,26.24,673,4.86,4745
oct,16,26.24,673,4.86,4650
oct,17,26.24,673,4.86,4730
oct,18,26.24,673,4.86,4730
oct,19,26.24,673,4.86,4740
oct,20,26.24,673,4.86,4690
oct,1,26.6,559,7.66,4975
oct,2,26.6,559,7.66,5255
oct,3,26.6,559,7.66,4895
oct,4,26.6,559,7.66,5380
oct,5,26.6,559,7.66,5108
oct,6,26.6,559,7.66,4992
oct,7,26.6,559,7.66,4808
oct,8,26.6,559,7.66,4012
oct,9,26.6,559,7.66,4142
oct,10,26.6,559,7.66,4945
oct,11,26.6,559,7.66,4625
oct,12,26.6,559,7.66,4888
oct,13,26.6,559,7.66,4730
oct,14,26.6,559,7.66,4932
oct,15,26.6,559,7.66,4962
oct,16,26.6,559,7.66,4788
oct,17,26.6,559,7.66,4895
oct,18,26.6,559,7.66,4820
oct,19,26.6,559,7.66,4905
oct,20,26.6,559,7.66,4952
oct,1,26.29,614,6.76,5150
oct,2,26.29,614,6.76,5625
oct,3,26.29,614,6.76,5935
oct,4,26.29,614,6.76,6030
oct,5,26.29,614,6.76,6000
oct,6,26.29,614,6.76,6015
oct,7,26.29,614,6.76,5920
oct,8,26.29,614,6.76,5945
oct,9,26.29,614,6.76,5950
oct,10,26.29,614,6.76,6030
oct,11,26.29,614,6.76,5910
oct,12,26.29,614,6.76,5690
oct,13,26.29,614,6.76,5825
oct,14,26.29,614,6.76,5920
oct,15,26.29,614,6.76,5945
oct,16,26.29,614,6.76,5950
oct,17,26.29,614,6.76,6030
oct,18,26.29,614,6.76,5910
oct,19,26.29,614,6.76,5690
oct,20,26.29,614,6.76,5825
