month,date,area_sown,yield,inflation,price
feb,1,27.73,687,5.87,4000
feb,2,27.73,687,5.87,4015
feb,3,27.73,687,5.87,4005
feb,4,27.73,687,5.87,4000
feb,5,27.73,687,5.87,3990
feb,6,27.73,687,5.87,3975
feb,7,27.73,687,5.87,3905
feb,8,27.73,687,5.87,3925
feb,9,27.73,687,5.87,3950
feb,10,27.73,687,5.87,3990
feb,11,27.73,687,5.87,3975
feb,12,27.73,687,5.87,3955
feb,13,27.73,687,5.87,4010
feb,14,27.73,687,5.87,4015
feb,15,27.73,687,5.87,4065
feb,16,27.73,687,5.87,4045
feb,17,27.73,687,5.87,4045
feb,18,27.73,687,5.87,4005
feb,19,27.73,687,5.87,4010
feb,20,27.73,687,5.87,3950
feb,1,27.22,562,4.94,4740
feb,2,27.22,562,4.94,4845
feb,3,27.22,562,4.94,4740
feb,4,27.22,562,4.94,4795
feb,5,27.22,562,4.94,4770
feb,6,27.22,562,4.94,4790
feb,7,27.22,562,4.94,4785
feb,8,27.22,562,4.94,4450
feb,9,27.22,562,4.94,4405
feb,10,27.22,562,4.94,4445
feb,11,27.22,562,4.94,4350
feb,12,27.22,562,4.94,4325
feb,13,27.22,562,4.94,4400
feb,14,27.22,562,4.94,4455
feb,15,27.22,562,4.94,4365
feb,16,27.22,562,4.94,4450
feb,17,27.22,562,4.94,4410
feb,18,27.22,562,4.94,4350
feb,19,27.22,562,4.94,4260
feb,20,27.22,562,4.94,4400
feb,1,23.82,678,2.94,5575
feb,2,23.82,678,2.94,5655
feb,3,23.82,678,2.94,5750
feb,4,23.82,678,2.94,5810
feb,5,23.82,678,2.94,5800
feb,6,23.82,678,2.94,5750
feb,7,23.82,678,2.94,5625
feb,8,23.82,678,2.94,5585
feb,9,23.82,678,2.94,5660
feb,10,23.82,678,2.94,5625
feb,11,23.82,678,2.94,5650
feb,12,23.82,678,2.94,5600
feb,13,23.82,678,2.94,5475
feb,14,23.82,678,2.94,5445
feb,15,23.82,678,2.94,5435
feb,16,23.82,678,2.94,5300
feb,17,23.82,678,2.94,5255
feb,18,23.82,678,2.94,5330
feb,19,23.82,678,2.94,5400
feb,20,23.82,678,2.94,5350
feb,1,26.24,673,4.86,4605
feb,2,26.24,673,4.86,4750
feb,3,26.24,673,4.86,4800
feb,4,26.24,673,4.86,4675
feb,5,26.24,673,4.86,4680
feb,6,26.24,673,4.86,4665
feb,7,26.24,673,4.86,4770
feb,8,26.24,673,4.86,4800
feb,9,26.24,673,4.86,4795
feb,10,26.24,673,4.86,4800
feb,11,26.24,673,4.86,4645
feb,12,26.24,673,4.86,4665
feb,13,26.24,673,4.86,4650
feb,14,26.24,673,4.86,4650
feb,15,26.24,673,4.86,4660
feb,16,26.24,673,4.86,4840
feb,17,26.24,673,4.86,4845
feb,18,26.24,673,4.86,4685
feb,19,26.24,673,4.86,4680
feb,20,26.24,673,4.86,4700
feb,1,26.6,559,7.66,5400
feb,2,26.6,559,7.66,5400
feb,3,26.6,559,7.66,5395
feb,4,26.6,559,7.66,5385
feb,5,26.6,559,7.66,5350
feb,6,26.6,559,7.66,5400
feb,7,26.6,559,7.66,5400
feb,8,26.6,559,7.66,5409
feb,9,26.6,559,7.66,5425
feb,10,26.6,559,7.66,5390
feb,11,26.6,559,7.66,5405
feb,12,26.6,559,7.66,5425
feb,13,26.6,559,7.66,5435
feb,14,26.6,559,7.66,5420
feb,15,26.6,559,7.66,5415
feb,16,26.6,559,7.66,5350
feb,17,26.6,559,7.66,5435
feb,18,26.6,559,7.66,5435
feb,19,26.6,559,7.66,5400
feb,20,26.6,559,7.66,5440
feb,1,26.29,614,6.76,4970
feb,2,26.29,614,6.76,4950
feb,3,26.29,614,6.76,4830
feb,4,26.29,614,6.76,4975
feb,5,26.29,614,6.76,4975
feb,6,26.29,614,6.76,5000
feb,7,26.29,614,6.76,4950
feb,8,26.29,614,6.76,4895
feb,9,26.29,614,6.76,4845
feb,10,26.29,614,6.76,4900
feb,11,26.29,614,6.76,4865
feb,12,26.29,614,6.76,4950
feb,13,26.29,614,6.76,4930
feb,14,26.29,614,6.76,4895
feb,15,26.29,614,6.76,4830
feb,16,26.29,614,6.76,4730
feb,17,26.29,614,6.76,4895
feb,18,26.29,614,6.76,4970
feb,19,26.29,614,6.76,4990
feb,20,26.29,614,6.76,4840
