month,date,area_sown,yield,inflation,price
june,1,27.73,687,5.87,4730
june,2,27.73,687,5.87,4840
june,3,27.73,687,5.87,4835
june,4,27.73,687,5.87,4835
june,5,27.73,687,5.87,4700
june,6,27.73,687,5.87,4700
june,7,27.73,687,5.87,4675
june,8,27.73,687,5.87,4650
june,9,27.73,687,5.87,4685
june,10,27.73,687,5.87,4625
june,11,27.73,687,5.87,4600
june,12,27.73,687,5.87,4590
june,13,27.73,687,5.87,4700
june,14,27.73,687,5.87,4620
june,15,27.73,687,5.87,4580
june,16,27.73,687,5.87,4545
june,17,27.73,687,5.87,4500
june,18,27.73,687,5.87,4525
june,19,27.73,687,5.87,4575
june,20,27.73,687,5.87,4575
june,1,27.22,562,4.94,5450
june,2,27.22,562,4.94,5300
june,3,27.22,562,4.94,5350
june,4,27.22,562,4.94,5400
june,5,27.22,562,4.94,5500
june,6,27.22,562,4.94,5550
june,7,27.22,562,4.94,5600
june,8,27.22,562,4.94,5100
june,9,27.22,562,4.94,5625
june,10,27.22,562,4.94,5550
june,11,27.22,562,4.94,5585
june,12,27.22,562,4.94,5700
june,13,27.22,562,4.94,5650
june,14,27.22,562,4.94,5680
june,15,27.22,562,4.94,5680
june,16,27.22,562,4.94,5600
june,17,27.22,562,4.94,5600
june,18,27.22,562,4.94,5600
june,19,27.22,562,4.94,5650
june,20,27.22,562,4.94,5650
june,1,23.82,678,2.94,4700
june,2,23.82,678,2.94,4630
june,3,23.82,678,2.94,4590
june,4,23.82,678,2.94,4655
june,5,23.82,678,2.94,4650
june,6,23.82,678,2.94,4575
june,7,23.82,678,2.94,4640
june,8,23.82,678,2.94,4750
june,9,23.82,678,2.94,4700
june,10,23.82,678,2.94,4650
june,11,23.82,678,2.94,4740
june,12,23.82,678,2.94,4750
june,13,23.82,678,2.94,4695
june,14,23.82,678,2.94,4700
june,15,23.82,678,2.94,4725
june,16,23.82,678,2.94,4740
june,17,23.82,678,2.94,4720
june,18,23.82,678,2.94,4665
june,19,23.82,678,2.94,4680
june,20,23.82,678,2.94,4670
june,1,26.24,673,4.86,5150
june,2,26.24,673,4.86,5150
june,3,26.24,673,4.86,5250
june,4,26.24,673,4.86,5300
june,5,26.24,673,4.86,5355
june,6,26.24,673,4.86,5390
june,7,26.24,673,4.86,5650
june,8,26.24,673,4.86,5730
june,9,26.24,673,4.86,5825
june,10,26.24,673,4.86,5850
june,11,26.24,673,4.86,5900
june,12,26.24,673,4.86,5850
june,13,26.24,673,4.86,5885
june,14,26.24,673,4.86,5900
june,15,26.24,673,4.86,5800
june,16,26.24,673,4.86,5745
june,17,26.24,673,4.86,5680
june,18,26.24,673,4.86,5680
june,19,26.24,673,4.86,5735
june,20,26.24,673,4.86,5765
june,1,26.6,559,7.66,6515
june,2,26.6,559,7.66,6445
june,3,26.6,559,7.66,6425
june,4,26.6,559,7.66,6355
june,5,26.6,559,7.66,6340
june,6,26.6,559,7.66,6340
june,7,26.6,559,7.66,6175
june,8,26.6,559,7.66,6160
june,9,26.6,559,7.66,6140
june,10,26.6,559,7.66,5875
june,11,26.6,559,7.66,6150
june,12,26.6,559,7.66,6200
june,13,26.6,559,7.66,6285
june,14,26.6,559,7.66,6270
june,15,26.6,559,7.66,6280
june,16,26.6,559,7.66,6200
june,17,26.6,559,7.66,6150
june,18,26.6,559,7.66,6070
june,19,26.6,559,7.66,6090
june,20,26.6,559,7.66,6060
june,1,26.29,614,6.76,3810
june,2,26.29,614,6.76,3870
june,3,26.29,614,6.76,3905
june,4,26.29,614,6.76,4005
june,5,26.29,614,6.76,4145
june,6,26.29,614,6.76,4245
june,7,26.29,614,6.76,4150
june,8,26.29,614,6.76,4180
june,9,26.29,614,6.76,4250
june,10,26.29,614,6.76,4160
june,11,26.29,614,6.76,3850
june,12,26.29,614,6.76,3845
june,13,26.29,614,6.76,3880
june,14,26.29,614,6.76,4150
june,15,26.29,614,6.76,4120
june,16,26.29,614,6.76,4225
june,17,26.29,614,6.76,4155
june,18,26.29,614,6.76,3845
june,19,26.29,614,6.76,3845
june,20,26.29,614,6.76,4235
