month,date,area_sown,yield,inflation,price
march,1,27.73,687,5.87,3985
march,2,27.73,687,5.87,3985
march,3,27.73,687,5.87,3925
march,4,27.73,687,5.87,3955
march,5,27.73,687,5.87,3940
march,6,27.73,687,5.87,4015
march,7,27.73,687,5.87,4025
march,8,27.73,687,5.87,4010
march,9,27.73,687,5.87,4030
march,10,27.73,687,5.87,4050
march,11,27.73,687,5.87,4045
march,12,27.73,687,5.87,4035
march,13,27.73,687,5.87,4055
march,14,27.73,687,5.87,4045
march,15,27.73,687,5.87,4040
march,16,27.73,687,5.87,4075
march,17,27.73,687,5.87,4070
march,18,27.73,687,5.87,4050
march,19,27.73,687,5.87,4125
march,20,27.73,687,5.87,4145
march,1,27.22,562,4.94,4405
march,2,27.22,562,4.94,4270
march,3,27.22,562,4.94,4330
march,4,27.22,562,4.94,4250
march,5,27.22,562,4.94,4335
march,6,27.22,562,4.94,4390
march,7,27.22,562,4.94,4380
march,8,27.22,562,4.94,4450
march,9,27.22,562,4.94,4340
march,10,27.22,562,4.94,4200
march,11,27.22,562,4.94,4330
march,12,27.22,562,4.94,4355
march,13,27.22,562,4.94,4400
march,14,27.22,562,4.94,4425
march,15,27.22,562,4.94,4450
march,16,27.22,562,4.94,4700
march,17,27.22,562,4.94,4680
march,18,27.22,562,4.94,4600
march,19,27.22,562,4.94,4685
march,20,27.22,562,4.94,4600
march,1,23.82,678,2.94,5205
march,2,23.82,678,2.94,5200
march,3,23.82,678,2.94,5195
march,4,23.82,678,2.94,5275
march,5,23.82,678,2.94,5180
march,6,23.82,678,2.94,5275
march,7,23.82,678,2.94,5200
march,8,23.82,678,2.94,5220
march,9,23.82,678,2.94,5325
march,10,23.82,678,2.94,5205
march,11,23.82,678,2.94,4950
march,12,23.82,678,2.94,4850
march,13,23.82,678,2.94,5150
march,14,23.82,678,2.94,5200
march,15,23.82,678,2.94,5245
march,16,23.82,678,2.94,5250
march,17,23.82,678,2.94,5125
march,18,23.82,678,2.94,5245
march,19,23.82,678,2.94,5250
march,20,23.82,678,2.94,5125
march,1,26.24,673,4.86,4795
march,2,26.24,673,4.86,4745
march,3,26.24,673,4.86,4745
march,4,26.24,673,4.86,4795
march,5,26.24,673,4.86,4695
march,6,26.24,673,4.86,4695
march,7,26.24,673,4.86,4740
march,8,26.24,673,4.86,4830
march,9,26.24,673,4.86,4845
march,10,26.24,673,4.86,4700
march,11,26.24,673,4.86,4690
march,12,26.24,673,4.86,4630
march,13,26.24,673,4.86,4625
march,14,26.24,673,4.86,4600
march,15,26.24,673,4.86,4555
march,16,26.24,673,4.86,4650
march,17,26.24,673,4.86,4630
march,18,26.24,673,4.86,4620
march,19,26.24,673,4.86,4700
march,20,26.24,673,4.86,4670
march,1,26.6,559,7.66,5410
march,2,26.6,559,7.66,5430
march,3,26.6,559,7.66,5445
march,4,26.6,559,7.66,5445
march,5,26.6,559,7.66,5445
march,6,26.6,559,7.66,5450
march,7,26.6,559,7.66,5455
march,8,26.6,559,7.66,5450
march,9,26.6,559,7.66,5475
march,10,26.6,559,7.66,5495
march,11,26.6,559,7.66,5530
march,12,26.6,559,7.66,5540
march,13,26.6,559,7.66,5580
march,14,26.6,559,7.66,5640
march,15,26.6,559,7.66,5660
march,16,26.6,559,7.66,5850
march,17,26.6,559,7.66,5850
march,18,26.6,559,7.66,5845
march,19,26.6,559,7.66,5845
march,20,26.6,559,7.66,5945
march,1,26.29,614,6.76,5025
march,2,26.29,614,6.76,4960
march,3,26.29,614,6.76,4835
march,4,26.29,614,6.76,4785
march,5,26.29,614,6.76,4860
march,6,26.29,614,6.76,4750
march,7,26.29,614,6.76,4330
march,8,26.29,614,6.76,4685
march,9,26.29,614,6.76,4485
march,10,26.29,614,6.76,4290
march,11,26.29,614,6.76,4690
march,12,26.29,614,6.76,4610
march,13,26.29,614,6.76,4420
march,14,26.29,614,6.76,4365
march,15,26.29,614,6.76,4240
march,16,26.29,614,6.76,4300
march,17,26.29,614,6.76,4330
march,18,26.29,614,6.76,4300
march,19,26.29,614,6.76,3485
march,20,26.29,614,6.76,3840
