month,date,area_sown,yield,inflation,price
may,1,27.73,687,5.87,4645
may,2,27.73,687,5.87,4745
may,3,27.73,687,5.87,4815
may,4,27.73,687,5.87,4875
may,5,27.73,687,5.87,4435
may,6,27.73,687,5.87,4895
may,7,27.73,687,5.87,4935
may,8,27.73,687,5.87,4925
may,9,27.73,687,5.87,4855
may,10,27.73,687,5.87,4525
may,11,27.73,687,5.87,4915
may,12,27.73,687,5.87,4880
may,13,27.73,687,5.87,4930
may,14,27.73,687,5.87,4940
may,15,27.73,687,5.87,4850
may,16,27.73,687,5.87,4800
may,17,27.73,687,5.87,4825
may,18,27.73,687,5.87,4720
may,19,27.73,687,5.87,4760
may,20,27.73,687,5.87,4715
may,1,27.22,562,4.94,4980
may,2,27.22,562,4.94,5000
may,3,27.22,562,4.94,4950
may,4,27.22,562,4.94,4980
may,5,27.22,562,4.94,4950
may,6,27.22,562,4.94,4950
may,7,27.22,562,4.94,4950
may,8,27.22,562,4.94,4950
may,9,27.22,562,4.94,4950
may,10,27.22,562,4.94,4950
may,11,27.22,562,4.94,4985
may,12,27.22,562,4.94,4985
may,13,27.22,562,4.94,4990
may,14,27.22,562,4.94,5050
may,15,27.22,562,4.94,5000
may,16,27.22,562,4.94,4985
may,17,27.22,562,4.94,5050
may,18,27.22,562,4.94,5150
may,19,27.22,562,4.94,5150
may,20,27.22,562,4.94,5500
may,1,23.82,678,2.94,4675
may,2,23.82,678,2.94,4650
may,3,23.82,678,2.94,4445
may,4,23.82,678,2.94,4635
may,5,23.82,678,2.94,4460
may,6,23.82,678,2.94,4695
may,7,23.82,678,2.94,4650
may,8,23.82,678,2.94,4600
may,9,23.82,678,2.94,4665
may,10,23.82,678,2.94,4685
may,11,23.82,678,2.94,4750
may,12,23.82,678,2.94,4850
may,13,23.82,678,2.94,4875
may,14,23.82,678,2.94,4930
may,15,23.82,678,2.94,4805
may,16,23.82,678,2.94,4690
may,17,23.82,678,2.94,4695
may,18,23.82,678,2.94,4675
may,19,23.82,678,2.94,4710
may,20,23.82,678,2.94,4700
may,1,26.24,673,4.86,4680
may,2,26.24,673,4.86,4825
may,3,26.24,673,4.86,4825
may,4,26.24,673,4.86,4850
may,5,26.24,673,4.86,4825
may,6,26.24,673,4.86,4830
may,7,26.24,673,4.86,4785
may,8,26.24,673,4.86,4780
may,9,26.24,673,4.86,4850
may,10,26.24,673,4.86,4840
may,11,26.24,673,4.86,4725
may,12,26.24,673,4.86,4800
may,13,26.24,673,4.86,4800
may,14,26.24,673,4.86,4845
may,15,26.24,673,4.86,4745
may,16,26.24,673,4.86,4855
may,17,26.24,673,4.86,4750
may,18,26.24,673,4.86,4850
may,19,26.24,673,4.86,4800
may,20,26.24,673,4.86,4845
may,1,26.6,559,7.66,5965
may,2,26.6,559,7.66,5950
may,3,26.6,559,7.66,6120
may,4,26.6,559,7.66,6115
may,5,26.6,559,7.66,5950
may,6,26.6,559,7.66,5900
may,7,26.6,559,7.66,6090
may,8,26.6,559,7.66,6070
may,9,26.6,559,7.66,5980
may,10,26.6,559,7.66,6065
may,11,26.6,559,7.66,5850
may,12,26.6,559,7.66,5930
may,13,26.6,559,7.66,6095
may,14,26.6,559,7.66,6085
may,15,26.6,559,7.66,6175
may,16,26.6,559,7.66,6185
may,17,26.6,559,7.66,6200
may,18,26.6,559,7.66,6205
may,19,26.6,559,7.66,6200
may,20,26.6,559,7.66,6415
may,1,26.29,614,6.76,3840
may,2,26.29,614,6.76,3520
may,3,26.29,614,6.76,3670
may,4,26.29,614,6.76,3530
may,5,26.29,614,6.76,3780
may,6,26.29,614,6.76,3700
may,7,26.29,614,6.76,3595
may,8,26.29,614,6.76,3655
may,9,26.29,614,6.76,3690
may,10,26.29,614,6.76,3695
may,11,26.29,614,6.76,3770
may,12,26.29,614,6.76,3685
may,13,26.29,614,6.76,3745
may,14,26.29,614,6.76,3610
may,15,26.29,614,6.76,3780
may,16,26.29,614,6.76,3780
may,17,26.29,614,6.76,3800
may,18,26.29,614,6.76,3805
may,19,26.29,614,6.76,3615
may,20,26.29,614,6.76,3660
