month,date,area_sown,yield,inflation,price
april,1,27.73,687,5.87,3870
april,2,27.73,687,5.87,3845
april,3,27.73,687,5.87,3885
april,4,27.73,687,5.87,4025
april,5,27.73,687,5.87,4195
april,6,27.73,687,5.87,4115
april,7,27.73,687,5.87,4260
april,8,27.73,687,5.87,4280
april,9,27.73,687,5.87,4240
april,10,27.73,687,5.87,4250
april,11,27.73,687,5.87,4300
april,12,27.73,687,5.87,4275
april,13,27.73,687,5.87,4260
april,14,27.73,687,5.87,4300
april,15,27.73,687,5.87,4275
april,16,27.73,687,5.87,4280
april,17,27.73,687,5.87,4195
april,18,27.73,687,5.87,4380
april,19,27.73,687,5.87,4380
april,20,27.73,687,5.87,4330
april,1,27.22,562,4.94,4130
april,2,27.22,562,4.94,4275
april,3,27.22,562,4.94,4375
april,4,27.22,562,4.94,4390
april,5,27.22,562,4.94,4335
april,6,27.22,562,4.94,4425
april,7,27.22,562,4.94,4435
april,8,27.22,562,4.94,4515
april,9,27.22,562,4.94,4505
april,10,27.22,562,4.94,4560
april,11,27.22,562,4.94,4530
april,12,27.22,562,4.94,4545
april,13,27.22,562,4.94,4490
april,14,27.22,562,4.94,4525
april,15,27.22,562,4.94,4535
april,16,27.22,562,4.94,4510
april,17,27.22,562,4.94,4560
april,18,27.22,562,4.94,4580
april,19,27.22,562,4.94,4535
april,20,27.22,562,4.94,4605
april,1,23.82,678,2.94,5725
april,2,23.82,678,2.94,5725
april,3,23.82,678,2.94,5660
april,4,23.82,678,2.94,5545
april,5,23.82,678,2.94,5615
april,6,23.82,678,2.94,5645
april,7,23.82,678,2.94,5630
april,8,23.82,678,2.94,5640
april,9,23.82,678,2.94,5600
april,10,23.82,678,2.94,5510
april,11,23.82,678,2.94,5500
april,12,23.82,678,2.94,5380
april,13,23.82,678,2.94,5410
april,14,23.82,678,2.94,5200
april,15,23.82,678,2.94,5225
april,16,23.82,678,2.94,5260
april,17,23.82,678,2.94,5300
april,18,23.82,678,2.94,5010
april,19,23.82,678,2.94,5370
april,20,23.82,678,2.94,5235
april,1,26.24,673,4.86,4720
april,2,26.24,673,4.86,4680
april,3,26.24,673,4.86,4710
april,4,26.24,673,4.86,4600
april,5,26.24,673,4.86,4575
april,6,26.24,673,4.86,4765
april,7,26.24,673,4.86,4625
april,8,26.24,673,4.86,4755
april,9,26.24,673,4.86,4720
april,10,26.24,673,4.86,4720
april,11,26.24,673,4.86,4650
april,12,26.24,673,4.86,4750
april,13,26.24,673,4.86,4755
april,14,26.24,673,4.86,4640
april,15,26.24,673,4.86,4855
april,16,26.24,673,4.86,4625
april,17,26.24,673,4.86,4870
april,18,26.24,673,4.86,4760
april,19,26.24,673,4.86,4765
april,20,26.24,673,4.86,4840
april,1,26.6,559,7.66,6275
april,2,26.6,559,7.66,6270
april,3,26.6,559,7.66,6200
april,4,26.6,559,7.66,6065
april,5,26.6,559,7.66,6400
april,6,26.6,559,7.66,6425
april,7,26.6,559,7.66,6450
april,8,26.6,559,7.66,6475
april,9,26.6,559,7.66,6480
april,10,26.6,559,7.66,6415
april,11,26.6,559,7.66,6450
april,12,26.6,559,7.66,6550
april,13,26.6,559,7.66,6420
april,14,26.6,559,7.66,6360
april,15,26.6,559,7.66,6250
april,16,26.6,559,7.66,6005
april,17,26.6,559,7.66,6425
april,18,26.6,559,7.66,6250
april,19,26.6,559,7.66,6335
april,20,26.6,559,7.66,6270
april,1,26.29,614,6.76,4875
april,2,26.29,614,6.76,4850
april,3,26.29,614,6.76,4785
april,4,26.29,614,6.76,4775
april,5,26.29,614,6.76,4690
april,6,26.29,614,6.76,4790
april,7,26.29,614,6.76,4660
april,8,26.29,614,6.76,4795
april,9,26.29,614,6.76,4860
april,10,26.29,614,6.76,4725
april,11,26.29,614,6.76,4875
april,12,26.29,614,6.76,4850
april,13,26.29,614,6.76,4785
april,14,26.29,614,6.76,4775
april,15,26.29,614,6.76,4690
april,16,26.29,614,6.76,4790
april,17,26.29,614,6.76,4660
april,18,26.29,614,6.76,4795
april,19,26.29,614,6.76,4860
april,20,26.29,614,6.76,4725
