month,date,area_sown,yield,inflation,price
dec,1,26.24,673,4.86,4325
dec,2,26.24,673,4.86,4265
dec,3,26.24,673,4.86,4285
dec,4,26.24,673,4.86,4240
dec,5,26.24,673,4.86,4250
dec,6,26.24,673,4.86,4285
dec,7,26.24,673,4.86,4300
dec,8,26.24,673,4.86,4265
dec,9,26.24,673,4.86,4345
dec,10,26.24,673,4.86,4375
dec,11,26.24,673,4.86,4430
dec,12,26.24,673,4.86,4425
dec,13,26.24,673,4.86,4500
dec,14,26.24,673,4.86,4680
dec,15,26.24,673,4.86,4575
dec,16,26.24,673,4.86,4555
dec,17,26.24,673,4.86,4635
dec,18,26.24,673,4.86,4665
dec,19,26.24,673,4.86,4555
dec,20,26.24,673,4.86,4635
dec,1,26.6,559,7.66,5090
dec,2,26.6,559,7.66,5020
dec,3,26.6,559,7.66,5020
dec,4,26.6,559,7.66,5025
dec,5,26.6,559,7.66,5095
dec,6,26.6,559,7.66,5040
dec,7,26.6,559,7.66,5100
dec,8,26.6,559,7.66,5100
dec,9,26.6,559,7.66,5005
dec,10,26.6,559,7.66,5105
dec,11,26.6,559,7.66,5030
dec,12,26.6,559,7.66,4895
dec,13,26.6,559,7.66,5035
dec,14,26.6,559,7.66,5100
dec,15,26.6,559,7.66,5100
dec,16,26.6,559,7.66,5005
dec,17,26.6,559,7.66,5105
dec,18,26.6,559,7.66,5030
dec,19,26.6,559,7.66,4895
dec,20,26.6,559,7.66,5035
dec,1,26.29,614,6.76,5495
dec,2,26.29,614,6.76,5580
dec,3,26.29,614,6.76,5530
dec,4,26.29,614,6.76,5515
dec,5,26.29,614,6.76,5465
dec,6,26.29,614,6.76,5495
dec,7,26.29,614,6.76,5475
dec,8,26.29,614,6.76,5470
dec,9,26.29,614,6.76,5525
dec,10,26.29,614,6.76,5555
dec,11,26.29,614,6.76,5550
dec,12,26.29,614,6.76,5470
dec,13,26.29,614,6.76,5530
dec,14,26.29,614,6.76,5540
dec,15,26.29,614,6.76,5535
dec,16,26.29,614,6.76,5540
dec,17,26.29,614,6.76,5450
dec,18,26.29,614,6.76,5525
dec,19,26.29,614,6.76,5475
dec,20,26.29,614,6.76,5500
