month,date,area_sown,yield,inflation,price
jan,1,27.73,687,5.87,3820
jan,2,27.73,687,5.87,3865
jan,3,27.73,687,5.87,3895
jan,4,27.73,687,5.87,3875
jan,5,27.73,687,5.87,3910
jan,6,27.73,687,5.87,3850
jan,7,27.73,687,5.87,3825
jan,8,27.73,687,5.87,3780
jan,9,27.73,687,5.87,3730
jan,10,27.73,687,5.87,3795
jan,11,27.73,687,5.87,3755
jan,12,27.73,687,5.87,3685
jan,13,27.73,687,5.87,3765
jan,14,27.73,687,5.87,3660
jan,15,27.73,687,5.87,3530
jan,16,27.73,687,5.87,3615
jan,17,27.73,687,5.87,3660
jan,18,27.73,687,5.87,3570
jan,19,27.73,687,5.87,3550
jan,20,27.73,687,5.87,3720
jan,1,27.22,562,4.94,4535
jan,2,27.22,562,4.94,4605
jan,3,27.22,562,4.94,4585
jan,4,27.22,562,4.94,4550
jan,5,27.22,562,4.94,4525
jan,6,27.22,562,4.94,4500
jan,7,27.22,562,4.94,4535
jan,8,27.22,562,4.94,4520
jan,9,27.22,562,4.94,4580
jan,10,27.22,562,4.94,4475
jan,11,27.22,562,4.94,4610
jan,12,27.22,562,4.94,4425
jan,13,27.22,562,4.94,4605
jan,14,27.22,562,4.94,4605
jan,15,27.22,562,4.94,4525
jan,16,27.22,562,4.94,4480
jan,17,27.22,562,4.94,4535
jan,18,27.22,562,4.94,4525
jan,19,27.22,562,4.94,4510
jan,20,27.22,562,4.94,4415
jan,1,23.82,678,2.94,5300
jan,2,23.82,678,2.94,5335
jan,3,23.82,678,2.94,5335
jan,4,23.82,678,2.94,5370
jan,5,23.82,678,2.94,5505
jan,6,23.82,678,2.94,5525
jan,7,23.82,678,2.94,5550
jan,8,23.82,678,2.94,5635
jan,9,23.82,678,2.94,5585
jan,10,23.82,678,2.94,5795
jan,11,23.82,678,2.94,5795
jan,12,23.82,678,2.94,5615
jan,13,23.82,678,2.94,5645
jan,14,23.82,678,2.94,5675
jan,15,23.82,678,2.94,5720
jan,16,23.82,678,2.94,5720
jan,17,23.82,678,2.94,5750
jan,18,23.82,678,2.94,5895
jan,19,23.82,678,2.94,5945
jan,20,23.82,678,2.94,5860
jan,1,26.24,673,4.86,5110
jan,2,26.24,673,4.86,5075
jan,3,26.24,673,4.86,5085
jan,4,26.24,673,4.86,5100
jan,5,26.24,673,4.86,5055
jan,6,26.24,673,4.86,5060
jan,7,26.24,673,4.86,5065
jan,8,26.24,673,4.86,5000
jan,9,26.24,673,4.86,5000
jan,10,26.24,673,4.86,4950
jan,11,26.24,673,4.86,5040
jan,12,26.24,673,4.86,5050
jan,13,26.24,673,4.86,5075
jan,14,26.24,673,4.86,5025
jan,15,26.24,673,4.86,5085
jan,16,26.24,673,4.86,5020
jan,17,26.24,673,4.86,4965
jan,18,26.24,673,4.86,4965
jan,19,26.24,673,4.86,4960
jan,20,26.24,673,4.86,4840
jan,1,26.6,559,7.66,5550
jan,2,26.6,559,7.66,5575
jan,3,26.6,559,7.66,5550
jan,4,26.6,559,7.66,5620
jan,5,26.6,559,7.66,5660
jan,6,26.6,559,7.66,5575
jan,7,26.6,559,7.66,5550
jan,8,26.6,559,7.66,5550
jan,9,26.6,559,7.66,5550
jan,10,26.6,559,7.66,5580
jan,11,26.6,559,7.66,5550
jan,12,26.6,559,7.66,5655
jan,13,26.6,559,7.66,5500
jan,14,26.6,559,7.66,5500
jan,15,26.6,559,7.66,5550
jan,16,26.6,559,7.66,5545
jan,17,26.6,559,7.66,5555
jan,18,26.6,559,7.66,5550
jan,19,26.6,559,7.66,5570
jan,20,26.6,559,7.66,5555
jan,1,26.29,614,6.76,5305
jan,2,26.29,614,6.76,5310
jan,3,26.29,614,6.76,5345
jan,4,26.29,614,6.76,5345
jan,5,26.29,614,6.76,5360
jan,6,26.29,614,6.76,5425
jan,7,26.29,614,6.76,5335
jan,8,26.29,614,6.76,5360
jan,9,26.29,614,6.76,5455
jan,10,26.29,614,6.76,5515
jan,11,26.29,614,6.76,5560
jan,12,26.29,614,6.76,5495
jan,13,26.29,614,6.76,5575
jan,14,26.29,614,6.76,5490
jan,15,26.29,614,6.76,5430
jan,16,26.29,614,6.76,5440
jan,17,26.29,614,6.76,5205
jan,18,26.29,614,6.76,5405
jan,19,26.29,614,6.76,5260
jan,20,26.29,614,6.76,5355
