month,date,area_sown,yield,inflation,price
march,1,27.73,687,5.87,3750
march,2,27.73,687,5.87,3765
march,3,27.73,687,5.87,3735
march,4,27.73,687,5.87,3780
march,5,27.73,687,5.87,3815
march,6,27.73,687,5.87,3740
march,7,27.73,687,5.87,3740
march,8,27.73,687,5.87,3775
march,9,27.73,687,5.87,3810
march,10,27.73,687,5.87,3825
march,11,27.73,687,5.87,3815
march,12,27.73,687,5.87,3785
march,13,27.73,687,5.87,3795
march,14,27.73,687,5.87,3790
march,15,27.73,687,5.87,3715
march,16,27.73,687,5.87,3815
march,17,27.73,687,5.87,3835
march,18,27.73,687,5.87,3855
march,19,27.73,687,5.87,3950
march,20,27.73,687,5.87,3900
march,1,27.22,562,4.94,4400
march,2,27.22,562,4.94,4350
march,3,27.22,562,4.94,3800
march,4,27.22,562,4.94,4065
march,5,27.22,562,4.94,4025
march,6,27.22,562,4.94,4070
march,7,27.22,562,4.94,4035
march,8,27.22,562,4.94,4085
march,9,27.22,562,4.94,3785
march,10,27.22,562,4.94,4035
march,11,27.22,562,4.94,4090
march,12,27.22,562,4.94,4025
march,13,27.22,562,4.94,4020
march,14,27.22,562,4.94,3975
march,15,27.22,562,4.94,3890
march,16,27.22,562,4.94,4000
march,17,27.22,562,4.94,4110
march,18,27.22,562,4.94,4055
march,19,27.22,562,4.94,4090
march,20,27.22,562,4.94,4130
march,1,23.82,678,2.94,5535
march,2,23.82,678,2.94,5535
march,3,23.82,678,2.94,5600
march,4,23.82,678,2.94,5590
march,5,23.82,678,2.94,5620
march,6,23.82,678,2.94,5365
march,7,23.82,678,2.94,5575
march,8,23.82,678,2.94,5050
march,9,23.82,678,2.94,5125
march,10,23.82,678,2.94,5220
march,11,23.82,678,2.94,5340
march,12,23.82,678,2.94,5380
march,13,23.82,678,2.94,5285
march,14,23.82,678,2.94,5410
march,15,23.82,678,2.94,5715
march,16,23.82,678,2.94,5460
march,17,23.82,678,2.94,5575
march,18,23.82,678,2.94,5535
march,19,23.82,678,2.94,5915
march,20,23.82,678,2.94,5725
march,1,26.24,673,4.86,4430
march,2,26.24,673,4.86,4635
march,3,26.24,673,4.86,4420
march,4,26.24,673,4.86,4600
march,5,26.24,673,4.86,4730
march,6,26.24,673,4.86,4645
march,7,26.24,673,4.86,4615
march,8,26.24,673,4.86,4590
march,9,26.24,673,4.86,4685
march,10,26.24,673,4.86,4510
march,11,26.24,673,4.86,4405
march,12,26.24,673,4.86,4310
march,13,26.24,673,4.86,4665
march,14,26.24,673,4.86,4680
march,15,26.24,673,4.86,4650
march,16,26.24,673,4.86,4610
march,17,26.24,673,4.86,4530
march,18,26.24,673,4.86,4560
march,19,26.24,673,4.86,4495
march,20,26.24,673,4.86,4500
march,1,26.6,559,7.66,5550
march,2,26.6,559,7.66,5575
march,3,26.6,559,7.66,5570
march,4,26.6,559,7.66,5250
march,5,26.6,559,7.66,5490
march,6,26.6,559,7.66,5580
march,7,26.6,559,7.66,5550
march,8,26.6,559,7.66,5590
march,9,26.6,559,7.66,5600
march,10,26.6,559,7.66,5500
march,11,26.6,559,7.66,5635
march,12,26.6,559,7.66,5500
march,13,26.6,559,7.66,5445
march,14,26.6,559,7.66,5890
march,15,26.6,559,7.66,6125
march,16,26.6,559,7.66,6250
march,17,26.6,559,7.66,6000
march,18,26.6,559,7.66,6275
march,19,26.6,559,7.66,6270
march,20,26.6,559,7.66,6200
march,1,26.29,614,6.76,4875
march,2,26.29,614,6.76,4850
march,3,26.29,614,6.76,4785
march,4,26.29,614,6.76,4775
march,5,26.29,614,6.76,4690
march,6,26.29,614,6.76,4790
march,7,26.29,614,6.76,4660
march,8,26.29,614,6.76,4795
march,9,26.29,614,6.76,4860
march,10,26.29,614,6.76,4725
march,11,26.29,614,6.76,4875
march,12,26.29,614,6.76,4850
march,13,26.29,614,6.76,4785
march,14,26.29,614,6.76,4775
march,15,26.29,614,6.76,4690
march,16,26.29,614,6.76,4790
march,17,26.29,614,6.76,4660
march,18,26.29,614,6.76,4795
march,19,26.29,614,6.76,4860
march,20,26.29,614,6.76,4725
