month,date,area_sown,yield,inflation,price
may,1,27.73,687,5.87,4330
may,2,27.73,687,5.87,4220
may,3,27.73,687,5.87,4290
may,4,27.73,687,5.87,4455
may,5,27.73,687,5.87,4585
may,6,27.73,687,5.87,4550
may,7,27.73,687,5.87,4390
may,8,27.73,687,5.87,4575
may,9,27.73,687,5.87,4525
may,10,27.73,687,5.87,4575
may,11,27.73,687,5.87,4530
may,12,27.73,687,5.87,4540
may,13,27.73,687,5.87,4465
may,14,27.73,687,5.87,4310
may,15,27.73,687,5.87,4420
may,16,27.73,687,5.87,4335
may,17,27.73,687,5.87,4240
may,18,27.73,687,5.87,4335
may,19,27.73,687,5.87,4245
may,20,27.73,687,5.87,4230
may,1,27.22,562,4.94,4125
may,2,27.22,562,4.94,4250
may,3,27.22,562,4.94,4000
may,4,27.22,562,4.94,4000
may,5,27.22,562,4.94,4250
may,6,27.22,562,4.94,4250
may,7,27.22,562,4.94,4500
may,8,27.22,562,4.94,4250
may,9,27.22,562,4.94,4250
may,10,27.22,562,4.94,4200
may,11,27.22,562,4.94,4000
may,12,27.22,562,4.94,4125
may,13,27.22,562,4.94,4250
may,14,27.22,562,4.94,4050
may,15,27.22,562,4.94,4300
may,16,27.22,562,4.94,4075
may,17,27.22,562,4.94,4500
may,18,27.22,562,4.94,4125
may,19,27.22,562,4.94,4500
may,20,27.22,562,4.94,4500
may,1,23.82,678,2.94,5150
may,2,23.82,678,2.94,5250
may,3,23.82,678,2.94,5105
may,4,23.82,678,2.94,5140
may,5,23.82,678,2.94,5125
may,6,23.82,678,2.94,4695
may,7,23.82,678,2.94,4750
may,8,23.82,678,2.94,4450
may,9,23.82,678,2.94,5035
may,10,23.82,678,2.94,5060
may,11,23.82,678,2.94,4775
may,12,23.82,678,2.94,4940
may,13,23.82,678,2.94,5100
may,14,23.82,678,2.94,4750
may,15,23.82,678,2.94,4600
may,16,23.82,678,2.94,5225
may,17,23.82,678,2.94,4840
may,18,23.82,678,2.94,4855
may,19,23.82,678,2.94,4860
may,20,23.82,678,2.94,4885
may,1,26.24,673,4.86,4870
may,2,26.24,673,4.86,4760
may,3,26.24,673,4.86,4765
may,4,26.24,673,4.86,4840
may,5,26.24,673,4.86,4690
may,6,26.24,673,4.86,4815
may,7,26.24,673,4.86,4815
may,8,26.24,673,4.86,4935
may,9,26.24,673,4.86,4760
may,10,26.24,673,4.86,4800
may,11,26.24,673,4.86,4655
may,12,26.24,673,4.86,4895
may,13,26.24,673,4.86,4915
may,14,26.24,673,4.86,4820
may,15,26.24,673,4.86,4930
may,16,26.24,673,4.86,4915
may,17,26.24,673,4.86,4850
may,18,26.24,673,4.86,5500
may,19,26.24,673,4.86,4895
may,20,26.24,673,4.86,4875
may,1,26.6,559,7.66,6425
may,2,26.6,559,7.66,6250
may,3,26.6,559,7.66,6335
may,4,26.6,559,7.66,6270
may,5,26.6,559,7.66,5900
may,6,26.6,559,7.66,6330
may,7,26.6,559,7.66,6230
may,8,26.6,559,7.66,6290
may,9,26.6,559,7.66,6220
may,10,26.6,559,7.66,6055
may,11,26.6,559,7.66,5830
may,12,26.6,559,7.66,6155
may,13,26.6,559,7.66,6110
may,14,26.6,559,7.66,6305
may,15,26.6,559,7.66,6225
may,16,26.6,559,7.66,6255
may,17,26.6,559,7.66,6100
may,18,26.6,559,7.66,6375
may,19,26.6,559,7.66,6250
may,20,26.6,559,7.66,6370
may,1,26.29,614,6.76,4760
may,2,26.29,614,6.76,4350
may,3,26.29,614,6.76,4320
may,4,26.29,614,6.76,3745
may,5,26.29,614,6.76,3755
may,6,26.29,614,6.76,3800
may,7,26.29,614,6.76,3905
may,8,26.29,614,6.76,3815
may,9,26.29,614,6.76,3885
may,10,26.29,614,6.76,3965
may,11,26.29,614,6.76,4105
may,12,26.29,614,6.76,4140
may,13,26.29,614,6.76,3845
may,14,26.29,614,6.76,4000
may,15,26.29,614,6.76,4060
may,16,26.29,614,6.76,4150
may,17,26.29,614,6.76,3890
may,18,26.29,614,6.76,4155
may,19,26.29,614,6.76,5045
may,20,26.29,614,6.76,5525
