month,date,area_sown,yield,inflation,price
feb,1,27.22,562,4.94,4040
feb,2,27.22,562,4.94,4060
feb,3,27.22,562,4.94,4065
feb,4,27.22,562,4.94,4045
feb,5,27.22,562,4.94,4025
feb,6,27.22,562,4.94,4040
feb,7,27.22,562,4.94,4025
feb,8,27.22,562,4.94,4040
feb,9,27.22,562,4.94,4040
feb,10,27.22,562,4.94,4060
feb,11,27.22,562,4.94,4075
feb,12,27.22,562,4.94,4085
feb,13,27.22,562,4.94,4070
feb,14,27.22,562,4.94,4075
feb,15,27.22,562,4.94,4050
feb,16,27.22,562,4.94,4075
feb,17,27.22,562,4.94,4080
feb,18,27.22,562,4.94,4075
feb,19,27.22,562,4.94,4065
feb,20,27.22,562,4.94,4050
feb,1,23.82,678,2.94,4730
feb,2,23.82,678,2.94,4710
feb,3,23.82,678,2.94,4710
feb,4,23.82,678,2.94,4690
feb,5,23.82,678,2.94,4715
feb,6,23.82,678,2.94,4700
feb,7,23.82,678,2.94,4690
feb,8,23.82,678,2.94,4660
feb,9,23.82,678,2.94,4640
feb,10,23.82,678,2.94,4630
feb,11,23.82,678,2.94,4730
feb,12,23.82,678,2.94,4790
feb,13,23.82,678,2.94,4785
feb,14,23.82,678,2.94,4750
feb,15,23.82,678,2.94,4745
feb,16,23.82,678,2.94,4745
feb,17,23.82,678,2.94,4730
feb,18,23.82,678,2.94,4750
feb,19,23.82,678,2.94,4750
feb,20,23.82,678,2.94,4820
feb,1,26.24,673,4.86,5650
feb,2,26.24,673,4.86,5750
feb,3,26.24,673,4.86,5700
feb,4,26.24,673,4.86,5650
feb,5,26.24,673,4.86,5625
feb,6,26.24,673,4.86,5565
feb,7,26.24,673,4.86,5625
feb,8,26.24,673,4.86,5625
feb,9,26.24,673,4.86,5725
feb,10,26.24,673,4.86,5725
feb,11,26.24,673,4.86,5625
feb,12,26.24,673,4.86,5650
feb,13,26.24,673,4.86,5650
feb,14,26.24,673,4.86,5625
feb,15,26.24,673,4.86,5650
feb,16,26.24,673,4.86,5600
feb,17,26.24,673,4.86,5600
feb,18,26.24,673,4.86,5650
feb,19,26.24,673,4.86,5650
feb,20,26.24,673,4.86,5700
feb,1,26.6,559,7.66,5050
feb,2,26.6,559,7.66,5140
feb,3,26.6,559,7.66,5100
feb,4,26.6,559,7.66,5175
feb,5,26.6,559,7.66,5125
feb,6,26.6,559,7.66,5125
feb,7,26.6,559,7.66,5200
feb,8,26.6,559,7.66,5190
feb,9,26.6,559,7.66,5170
feb,10,26.6,559,7.66,5175
feb,11,26.6,559,7.66,5150
feb,12,26.6,559,7.66,5090
feb,13,26.6,559,7.66,5100
feb,14,26.6,559,7.66,5100
feb,15,26.6,559,7.66,5075
feb,16,26.6,559,7.66,5150
feb,17,26.6,559,7.66,5150
feb,18,26.6,559,7.66,5150
feb,19,26.6,559,7.66,5100
feb,20,26.6,559,7.66,5090
feb,1,26.29,614,6.76,5500
feb,2,26.29,614,6.76,5400
feb,3,26.29,614,6.76,5425
feb,4,26.29,614,6.76,5425
feb,5,26.29,614,6.76,5425
feb,6,26.29,614,6.76,5425
feb,7,26.29,614,6.76,5450
feb,8,26.29,614,6.76,5525
feb,9,26.29,614,6.76,5375
feb,10,26.29,614,6.76,5425
feb,11,26.29,614,6.76,5425
feb,12,26.29,614,6.76,5450
feb,13,26.29,614,6.76,5475
feb,14,26.29,614,6.76,5425
feb,15,26.29,614,6.76,5400
feb,16,26.29,614,6.76,5400
feb,17,26.29,614,6.76,5450
feb,18,26.29,614,6.76,5450
feb,19,26.29,614,6.76,5465
feb,20,26.29,614,6.76,5475
