month,date,area_sown,yield,inflation,price
march,1,27.22,562,4.94,4050
march,2,27.22,562,4.94,4050
march,3,27.22,562,4.94,4050
march,4,27.22,562,4.94,4090
march,5,27.22,562,4.94,4095
march,6,27.22,562,4.94,4085
march,7,27.22,562,4.94,4090
march,8,27.22,562,4.94,4140
march,9,27.22,562,4.94,4125
march,10,27.22,562,4.94,4100
march,11,27.22,562,4.94,4175
march,12,27.22,562,4.94,4135
march,13,27.22,562,4.94,4125
march,14,27.22,562,4.94,4140
march,15,27.22,562,4.94,4160
march,16,27.22,562,4.94,4145
march,17,27.22,562,4.94,4265
march,18,27.22,562,4.94,4225
march,19,27.22,562,4.94,4230
march,20,27.22,562,4.94,4260
march,1,23.82,678,2.94,4730
march,2,23.82,678,2.94,4710
march,3,23.82,678,2.94,4710
march,4,23.82,678,2.94,4690
march,5,23.82,678,2.94,4715
march,6,23.82,678,2.94,4700
march,7,23.82,678,2.94,4690
march,8,23.82,678,2.94,4660
march,9,23.82,678,2.94,4640
march,10,23.82,678,2.94,4630
march,11,23.82,678,2.94,4730
march,12,23.82,678,2.94,4790
march,13,23.82,678,2.94,4785
march,14,23.82,678,2.94,4750
march,15,23.82,678,2.94,4745
march,16,23.82,678,2.94,4745
march,17,23.82,678,2.94,4730
march,18,23.82,678,2.94,4750
march,19,23.82,678,2.94,4750
march,20,23.82,678,2.94,4820
march,1,26.24,673,4.86,5650
march,2,26.24,673,4.86,5700
march,3,26.24,673,4.86,5775
march,4,26.24,673,4.86,5925
march,5,26.24,673,4.86,5850
march,6,26.24,673,4.86,5850
march,7,26.24,673,4.86,5700
march,8,26.24,673,4.86,5650
march,9,26.24,673,4.86,5575
march,10,26.24,673,4.86,5500
march,11,26.24,673,4.86,5500
march,12,26.24,673,4.86,5225
march,13,26.24,673,4.86,5700
march,14,26.24,673,4.86,5750
march,15,26.24,673,4.86,4800
march,16,26.24,673,4.86,3400
march,17,26.24,673,4.86,5700
march,18,26.24,673,4.86,5725
march,19,26.24,673,4.86,5700
march,20,26.24,673,4.86,5875
march,1,26.6,559,7.66,5115
march,2,26.6,559,7.66,5075
march,3,26.6,559,7.66,5050
march,4,26.6,559,7.66,5125
march,5,26.6,559,7.66,5150
march,6,26.6,559,7.66,5125
march,7,26.6,559,7.66,5075
march,8,26.6,559,7.66,5115
march,9,26.6,559,7.66,5145
march,10,26.6,559,7.66,5140
march,11,26.6,559,7.66,5110
march,12,26.6,559,7.66,5050
march,13,26.6,559,7.66,5120
march,14,26.6,559,7.66,5100
march,15,26.6,559,7.66,4050
march,16,26.6,559,7.66,5100
march,17,26.6,559,7.66,5140
march,18,26.6,559,7.66,5135
march,19,26.6,559,7.66,5130
march,20,26.6,559,7.66,5050
march,1,26.29,614,6.76,5435
march,2,26.29,614,6.76,5450
march,3,26.29,614,6.76,5465
march,4,26.29,614,6.76,5400
march,5,26.29,614,6.76,5480
march,6,26.29,614,6.76,5525
march,7,26.29,614,6.76,5520
march,8,26.29,614,6.76,5350
march,9,26.29,614,6.76,5490
march,10,26.29,614,6.76,5590
march,11,26.29,614,6.76,5575
march,12,26.29,614,6.76,5575
march,13,26.29,614,6.76,5650
march,14,26.29,614,6.76,5675
march,15,26.29,614,6.76,5700
march,16,26.29,614,6.76,5800
march,17,26.29,614,6.76,5850
march,18,26.29,614,6.76,5900
march,19,26.29,614,6.76,5900
march,20,26.29,614,6.76,5875
