month,date,price
may,1,4700
may,2,4800
may,3,4875
may,4,4950
may,5,4490
may,6,4925
may,7,4375
may,8,4375
may,9,4380
may,10,4955
may,11,4800
may,12,4825
may,13,4825
may,14,4375
may,15,4750
may,16,4750
may,17,4750
may,18,4630
may,19,4695
may,20,4500
may,1,5080
may,2,5035
may,3,5030
may,4,5005
may,5,5005
may,6,5040
may,7,5000
may,8,5080
may,9,5050
may,10,5090
may,11,5125
may,12,5100
may,13,5085
may,14,5055
may,15,5000
may,16,5055
may,17,5050
may,18,5000
may,19,5025
may,20,5000
may,1,5625
may,2,5700
may,3,5250
may,4,5625
may,5,5605
may,6,5575
may,7,5000
may,8,5600
may,9,4750
may,10,5455
may,11,5470
may,12,5000
may,13,5300
may,14,5000
may,15,4750
may,16,5455
may,17,5470
may,18,5000
may,19,5300
may,20,5000
may,1,5425
may,2,5470
may,3,5425
may,4,5475
may,5,5500
may,6,5490
may,7,5475
may,8,5525
may,9,5500
may,10,5610
may,11,5500
may,12,5075
may,13,5555
may,14,5570
may,15,5550
may,16,5500
may,17,5555
may,18,5605
may,19,5625
may,20,5325
may,1,6125
may,2,5190
may,3,6175
may,4,6180
may,5,5150
may,6,6125
may,7,6125
may,8,6150
may,9,6100
may,10,6150
may,11,6000
may,12,6080
may,13,5850
may,14,6050
may,15,6070
may,16,6100
may,17,6055
may,18,6150
may,19,6130
may,20,6195
