month,date,price
april,1,4145
april,2,4055
april,3,4225
april,4,4300
april,5,4310
april,6,4280
april,7,4295
april,8,4335
april,9,4265
april,10,4500
april,11,4245
april,12,4420
april,13,4395
april,14,4405
april,15,4405
april,16,4430
april,17,4285
april,18,4375
april,19,4405
april,20,4445
april,1,4455
april,2,4555
april,3,4490
april,4,4560
april,5,4630
april,6,4615
april,7,4595
april,8,4515
april,9,4580
april,10,4690
april,11,4665
april,12,4545
april,13,4560
april,14,4570
april,15,4580
april,16,4535
april,17,4610
april,18,4500
april,19,4595
april,20,4575
april,1,5160
april,2,5175
april,3,5235
april,4,5115
april,5,5320
april,6,5165
april,7,5350
april,8,5305
april,9,5305
april,10,5245
april,11,5220
april,12,5215
april,13,5160
april,14,5145
april,15,5205
april,16,5060
april,17,4970
april,18,5005
april,19,5010
april,20,4930
april,1,4150
april,2,4150
april,3,4050
april,4,4100
april,5,3850
april,6,4150
april,7,4150
april,8,3900
april,9,4150
april,10,4000
april,11,4100
april,12,4050
april,13,4150
april,14,4154
april,15,4150
april,16,4150
april,17,3850
april,18,4100
april,19,4150
april,20,4150
