month,date,area_sown,yield,inflation,price
dec,1,26.24,673,4.86,4315
dec,2,26.24,673,4.86,4325
dec,3,26.24,673,4.86,4310
dec,4,26.24,673,4.86,4260
dec,5,26.24,673,4.86,4315
dec,6,26.24,673,4.86,4370
dec,7,26.24,673,4.86,4295
dec,8,26.24,673,4.86,4320
dec,9,26.24,673,4.86,4400
dec,10,26.24,673,4.86,4500
dec,11,26.24,673,4.86,4520
dec,12,26.24,673,4.86,4575
dec,13,26.24,673,4.86,4555
dec,14,26.24,673,4.86,4480
dec,15,26.24,673,4.86,4510
dec,16,26.24,673,4.86,4715
dec,17,26.24,673,4.86,4560
dec,18,26.24,673,4.86,4560
dec,19,26.24,673,4.86,4530
dec,20,26.24,673,4.86,4705
dec,1,26.6,559,7.66,5015
dec,2,26.6,559,7.66,5040
dec,3,26.6,559,7.66,4865
dec,4,26.6,559,7.66,5105
dec,5,26.6,559,7.66,5040
dec,6,26.6,559,7.66,5055
dec,7,26.6,559,7.66,4970
dec,8,26.6,559,7.66,4980
dec,9,26.6,559,7.66,4875
dec,10,26.6,559,7.66,5010
dec,11,26.6,559,7.66,4945
dec,12,26.6,559,7.66,4955
dec,13,26.6,559,7.66,5035
dec,14,26.6,559,7.66,5025
dec,15,26.6,559,7.66,4975
dec,16,26.6,559,7.66,5010
dec,17,26.6,559,7.66,5025
dec,18,26.6,559,7.66,5025
dec,19,26.6,559,7.66,5110
dec,20,26.6,559,7.66,5125
dec,1,26.29,614,6.76,4500
dec,2,26.29,614,6.76,5000
dec,3,26.29,614,6.76,4800
dec,4,26.29,614,6.76,4850
dec,5,26.29,614,6.76,5000
dec,6,26.29,614,6.76,4350
dec,7,26.29,614,6.76,5000
dec,8,26.29,614,6.76,5000
dec,9,26.29,614,6.76,5000
dec,10,26.29,614,6.76,4300
dec,11,26.29,614,6.76,4800
dec,12,26.29,614,6.76,4800
dec,13,26.29,614,6.76,4900
dec,14,26.29,614,6.76,4250
dec,15,26.29,614,6.76,4250
dec,16,26.29,614,6.76,4150
dec,17,26.29,614,6.76,4250
dec,18,26.29,614,6.76,4550
dec,19,26.29,614,6.76,4350
dec,20,26.29,614,6.76,4500
