month,date,area_sown,yield,inflation,price
feb,1,27.73,687,5.87,3800
feb,2,27.73,687,5.87,3840
feb,3,27.73,687,5.87,3915
feb,4,27.73,687,5.87,3795
feb,5,27.73,687,5.87,3810
feb,6,27.73,687,5.87,3800
feb,7,27.73,687,5.87,3795
feb,8,27.73,687,5.87,3830
feb,9,27.73,687,5.87,3940
feb,10,27.73,687,5.87,3840
feb,11,27.73,687,5.87,3925
feb,12,27.73,687,5.87,3865
feb,13,27.73,687,5.87,3865
feb,14,27.73,687,5.87,3920
feb,15,27.73,687,5.87,3880
feb,16,27.73,687,5.87,3895
feb,17,27.73,687,5.87,3890
feb,18,27.73,687,5.87,3875
feb,19,27.73,687,5.87,3785
feb,20,27.73,687,5.87,3825
feb,1,27.22,562,4.94,4410
feb,2,27.22,562,4.94,4435
feb,3,27.22,562,4.94,4450
feb,4,27.22,562,4.94,4435
feb,5,27.22,562,4.94,4380
feb,6,27.22,562,4.94,4325
feb,7,27.22,562,4.94,4345
feb,8,27.22,562,4.94,4320
feb,9,27.22,562,4.94,4375
feb,10,27.22,562,4.94,4395
feb,11,27.22,562,4.94,4215
feb,12,27.22,562,4.94,4540
feb,13,27.22,562,4.94,4405
feb,14,27.22,562,4.94,4475
feb,15,27.22,562,4.94,4450
feb,16,27.22,562,4.94,4405
feb,17,27.22,562,4.94,4450
feb,18,27.22,562,4.94,4470
feb,19,27.22,562,4.94,4405
feb,20,27.22,562,4.94,4455
feb,1,23.82,678,2.94,5325
feb,2,23.82,678,2.94,5310
feb,3,23.82,678,2.94,5395
feb,4,23.82,678,2.94,5340
feb,5,23.82,678,2.94,5380
feb,6,23.82,678,2.94,5335
feb,7,23.82,678,2.94,5310
feb,8,23.82,678,2.94,5300
feb,9,23.82,678,2.94,5307.5
feb,10,23.82,678,2.94,5305
feb,11,23.82,678,2.94,5375
feb,12,23.82,678,2.94,5525
feb,13,23.82,678,2.94,5320
feb,14,23.82,678,2.94,5375
feb,15,23.82,678,2.94,5135
feb,16,23.82,678,2.94,5250
feb,17,23.82,678,2.94,5230
feb,18,23.82,678,2.94,5285
feb,19,23.82,678,2.94,5365
feb,20,23.82,678,2.94,5275
feb,1,26.24,673,4.86,4350
feb,2,26.24,673,4.86,4350
feb,3,26.24,673,4.86,4250
feb,4,26.24,673,4.86,4250
feb,5,26.24,673,4.86,4350
feb,6,26.24,673,4.86,4350
feb,7,26.24,673,4.86,4350
feb,8,26.24,673,4.86,4550
feb,9,26.24,673,4.86,4350
feb,10,26.24,673,4.86,4350
feb,11,26.24,673,4.86,4350
feb,12,26.24,673,4.86,4350
feb,13,26.24,673,4.86,4250
feb,14,26.24,673,4.86,4250
feb,15,26.24,673,4.86,4250
feb,16,26.24,673,4.86,4250
feb,17,26.24,673,4.86,4250
feb,18,26.24,673,4.86,4050
feb,19,26.24,673,4.86,4250
feb,20,26.24,673,4.86,4250
feb,1,26.6,559,7.66,4650
feb,2,26.6,559,7.66,4500
feb,3,26.6,559,7.66,4500
feb,4,26.6,559,7.66,4850
feb,5,26.6,559,7.66,4500
feb,6,26.6,559,7.66,4500
feb,7,26.6,559,7.66,4350
feb,8,26.6,559,7.66,4900
feb,9,26.6,559,7.66,4800
feb,10,26.6,559,7.66,4500
feb,11,26.6,559,7.66,4500
feb,12,26.6,559,7.66,4250
feb,13,26.6,559,7.66,4500
feb,14,26.6,559,7.66,4860
feb,15,26.6,559,7.66,4350
feb,16,26.6,559,7.66,4500
feb,17,26.6,559,7.66,4500
feb,18,26.6,559,7.66,4350
feb,19,26.6,559,7.66,4450
feb,20,26.6,559,7.66,4850
feb,1,26.29,614,6.76,4895
feb,2,26.29,614,6.76,4785
feb,3,26.29,614,6.76,4715
feb,4,26.29,614,6.76,4615
feb,5,26.29,614,6.76,4770
feb,6,26.29,614,6.76,4835
feb,7,26.29,614,6.76,4845
feb,8,26.29,614,6.76,4805
feb,9,26.29,614,6.76,4815
feb,10,26.29,614,6.76,4780
feb,11,26.29,614,6.76,4790
feb,12,26.29,614,6.76,4730
feb,13,26.29,614,6.76,4805
feb,14,26.29,614,6.76,4750
feb,15,26.29,614,6.76,4690
feb,16,26.29,614,6.76,4780
feb,17,26.29,614,6.76,4485
feb,18,26.29,614,6.76,4550
feb,19,26.29,614,6.76,4580
feb,20,26.29,614,6.76,4345
