month,date,area_sown,yield,inflation,price
jan,1,27.73,687,5.87,4040
jan,2,27.73,687,5.87,4025
jan,3,27.73,687,5.87,4085
jan,4,27.73,687,5.87,4100
jan,5,27.73,687,5.87,4050
jan,6,27.73,687,5.87,3990
jan,7,27.73,687,5.87,3985
jan,8,27.73,687,5.87,3905
jan,9,27.73,687,5.87,4005
jan,10,27.73,687,5.87,3970
jan,11,27.73,687,5.87,3920
jan,12,27.73,687,5.87,3955
jan,13,27.73,687,5.87,3800
jan,14,27.73,687,5.87,3800
jan,15,27.73,687,5.87,3790
jan,16,27.73,687,5.87,3795
jan,17,27.73,687,5.87,3820
jan,18,27.73,687,5.87,3735
jan,19,27.73,687,5.87,3790
jan,20,27.73,687,5.87,3855
jan,1,27.22,562,4.94,4600
jan,2,27.22,562,4.94,4570
jan,3,27.22,562,4.94,4550
jan,4,27.22,562,4.94,4525
jan,5,27.22,562,4.94,4580
jan,6,27.22,562,4.94,4595
jan,7,27.22,562,4.94,4530
jan,8,27.22,562,4.94,4500
jan,9,27.22,562,4.94,4480
jan,10,27.22,562,4.94,4570
jan,11,27.22,562,4.94,4425
jan,12,27.22,562,4.94,4515
jan,13,27.22,562,4.94,4520
jan,14,27.22,562,4.94,4475
jan,15,27.22,562,4.94,4455
jan,16,27.22,562,4.94,4410
jan,17,27.22,562,4.94,4390
jan,18,27.22,562,4.94,4410
jan,19,27.22,562,4.94,4435
jan,20,27.22,562,4.94,4450
jan,1,23.82,678,2.94,5040
jan,2,23.82,678,2.94,5130
jan,3,23.82,678,2.94,5210
jan,4,23.82,678,2.94,5195
jan,5,23.82,678,2.94,5160
jan,6,23.82,678,2.94,5185
jan,7,23.82,678,2.94,5200
jan,8,23.82,678,2.94,5345
jan,9,23.82,678,2.94,5335
jan,10,23.82,678,2.94,5515
jan,11,23.82,678,2.94,5660
jan,12,23.82,678,2.94,5375
jan,13,23.82,678,2.94,5340
jan,14,23.82,678,2.94,5460
jan,15,23.82,678,2.94,5675
jan,16,23.82,678,2.94,5570
jan,17,23.82,678,2.94,5465
jan,18,23.82,678,2.94,5460
jan,19,23.82,678,2.94,5390
jan,20,23.82,678,2.94,5300
jan,1,26.24,673,4.86,4250
jan,2,26.24,673,4.86,4150
jan,3,26.24,673,4.86,4250
jan,4,26.24,673,4.86,4750
jan,5,26.24,673,4.86,4550
jan,6,26.24,673,4.86,4250
jan,7,26.24,673,4.86,4500
jan,8,26.24,673,4.86,4250
jan,9,26.24,673,4.86,4250
jan,10,26.24,673,4.86,4500
jan,11,26.24,673,4.86,4350
jan,12,26.24,673,4.86,4350
jan,13,26.24,673,4.86,4250
jan,14,26.24,673,4.86,4250
jan,15,26.24,673,4.86,4350
jan,16,26.24,673,4.86,4350
jan,17,26.24,673,4.86,4350
jan,18,26.24,673,4.86,4550
jan,19,26.24,673,4.86,4350
jan,20,26.24,673,4.86,4350
jan,1,26.6,559,7.66,4350
jan,2,26.6,559,7.66,4500
jan,3,26.6,559,7.66,4350
jan,4,26.6,559,7.66,5000
jan,5,26.6,559,7.66,4300
jan,6,26.6,559,7.66,4350
jan,7,26.6,559,7.66,4350
jan,8,26.6,559,7.66,4500
jan,9,26.6,559,7.66,4150
jan,10,26.6,559,7.66,4650
jan,11,26.6,559,7.66,4500
jan,12,26.6,559,7.66,4500
jan,13,26.6,559,7.66,4300
jan,14,26.6,559,7.66,4350
jan,15,26.6,559,7.66,4350
jan,16,26.6,559,7.66,4500
jan,17,26.6,559,7.66,4150
jan,18,26.6,559,7.66,4650
jan,19,26.6,559,7.66,4500
jan,20,26.6,559,7.66,4500
jan,1,26.29,614,6.76,4715
jan,2,26.29,614,6.76,4950
jan,3,26.29,614,6.76,5240
jan,4,26.29,614,6.76,5235
jan,5,26.29,614,6.76,5240
jan,6,26.29,614,6.76,5060
jan,7,26.29,614,6.76,5010
jan,8,26.29,614,6.76,5005
jan,9,26.29,614,6.76,5160
jan,10,26.29,614,6.76,5145
jan,11,26.29,614,6.76,5095
jan,12,26.29,614,6.76,5195
jan,13,26.29,614,6.76,5115
jan,14,26.29,614,6.76,5075
jan,15,26.29,614,6.76,5115
jan,16,26.29,614,6.76,5225
jan,17,26.29,614,6.76,5050
jan,18,26.29,614,6.76,4985
jan,19,26.29,614,6.76,5025
jan,20,26.29,614,6.76,5060
