month,date,area_sown,yield,inflation,price
march,1,27.73,687,5.87,3835
march,2,27.73,687,5.87,3860
march,3,27.73,687,5.87,3835
march,4,27.73,687,5.87,3825
march,5,27.73,687,5.87,3805
march,6,27.73,687,5.87,3915
march,7,27.73,687,5.87,3800
march,8,27.73,687,5.87,3825
march,9,27.73,687,5.87,3835
march,10,27.73,687,5.87,3845
march,11,27.73,687,5.87,3845
march,12,27.73,687,5.87,3875
march,13,27.73,687,5.87,3855
march,14,27.73,687,5.87,3845
march,15,27.73,687,5.87,3835
march,16,27.73,687,5.87,3880
march,17,27.73,687,5.87,3895
march,18,27.73,687,5.87,3895
march,19,27.73,687,5.87,3840
march,20,27.73,687,5.87,3845
march,1,27.22,562,4.94,4405
march,2,27.22,562,4.94,4455
march,3,27.22,562,4.94,4525
march,4,27.22,562,4.94,4445
march,5,27.22,562,4.94,4410
march,6,27.22,562,4.94,4380
march,7,27.22,562,4.94,4450
march,8,27.22,562,4.94,4395
march,9,27.22,562,4.94,4380
march,10,27.22,562,4.94,4260
march,11,27.22,562,4.94,4410
march,12,27.22,562,4.94,4440
march,13,27.22,562,4.94,4350
march,14,27.22,562,4.94,4385
march,15,27.22,562,4.94,4330
march,16,27.22,562,4.94,4335
march,17,27.22,562,4.94,4330
march,18,27.22,562,4.94,4255
march,19,27.22,562,4.94,4455
march,20,27.22,562,4.94,4555
march,1,23.82,678,2.94,5325
march,2,23.82,678,2.94,5265
march,3,23.82,678,2.94,5235
march,4,23.82,678,2.94,5160
march,5,23.82,678,2.94,5130
march,6,23.82,678,2.94,5300
march,7,23.82,678,2.94,5260
march,8,23.82,678,2.94,5255
march,9,23.82,678,2.94,5235
march,10,23.82,678,2.94,5185
march,11,23.82,678,2.94,5270
march,12,23.82,678,2.94,5200
march,13,23.82,678,2.94,5160
march,14,23.82,678,2.94,5175
march,15,23.82,678,2.94,5235
march,16,23.82,678,2.94,5115
march,17,23.82,678,2.94,5320
march,18,23.82,678,2.94,5165
march,19,23.82,678,2.94,5350
march,20,23.82,678,2.94,5305
march,1,26.24,673,4.86,4250
march,2,26.24,673,4.86,4250
march,3,26.24,673,4.86,4050
march,4,26.24,673,4.86,3950
march,5,26.24,673,4.86,4150
march,6,26.24,673,4.86,4100
march,7,26.24,673,4.86,3650
march,8,26.24,673,4.86,3750
march,9,26.24,673,4.86,4150
march,10,26.24,673,4.86,4100
march,11,26.24,673,4.86,4000
march,12,26.24,673,4.86,4050
march,13,26.24,673,4.86,4050
march,14,26.24,673,4.86,4150
march,15,26.24,673,4.86,4150
march,16,26.24,673,4.86,4050
march,17,26.24,673,4.86,4100
march,18,26.24,673,4.86,3850
march,19,26.24,673,4.86,4150
march,20,26.24,673,4.86,4150
march,1,26.6,559,7.66,4350
march,2,26.6,559,7.66,4500
march,3,26.6,559,7.66,4500
march,4,26.6,559,7.66,4350
march,5,26.6,559,7.66,4450
march,6,26.6,559,7.66,4850
march,7,26.6,559,7.66,4350
march,8,26.6,559,7.66,4500
march,9,26.6,559,7.66,4000
march,10,26.6,559,7.66,4350
march,11,26.6,559,7.66,4250
march,12,26.6,559,7.66,4350
march,13,26.6,559,7.66,4250
march,14,26.6,559,7.66,4150
march,15,26.6,559,7.66,4550
march,16,26.6,559,7.66,4350
march,17,26.6,559,7.66,4250
march,18,26.6,559,7.66,4350
march,19,26.6,559,7.66,4250
march,20,26.6,559,7.66,4150
march,1,26.29,614,6.76,4365
march,2,26.29,614,6.76,4245
march,3,26.29,614,6.76,4475
march,4,26.29,614,6.76,4240
march,5,26.29,614,6.76,4565
march,6,26.29,614,6.76,4460
march,7,26.29,614,6.76,4350
march,8,26.29,614,6.76,4310
march,9,26.29,614,6.76,4375
march,10,26.29,614,6.76,4180
march,11,26.29,614,6.76,4055
march,12,26.29,614,6.76,4095
march,13,26.29,614,6.76,4195
march,14,26.29,614,6.76,4195
march,15,26.29,614,6.76,4145
march,16,26.29,614,6.76,4180
march,17,26.29,614,6.76,4065
march,18,26.29,614,6.76,4145
march,19,26.29,614,6.76,4180
march,20,26.29,614,6.76,4065
