month,date,price
nov,1,4365
nov,2,4210
nov,3,4240
nov,4,4205
nov,5,4240
nov,6,4330
nov,7,4275
nov,8,4235
nov,9,4255
nov,10,4285
nov,11,4290
nov,12,4280
nov,13,4265
nov,14,4245
nov,15,4290
nov,16,4200
nov,17,4215
nov,18,4315
nov,19,4325
nov,20,4310
nov,1,4670
nov,2,4640
nov,3,4780
nov,4,4660
nov,5,4705
nov,6,4640
nov,7,4705
nov,8,4675
nov,9,4665
nov,10,4680
nov,11,4695
nov,12,4770
nov,13,5155
nov,14,5080
nov,15,5015
nov,16,5050
nov,17,5015
nov,18,5040
nov,19,4865
nov,20,5105
nov,1,4550
nov,2,4500
nov,3,4850
nov,4,4500
nov,5,4800
nov,6,5000
nov,7,4800
nov,8,3700
nov,9,4500
nov,10,5000
nov,11,4800
nov,12,4850
nov,13,5000
nov,14,4350
nov,15,5000
nov,16,5000
nov,17,5000
nov,18,4300
nov,19,4800
nov,20,4800
