month,date,price
april,1,3995
april,2,4100
april,3,4065
april,4,4475
april,5,4505
april,6,4475
april,7,4475
april,8,4405
april,9,4300
april,10,4330
april,11,4300
april,12,4230
april,13,4200
april,14,4185
april,15,4125
april,16,4170
april,17,4175
april,18,4130
april,19,4150
april,20,4250
april,1,4375
april,2,4450
april,3,4350
april,4,4587
april,5,4612
april,6,4500
april,7,4575
april,8,4525
april,9,4575
april,10,4662
april,11,4587
april,12,4675
april,13,4715
april,14,4715
april,15,4642
april,16,4625
april,17,4595
april,18,4600
april,19,4625
april,20,4702
april,1,5425
april,2,5500
april,3,5512
april,4,5525
april,5,5482
april,6,5502
april,7,5500
april,8,5455
april,9,5482
april,10,5472
april,11,5447
april,12,5462
april,13,5282
april,14,5527
april,15,5440
april,16,5430
april,17,5270
april,18,5287
april,19,5195
april,20,5167
april,1,4800
april,2,4625
april,3,4625
april,4,4650
april,5,4650
april,6,4625
april,7,4650
april,8,4750
april,9,4725
april,10,4770
april,11,4725
april,12,4700
april,13,4750
april,14,4750
april,15,4720
april,16,4750
april,17,4725
april,18,4700
april,19,4725
april,20,4675
april,1,6205
april,2,6295
april,3,6375
april,4,6380
april,5,6250
april,6,6405
april,7,6325
april,8,6340
april,9,6350
april,10,6340
april,11,6255
april,12,6235
april,13,6270
april,14,6040
april,15,6290
april,16,6290
april,17,6290
april,18,6275
april,19,6245
april,20,6200
