month,date,price
feb,1,3790
feb,2,3775
feb,3,3905
feb,4,3900
feb,5,3765
feb,6,3850
feb,7,3755
feb,8,3755
feb,9,3800
feb,10,3835
feb,11,3855
feb,12,3835
feb,13,3880
feb,14,3880
feb,15,3885
feb,16,3870
feb,17,3835
feb,18,3830
feb,19,3820
feb,20,3825
feb,1,4000
feb,2,4000
feb,3,4000
feb,4,4050
feb,5,4000
feb,6,4000
feb,7,4250
feb,8,4250
feb,9,4100
feb,10,4075
feb,11,4250
feb,12,4250
feb,13,4250
feb,14,4000
feb,15,4250
feb,16,4100
feb,17,4175
feb,18,4200
feb,19,4250
feb,20,4225
feb,1,5625
feb,2,5700
feb,3,5850
feb,4,5550
feb,5,5625
feb,6,5250
feb,7,5500
feb,8,5500
feb,9,5500
feb,10,5700
feb,11,5525
feb,12,5555
feb,13,5500
feb,14,5625
feb,15,5625
feb,16,5500
feb,17,5250
feb,18,5200
feb,19,5625
feb,20,5250
feb,1,4500
feb,2,4700
feb,3,4500
feb,4,4375
feb,5,4650
feb,6,4550
feb,7,4625
feb,8,4400
feb,9,4900
feb,10,4750
feb,11,4700
feb,12,4625
feb,13,4500
feb,14,4400
feb,15,4250
feb,16,4440
feb,17,4400
feb,18,4700
feb,19,4750
feb,20,4500
feb,1,5200
feb,2,5200
feb,3,5300
feb,4,5150
feb,5,5100
feb,6,5250
feb,7,5200
feb,8,5200
feb,9,5225
feb,10,5190
feb,11,5200
feb,12,5025
feb,13,5210
feb,14,5250
feb,15,5250
feb,16,5200
feb,17,5250
feb,18,5250
feb,19,5250
feb,20,5100
feb,1,4750
feb,2,4400
feb,3,4375
feb,4,4400
feb,5,4500
feb,6,4500
feb,7,4750
feb,8,4750
feb,9,4750
feb,10,4500
feb,11,4500
feb,12,4150
feb,13,4250
feb,14,3960
feb,15,4000
feb,16,4250
feb,17,4000
feb,18,4000
feb,19,4100
feb,20,4100
