month,date,area_sown,yield,inflation,price
jan,1,27.73,687,5.87,4010
jan,2,27.73,687,5.87,4025
jan,3,27.73,687,5.87,4050
jan,4,27.73,687,5.87,4040
jan,5,27.73,687,5.87,4025
jan,6,27.73,687,5.87,4005
jan,7,27.73,687,5.87,4000
jan,8,27.73,687,5.87,3950
jan,9,27.73,687,5.87,3900
jan,10,27.73,687,5.87,3950
jan,11,27.73,687,5.87,3735
jan,12,27.73,687,5.87,3775
jan,13,27.73,687,5.87,3735
jan,14,27.73,687,5.87,3735
jan,15,27.73,687,5.87,3700
jan,16,27.73,687,5.87,3800
jan,17,27.73,687,5.87,3830
jan,18,27.73,687,5.87,3775
jan,19,27.73,687,5.87,3900
jan,20,27.73,687,5.87,3860
jan,1,27.22,562,4.94,4500
jan,2,27.22,562,4.94,4625
jan,3,27.22,562,4.94,4650
jan,4,27.22,562,4.94,4750
jan,5,27.22,562,4.94,4750
jan,6,27.22,562,4.94,4700
jan,7,27.22,562,4.94,4400
jan,8,27.22,562,4.94,4400
jan,9,27.22,562,4.94,4450
jan,10,27.22,562,4.94,4375
jan,11,27.22,562,4.94,4390
jan,12,27.22,562,4.94,4450
jan,13,27.22,562,4.94,4350
jan,14,27.22,562,4.94,4250
jan,15,27.22,562,4.94,4350
jan,16,27.22,562,4.94,4305
jan,17,27.22,562,4.94,4300
jan,18,27.22,562,4.94,4125
jan,19,27.22,562,4.94,4075
jan,20,27.22,562,4.94,4100
jan,1,23.82,678,2.94,5000
jan,2,23.82,678,2.94,5003
jan,3,23.82,678,2.94,4928
jan,4,23.82,678,2.94,5003
jan,5,23.82,678,2.94,4925
jan,6,23.82,678,2.94,4905
jan,7,23.82,678,2.94,4780
jan,8,23.82,678,2.94,4975
jan,9,23.82,678,2.94,5090
jan,10,23.82,678,2.94,5280
jan,11,23.82,678,2.94,5250
jan,12,23.82,678,2.94,5230
jan,13,23.82,678,2.94,5270
jan,14,23.82,678,2.94,5245
jan,15,23.82,678,2.94,5275
jan,16,23.82,678,2.94,5310
jan,17,23.82,678,2.94,5150
jan,18,23.82,678,2.94,5270
jan,19,23.82,678,2.94,5245
jan,20,23.82,678,2.94,5275
jan,1,26.24,673,4.86,5000
jan,2,26.24,673,4.86,5000
jan,3,26.24,673,4.86,5000
jan,4,26.24,673,4.86,5000
jan,5,26.24,673,4.86,5055
jan,6,26.24,673,4.86,5000
jan,7,26.24,673,4.86,5100
jan,8,26.24,673,4.86,4900
jan,9,26.24,673,4.86,5065
jan,10,26.24,673,4.86,5125
jan,11,26.24,673,4.86,5200
jan,12,26.24,673,4.86,4900
jan,13,26.24,673,4.86,4800
jan,14,26.24,673,4.86,5000
jan,15,26.24,673,4.86,4750
jan,16,26.24,673,4.86,4850
jan,17,26.24,673,4.86,4820
jan,18,26.24,673,4.86,4900
jan,19,26.24,673,4.86,4750
jan,20,26.24,673,4.86,4625
jan,1,26.6,559,7.66,5450
jan,2,26.6,559,7.66,5300
jan,3,26.6,559,7.66,5400
jan,4,26.6,559,7.66,5250
jan,5,26.6,559,7.66,5400
jan,6,26.6,559,7.66,5400
jan,7,26.6,559,7.66,5250
jan,8,26.6,559,7.66,5125
jan,9,26.6,559,7.66,5150
jan,10,26.6,559,7.66,5250
jan,11,26.6,559,7.66,5125
jan,12,26.6,559,7.66,5200
jan,13,26.6,559,7.66,5130
jan,14,26.6,559,7.66,5175
jan,15,26.6,559,7.66,5200
jan,16,26.6,559,7.66,5250
jan,17,26.6,559,7.66,5250
jan,18,26.6,559,7.66,5000
jan,19,26.6,559,7.66,5150
jan,20,26.6,559,7.66,5200
jan,1,26.29,614,6.76,5125
jan,2,26.29,614,6.76,5085
jan,3,26.29,614,6.76,5030
jan,4,26.29,614,6.76,5075
jan,5,26.29,614,6.76,5035
jan,6,26.29,614,6.76,4875
jan,7,26.29,614,6.76,4960
jan,8,26.29,614,6.76,4700
jan,9,26.29,614,6.76,4735
jan,10,26.29,614,6.76,4735
jan,11,26.29,614,6.76,4650
jan,12,26.29,614,6.76,4390
jan,13,26.29,614,6.76,4365
jan,14,26.29,614,6.76,4375
jan,15,26.29,614,6.76,4400
jan,16,26.29,614,6.76,4525
jan,17,26.29,614,6.76,4485
jan,18,26.29,614,6.76,4465
jan,19,26.29,614,6.76,4250
jan,20,26.29,614,6.76,4250
