month,date,area_sown,yield,inflation,price
may,1,27.22,562,4.94,4240
may,2,27.22,562,4.94,4035
may,3,27.22,562,4.94,4330
may,4,27.22,562,4.94,4425
may,5,27.22,562,4.94,4470
may,6,27.22,562,4.94,4525
may,7,27.22,562,4.94,4505
may,8,27.22,562,4.94,4465
may,9,27.22,562,4.94,4400
may,10,27.22,562,4.94,4535
may,11,27.22,562,4.94,4550
may,12,27.22,562,4.94,4435
may,13,27.22,562,4.94,4300
may,14,27.22,562,4.94,4275
may,15,27.22,562,4.94,4260
may,16,27.22,562,4.94,4315
may,17,27.22,562,4.94,4200
may,18,27.22,562,4.94,4250
may,19,27.22,562,4.94,4280
may,20,27.22,562,4.94,4250
may,1,23.82,678,2.94,4702
may,2,23.82,678,2.94,4667
may,3,23.82,678,2.94,4690
may,4,23.82,678,2.94,4702
may,5,23.82,678,2.94,4700
may,6,23.82,678,2.94,4715
may,7,23.82,678,2.94,4725
may,8,23.82,678,2.94,4627
may,9,23.82,678,2.94,4610
may,10,23.82,678,2.94,4525
may,11,23.82,678,2.94,4615
may,12,23.82,678,2.94,4585
may,13,23.82,678,2.94,4625
may,14,23.82,678,2.94,4660
may,15,23.82,678,2.94,4667
may,16,23.82,678,2.94,4687
may,17,23.82,678,2.94,4712
may,18,23.82,678,2.94,4725
may,19,23.82,678,2.94,4715
may,20,23.82,678,2.94,4752
may,1,26.24,673,4.86,4945
may,2,26.24,673,4.86,4967
may,3,26.24,673,4.86,4922
may,4,26.24,673,4.86,4887
may,5,26.24,673,4.86,4885
may,6,26.24,673,4.86,4885
may,7,26.24,673,4.86,4925
may,8,26.24,673,4.86,4810
may,9,26.24,673,4.86,4897
may,10,26.24,673,4.86,5022
may,11,26.24,673,4.86,4860
may,12,26.24,673,4.86,4997
may,13,26.24,673,4.86,4892
may,14,26.24,673,4.86,5000
may,15,26.24,673,4.86,4865
may,16,26.24,673,4.86,4982
may,17,26.24,673,4.86,5042
may,18,26.24,673,4.86,4955
may,19,26.24,673,4.86,4952
may,20,26.24,673,4.86,4887
may,1,26.6,559,7.66,4712
may,2,26.6,559,7.66,4920
may,3,26.6,559,7.66,5027
may,4,26.6,559,7.66,4827
may,5,26.6,559,7.66,5077
may,6,26.6,559,7.66,4917
may,7,26.6,559,7.66,4870
may,8,26.6,559,7.66,4947
may,9,26.6,559,7.66,5060
may,10,26.6,559,7.66,5112
may,11,26.6,559,7.66,4955
may,12,26.6,559,7.66,4947
may,13,26.6,559,7.66,4900
may,14,26.6,559,7.66,5107
may,15,26.6,559,7.66,4980
may,16,26.6,559,7.66,4900
may,17,26.6,559,7.66,4950
may,18,26.6,559,7.66,4920
may,19,26.6,559,7.66,5152
may,20,26.6,559,7.66,4965
may,1,26.29,614,6.76,6275
may,2,26.29,614,6.76,6245
may,3,26.29,614,6.76,6200
may,4,26.29,614,6.76,6200
may,5,26.29,614,6.76,6100
may,6,26.29,614,6.76,6075
may,7,26.29,614,6.76,5807
may,8,26.29,614,6.76,5700
may,9,26.29,614,6.76,6000
may,10,26.29,614,6.76,6115
may,11,26.29,614,6.76,5547
may,12,26.29,614,6.76,5910
may,13,26.29,614,6.76,6100
may,14,26.29,614,6.76,6125
may,15,26.29,614,6.76,5945
may,16,26.29,614,6.76,6030
may,17,26.29,614,6.76,6200
may,18,26.29,614,6.76,6250
may,19,26.29,614,6.76,6230
may,20,26.29,614,6.76,6320
