month,date,area_sown,yield,inflation,price
feb,1,27.73,687,5.87,3762
feb,2,27.73,687,5.87,3750
feb,3,27.73,687,5.87,3750
feb,4,27.73,687,5.87,3937
feb,5,27.73,687,5.87,3937
feb,6,27.73,687,5.87,3927
feb,7,27.73,687,5.87,3927
feb,8,27.73,687,5.87,3927
feb,9,27.73,687,5.87,3815
feb,10,27.73,687,5.87,3812
feb,11,27.73,687,5.87,3815
feb,12,27.73,687,5.87,3750
feb,13,27.73,687,5.87,3902
feb,14,27.73,687,5.87,3750
feb,15,27.73,687,5.87,3750
feb,16,27.73,687,5.87,3762
feb,17,27.73,687,5.87,3850
feb,18,27.73,687,5.87,3837
feb,19,27.73,687,5.87,3787
feb,20,27.73,687,5.87,3750
feb,1,27.22,562,4.94,4600
feb,2,27.22,562,4.94,4612
feb,3,27.22,562,4.94,4600
feb,4,27.22,562,4.94,4600
feb,5,27.22,562,4.94,4600
feb,6,27.22,562,4.94,4600
feb,7,27.22,562,4.94,4587
feb,8,27.22,562,4.94,4600
feb,9,27.22,562,4.94,4600
feb,10,27.22,562,4.94,4600
feb,11,27.22,562,4.94,4600
feb,12,27.22,562,4.94,4575
feb,13,27.22,562,4.94,4575
feb,14,27.22,562,4.94,4575
feb,15,27.22,562,4.94,4575
feb,16,27.22,562,4.94,4575
feb,17,27.22,562,4.94,4575
feb,18,27.22,562,4.94,4600
feb,19,27.22,562,4.94,4600
feb,20,27.22,562,4.94,4600
feb,1,23.82,678,2.94,5000
feb,2,23.82,678,2.94,4900
feb,3,23.82,678,2.94,5000
feb,4,23.82,678,2.94,5200
feb,5,23.82,678,2.94,5000
feb,6,23.82,678,2.94,5000
feb,7,23.82,678,2.94,5000
feb,8,23.82,678,2.94,5000
feb,9,23.82,678,2.94,5000
feb,10,23.82,678,2.94,5000
feb,11,23.82,678,2.94,5000
feb,12,23.82,678,2.94,5000
feb,13,23.82,678,2.94,5000
feb,14,23.82,678,2.94,5000
feb,15,23.82,678,2.94,5000
feb,16,23.82,678,2.94,5000
feb,17,23.82,678,2.94,5000
feb,18,23.82,678,2.94,5000
feb,19,23.82,678,2.94,5000
feb,20,23.82,678,2.94,5100
feb,1,26.24,673,4.86,4900
feb,2,26.24,673,4.86,4900
feb,3,26.24,673,4.86,4900
feb,4,26.24,673,4.86,4800
feb,5,26.24,673,4.86,4850
feb,6,26.24,673,4.86,4800
feb,7,26.24,673,4.86,4800
feb,8,26.24,673,4.86,4850
feb,9,26.24,673,4.86,4900
feb,10,26.24,673,4.86,4900
feb,11,26.24,673,4.86,5000
feb,12,26.24,673,4.86,5000
feb,13,26.24,673,4.86,4950
feb,14,26.24,673,4.86,4950
feb,15,26.24,673,4.86,4900
feb,16,26.24,673,4.86,4900
feb,17,26.24,673,4.86,4950
feb,18,26.24,673,4.86,4850
feb,19,26.24,673,4.86,4850
feb,20,26.24,673,4.86,4950
feb,1,26.6,559,7.66,5150
feb,2,26.6,559,7.66,5150
feb,3,26.6,559,7.66,5150
feb,4,26.6,559,7.66,5150
feb,5,26.6,559,7.66,5150
feb,6,26.6,559,7.66,5150
feb,7,26.6,559,7.66,5150
feb,8,26.6,559,7.66,5150
feb,9,26.6,559,7.66,5150
feb,10,26.6,559,7.66,5150
feb,11,26.6,559,7.66,5150
feb,12,26.6,559,7.66,5150
feb,13,26.6,559,7.66,5150
feb,14,26.6,559,7.66,5150
feb,15,26.6,559,7.66,5150
feb,16,26.6,559,7.66,5150
feb,17,26.6,559,7.66,5150
feb,18,26.6,559,7.66,5150
feb,19,26.6,559,7.66,5150
feb,20,26.6,559,7.66,5000
feb,1,26.29,614,6.76,4650
feb,2,26.29,614,6.76,4650
feb,3,26.29,614,6.76,4650
feb,4,26.29,614,6.76,4650
feb,5,26.29,614,6.76,4650
feb,6,26.29,614,6.76,4650
feb,7,26.29,614,6.76,4650
feb,8,26.29,614,6.76,4600
feb,9,26.29,614,6.76,4600
feb,10,26.29,614,6.76,4650
feb,11,26.29,614,6.76,4700
feb,12,26.29,614,6.76,4750
feb,13,26.29,614,6.76,4750
feb,14,26.29,614,6.76,4750
feb,15,26.29,614,6.76,4750
feb,16,26.29,614,6.76,4750
feb,17,26.29,614,6.76,4750
feb,18,26.29,614,6.76,4750
feb,19,26.29,614,6.76,4312
feb,20,26.29,614,6.76,4500
