month,date,area_sown,yield,inflation,price
jan,1,27.22,562,4.94,3800
jan,2,27.22,562,4.94,3900
jan,3,27.22,562,4.94,3950
jan,4,27.22,562,4.94,3850
jan,5,27.22,562,4.94,3900
jan,6,27.22,562,4.94,3850
jan,7,27.22,562,4.94,3800
jan,8,27.22,562,4.94,3800
jan,9,27.22,562,4.94,3750
jan,10,27.22,562,4.94,3750
jan,11,27.22,562,4.94,3550
jan,12,27.22,562,4.94,3500
jan,13,27.22,562,4.94,3700
jan,14,27.22,562,4.94,3750
jan,15,27.22,562,4.94,3700
jan,16,27.22,562,4.94,3700
jan,17,27.22,562,4.94,3700
jan,18,27.22,562,4.94,3800
jan,19,27.22,562,4.94,3650
jan,20,27.22,562,4.94,3600
jan,1,23.82,678,2.94,4450
jan,2,23.82,678,2.94,4500
jan,3,23.82,678,2.94,4500
jan,4,23.82,678,2.94,4500
jan,5,23.82,678,2.94,4500
jan,6,23.82,678,2.94,4500
jan,7,23.82,678,2.94,4350
jan,8,23.82,678,2.94,4350
jan,9,23.82,678,2.94,4375
jan,10,23.82,678,2.94,4375
jan,11,23.82,678,2.94,4400
jan,12,23.82,678,2.94,4400
jan,13,23.82,678,2.94,4400
jan,14,23.82,678,2.94,4300
jan,15,23.82,678,2.94,4400
jan,16,23.82,678,2.94,4500
jan,17,23.82,678,2.94,4500
jan,18,23.82,678,2.94,4500
jan,19,23.82,678,2.94,4500
jan,20,23.82,678,2.94,4500
jan,1,26.24,673,4.86,4500
jan,2,26.24,673,4.86,4500
jan,3,26.24,673,4.86,4500
jan,4,26.24,673,4.86,4800
jan,5,26.24,673,4.86,4600
jan,6,26.24,673,4.86,4500
jan,7,26.24,673,4.86,5000
jan,8,26.24,673,4.86,5000
jan,9,26.24,673,4.86,5000
jan,10,26.24,673,4.86,4600
jan,11,26.24,673,4.86,4500
jan,12,26.24,673,4.86,5000
jan,13,26.24,673,4.86,5000
jan,14,26.24,673,4.86,5000
jan,15,26.24,673,4.86,5000
jan,16,26.24,673,4.86,5000
jan,17,26.24,673,4.86,5000
jan,18,26.24,673,4.86,5000
jan,19,26.24,673,4.86,5000
jan,20,26.24,673,4.86,5000
jan,1,26.6,559,7.66,5000
jan,2,26.6,559,7.66,5000
jan,3,26.6,559,7.66,5000
jan,4,26.6,559,7.66,5000
jan,5,26.6,559,7.66,5000
jan,6,26.6,559,7.66,5000
jan,7,26.6,559,7.66,5000
jan,8,26.6,559,7.66,5000
jan,9,26.6,559,7.66,5000
jan,10,26.6,559,7.66,5000
jan,11,26.6,559,7.66,5000
jan,12,26.6,559,7.66,5000
jan,13,26.6,559,7.66,5000
jan,14,26.6,559,7.66,5000
jan,15,26.6,559,7.66,4875
jan,16,26.6,559,7.66,5000
jan,17,26.6,559,7.66,5000
jan,18,26.6,559,7.66,5000
jan,19,26.6,559,7.66,5000
jan,20,26.6,559,7.66,5000
jan,1,26.29,614,6.76,5150
jan,2,26.29,614,6.76,5150
jan,3,26.29,614,6.76,5150
jan,4,26.29,614,6.76,5150
jan,5,26.29,614,6.76,5150
jan,6,26.29,614,6.76,5200
jan,7,26.29,614,6.76,5200
jan,8,26.29,614,6.76,5150
jan,9,26.29,614,6.76,5150
jan,10,26.29,614,6.76,5150
jan,11,26.29,614,6.76,5150
jan,12,26.29,614,6.76,5000
jan,13,26.29,614,6.76,5000
jan,14,26.29,614,6.76,5000
jan,15,26.29,614,6.76,5000
jan,16,26.29,614,6.76,5000
jan,17,26.29,614,6.76,5000
jan,18,26.29,614,6.76,5000
jan,19,26.29,614,6.76,5100
jan,20,26.29,614,6.76,5100
