month,date,price
nov,1,4112
nov,2,4125
nov,3,4112
nov,4,4150
nov,5,4125
nov,6,4125
nov,7,4002
nov,8,3975
nov,9,4050
nov,10,4012
nov,11,4050
nov,12,4025
nov,13,4077
nov,14,4050
nov,15,4077
nov,16,4050
nov,17,4050
nov,18,4100
nov,19,4125
nov,20,4100
nov,1,4625
nov,2,4625
nov,3,4550
nov,4,4550
nov,5,4750
nov,6,4750
nov,7,4802
nov,8,4802
nov,9,4750
nov,10,4750
nov,11,4812
nov,12,4812
nov,13,4725
nov,14,4700
nov,15,4812
nov,16,4750
nov,17,4675
nov,18,4775
nov,19,4702
nov,20,4912
nov,1,5500
nov,2,5500
nov,3,5250
nov,4,5250
nov,5,5250
nov,6,5250
nov,7,5250
nov,8,5250
nov,9,5250
nov,10,5400
nov,11,5400
nov,12,5400
nov,13,5400
nov,14,5300
nov,15,5300
nov,16,5350
nov,17,5400
nov,18,5500
nov,19,5300
nov,20,5500
