month,date,area_sown,yield,inflation,price
april,1,23.82,678,2.94,3950
april,2,23.82,678,2.94,4000
april,3,23.82,678,2.94,4050
april,4,23.82,678,2.94,4100
april,5,23.82,678,2.94,4300
april,6,23.82,678,2.94,4200
april,7,23.82,678,2.94,4150
april,8,23.82,678,2.94,4250
april,9,23.82,678,2.94,4350
april,10,23.82,678,2.94,4300
april,11,23.82,678,2.94,4100
april,12,23.82,678,2.94,4250
april,13,23.82,678,2.94,4000
april,14,23.82,678,2.94,3950
april,15,23.82,678,2.94,3900
april,16,23.82,678,2.94,4150
april,17,23.82,678,2.94,3950
april,18,23.82,678,2.94,4150
april,19,23.82,678,2.94,4250
april,20,23.82,678,2.94,4500
april,1,26.24,673,4.86,4250
april,2,26.24,673,4.86,4250
april,3,26.24,673,4.86,4300
april,4,26.24,673,4.86,4500
april,5,26.24,673,4.86,4500
april,6,26.24,673,4.86,4600
april,7,26.24,673,4.86,4350
april,8,26.24,673,4.86,4300
april,9,26.24,673,4.86,4300
april,10,26.24,673,4.86,4400
april,11,26.24,673,4.86,4700
april,12,26.24,673,4.86,4500
april,13,26.24,673,4.86,4500
april,14,26.24,673,4.86,4520
april,15,26.24,673,4.86,4400
april,16,26.24,673,4.86,4550
april,17,26.24,673,4.86,4700
april,18,26.24,673,4.86,4780
april,19,26.24,673,4.86,4400
april,20,26.24,673,4.86,4660
april,1,26.6,559,7.66,5781
april,2,26.6,559,7.66,5812
april,3,26.6,559,7.66,5781
april,4,26.6,559,7.66,5793
april,5,26.6,559,7.66,5781
april,6,26.6,559,7.66,5781
april,7,26.6,559,7.66,5812
april,8,26.6,559,7.66,5781
april,9,26.6,559,7.66,5781
april,10,26.6,559,7.66,5687
april,11,26.6,559,7.66,5650
april,12,26.6,559,7.66,5687
april,13,26.6,559,7.66,5562
april,14,26.6,559,7.66,5593
april,15,26.6,559,7.66,5562
april,16,26.6,559,7.66,5593
april,17,26.6,559,7.66,5575
april,18,26.6,559,7.66,5562
april,19,26.6,559,7.66,5593
april,20,26.6,559,7.66,5575
april,1,26.29,614,6.76,4400
april,2,26.29,614,6.76,4350
april,3,26.29,614,6.76,4500
april,4,26.29,614,6.76,4000
april,5,26.29,614,6.76,4500
april,6,26.29,614,6.76,4500
april,7,26.29,614,6.76,4800
april,8,26.29,614,6.76,5000
april,9,26.29,614,6.76,5000
april,10,26.29,614,6.76,4600
april,11,26.29,614,6.76,4200
april,12,26.29,614,6.76,4400
april,13,26.29,614,6.76,4300
april,14,26.29,614,6.76,4400
april,15,26.29,614,6.76,4450
april,16,26.29,614,6.76,4750
april,17,26.29,614,6.76,4300
april,18,26.29,614,6.76,4900
april,19,26.29,614,6.76,4450
april,20,26.29,614,6.76,4570
