month,date,area_sown,yield,inflation,price
feb,1,27.22,562,4.94,4050
feb,2,27.22,562,4.94,4050
feb,3,27.22,562,4.94,4050
feb,4,27.22,562,4.94,4050
feb,5,27.22,562,4.94,4000
feb,6,27.22,562,4.94,4050
feb,7,27.22,562,4.94,4025
feb,8,27.22,562,4.94,4050
feb,9,27.22,562,4.94,4050
feb,10,27.22,562,4.94,4050
feb,11,27.22,562,4.94,4050
feb,12,27.22,562,4.94,4050
feb,13,27.22,562,4.94,4050
feb,14,27.22,562,4.94,4050
feb,15,27.22,562,4.94,4050
feb,16,27.22,562,4.94,4040
feb,17,27.22,562,4.94,4050
feb,18,27.22,562,4.94,3950
feb,19,27.22,562,4.94,4050
feb,20,27.22,562,4.94,4050
feb,1,23.82,678,2.94,4750
feb,2,23.82,678,2.94,4750
feb,3,23.82,678,2.94,4750
feb,4,23.82,678,2.94,4750
feb,5,23.82,678,2.94,4720
feb,6,23.82,678,2.94,4680
feb,7,23.82,678,2.94,4650
feb,8,23.82,678,2.94,4600
feb,9,23.82,678,2.94,4600
feb,10,23.82,678,2.94,4600
feb,11,23.82,678,2.94,4650
feb,12,23.82,678,2.94,4700
feb,13,23.82,678,2.94,4700
feb,14,23.82,678,2.94,4650
feb,15,23.82,678,2.94,4600
feb,16,23.82,678,2.94,4640
feb,17,23.82,678,2.94,4700
feb,18,23.82,678,2.94,4640
feb,19,23.82,678,2.94,4700
feb,20,23.82,678,2.94,4550
feb,1,26.24,673,4.86,5725
feb,2,26.24,673,4.86,5812
feb,3,26.24,673,4.86,5812
feb,4,26.24,673,4.86,5812
feb,5,26.24,673,4.86,5725
feb,6,26.24,673,4.86,5662
feb,7,26.24,673,4.86,5662
feb,8,26.24,673,4.86,5725
feb,9,26.24,673,4.86,5781
feb,10,26.24,673,4.86,5800
feb,11,26.24,673,4.86,5843
feb,12,26.24,673,4.86,5818
feb,13,26.24,673,4.86,5781
feb,14,26.24,673,4.86,5781
feb,15,26.24,673,4.86,5725
feb,16,26.24,673,4.86,5687
feb,17,26.24,673,4.86,5662
feb,18,26.24,673,4.86,5662
feb,19,26.24,673,4.86,5725
feb,20,26.24,673,4.86,5737
feb,1,26.6,559,7.66,5000
feb,2,26.6,559,7.66,4950
feb,3,26.6,559,7.66,4800
feb,4,26.6,559,7.66,4650
feb,5,26.6,559,7.66,4900
feb,6,26.6,559,7.66,4800
feb,7,26.6,559,7.66,4820
feb,8,26.6,559,7.66,5000
feb,9,26.6,559,7.66,4650
feb,10,26.6,559,7.66,4900
feb,11,26.6,559,7.66,4880
feb,12,26.6,559,7.66,4900
feb,13,26.6,559,7.66,5000
feb,14,26.6,559,7.66,4800
feb,15,26.6,559,7.66,4900
feb,16,26.6,559,7.66,4950
feb,17,26.6,559,7.66,4850
feb,18,26.6,559,7.66,5100
feb,19,26.6,559,7.66,5050
feb,20,26.6,559,7.66,4900
feb,1,26.29,614,6.76,5512
feb,2,26.29,614,6.76,5518
feb,3,26.29,614,6.76,5437
feb,4,26.29,614,6.76,5462
feb,5,26.29,614,6.76,5437
feb,6,26.29,614,6.76,5437
feb,7,26.29,614,6.76,5437
feb,8,26.29,614,6.76,5475
feb,9,26.29,614,6.76,5400
feb,10,26.29,614,6.76,5387
feb,11,26.29,614,6.76,5362
feb,12,26.29,614,6.76,5375
feb,13,26.29,614,6.76,5362
feb,14,26.29,614,6.76,5387
feb,15,26.29,614,6.76,5387
feb,16,26.29,614,6.76,5387
feb,17,26.29,614,6.76,5400
feb,18,26.29,614,6.76,5412
feb,19,26.29,614,6.76,5412
feb,20,26.29,614,6.76,5412
