month,date,price
march,1,4100
march,2,4050
march,3,4050
march,4,3900
march,5,4020
march,6,4020
march,7,4050
march,8,4040
march,9,4030
march,10,4010
march,11,4060
march,12,4100
march,13,4100
march,14,4100
march,15,4020
march,16,4050
march,17,4070
march,18,4060
march,19,3950
march,20,4000
march,1,4000
march,2,4350
march,3,4250
march,4,4400
march,5,4100
march,6,4350
march,7,4350
march,8,4350
march,9,4300
march,10,4200
march,11,4300
march,12,4350
march,13,4200
march,14,4150
march,15,4150
march,16,4050
march,17,4250
march,18,3827
march,19,4250
march,20,4250
march,1,5737
march,2,5781
march,3,5843
march,4,5856
march,5,5900
march,6,5856
march,7,5843
march,8,5781
march,9,5781
march,10,5762
march,11,5737
march,12,5781
march,13,5781
march,14,5781
march,15,5812
march,16,5781
march,17,5793
march,18,5781
march,19,5781
march,20,5812
march,1,5200
march,2,5000
march,3,5000
march,4,5000
march,5,5200
march,6,4800
march,7,5000
march,8,4600
march,9,4500
march,10,4800
march,11,5000
march,12,4400
march,13,4600
march,14,4350
march,15,4600
march,16,4550
march,17,4350
march,18,4500
march,19,4400
march,20,4400
march,1,5412
march,2,5425
march,3,5512
march,4,5512
march,5,5512
march,6,5512
march,7,5562
march,8,5612
march,9,5687
march,10,5687
march,11,5737
march,12,5843
march,13,5843
march,14,5806
march,15,5862
march,16,5900
march,17,5912
march,18,5912
march,19,5962
march,20,5962
