Date,Prices
1/1/2015,3869.789474
1/2/2015,4022.789474
1/3/2015,4023.947368
1/4/2015,4366.421053
1/5/2015,4520.5
1/6/2015,1
1/7/2015,1
1/8/2015,1
1/9/2015,1
1/10/2015,1
1/11/2015,1
1/12/2015,1
1/1/2016,4451.552632
1/2/2016,4157.321053
1/3/2016,3498.552632
1/4/2016,4298.289474
1/5/2016,3885.131579
1/6/2016,1
1/7/2016,1
1/8/2016,1
1/9/2016,1
1/10/2016,1
1/11/2016,1
1/12/2016,1
1/1/2017,5710.131579
1/2/2017,5083.878947
1/3/2017,4927.289474
1/4/2017,4568.578947
1/5/2017,4883.184211
1/6/2017,1
1/7/2017,1
1/8/2017,1
1/9/2017,1
1/10/2017,1
1/11/2017,1
1/12/2017,1
1/1/2018,4846.473684
1/2/2018,4446.868421
1/3/2018,4446.868421
1/4/2018,3990.789474
1/5/2018,4276.552632
1/6/2018,1
1/7/2018,1
1/8/2018,1
1/9/2018,1
1/10/2018,1
1/11/2018,1
1/12/2018,1
1/1/2019,5470.368421
1/2/2019,5425.289474
1/3/2019,5766.368421
1/4/2019,6184.605263
1/5/2019,5596.921053
1/6/2019,1
1/7/2019,1
1/8/2019,1
1/9/2019,1
1/10/2019,1
1/11/2019,1
1/12/2019,1
