month,date,area_sown,yield,inflation,price
dec,1,26.24,673,4.86,4350
dec,2,26.24,673,4.86,4350
dec,3,26.24,673,4.86,4350
dec,4,26.24,673,4.86,4355
dec,5,26.24,673,4.86,4430
dec,6,26.24,673,4.86,4435
dec,7,26.24,673,4.86,4445
dec,8,26.24,673,4.86,4450
dec,9,26.24,673,4.86,4450
dec,10,26.24,673,4.86,4475
dec,11,26.24,673,4.86,4545
dec,12,26.24,673,4.86,4555
dec,13,26.24,673,4.86,4475
dec,14,26.24,673,4.86,4525
dec,15,26.24,673,4.86,4550
dec,16,26.24,673,4.86,4575
dec,17,26.24,673,4.86,4900
dec,18,26.24,673,4.86,4945
dec,19,26.24,673,4.86,4750
dec,20,26.24,673,4.86,4755
dec,1,26.6,559,7.66,5225
dec,2,26.6,559,7.66,5210
dec,3,26.6,559,7.66,5210
dec,4,26.6,559,7.66,5225
dec,5,26.6,559,7.66,5220
dec,6,26.6,559,7.66,5200
dec,7,26.6,559,7.66,5175
dec,8,26.6,559,7.66,5150
dec,9,26.6,559,7.66,5160
dec,10,26.6,559,7.66,5150
dec,11,26.6,559,7.66,5150
dec,12,26.6,559,7.66,5145
dec,13,26.6,559,7.66,5155
dec,14,26.6,559,7.66,5165
dec,15,26.6,559,7.66,5175
dec,16,26.6,559,7.66,5170
dec,17,26.6,559,7.66,5175
dec,18,26.6,559,7.66,5250
dec,19,26.6,559,7.66,5250
dec,20,26.6,559,7.66,5300
dec,1,26.29,614,6.76,5450
dec,2,26.29,614,6.76,5400
dec,3,26.29,614,6.76,5500
dec,4,26.29,614,6.76,5500
dec,5,26.29,614,6.76,5430
dec,6,26.29,614,6.76,5455
dec,7,26.29,614,6.76,5400
dec,8,26.29,614,6.76,5605
dec,9,26.29,614,6.76,5505
dec,10,26.29,614,6.76,5355
dec,11,26.29,614,6.76,5455
dec,12,26.29,614,6.76,5405
dec,13,26.29,614,6.76,5405
dec,14,26.29,614,6.76,5430
dec,15,26.29,614,6.76,5305
dec,16,26.29,614,6.76,5405
dec,17,26.29,614,6.76,5430
dec,18,26.29,614,6.76,5405
dec,19,26.29,614,6.76,5405
dec,20,26.29,614,6.76,5405
