month,date,area_sown,yield,inflation,price
feb,1,27.73,687,5.87,3905
feb,2,27.73,687,5.87,3855
feb,3,27.73,687,5.87,3905
feb,4,27.73,687,5.87,3930
feb,5,27.73,687,5.87,3930
feb,6,27.73,687,5.87,3855
feb,7,27.73,687,5.87,3855
feb,8,27.73,687,5.87,3830
feb,9,27.73,687,5.87,3830
feb,10,27.73,687,5.87,3855
feb,11,27.73,687,5.87,3855
feb,12,27.73,687,5.87,3855
feb,13,27.73,687,5.87,3880
feb,14,27.73,687,5.87,3905
feb,15,27.73,687,5.87,3780
feb,16,27.73,687,5.87,3855
feb,17,27.73,687,5.87,3855
feb,18,27.73,687,5.87,3805
feb,19,27.73,687,5.87,3780
feb,20,27.73,687,5.87,3780
feb,1,27.22,562,4.94,3880
feb,2,27.22,562,4.94,4005
feb,3,27.22,562,4.94,3755
feb,4,27.22,562,4.94,3955
feb,5,27.22,562,4.94,3930
feb,6,27.22,562,4.94,3905
feb,7,27.22,562,4.94,3880
feb,8,27.22,562,4.94,3780
feb,9,27.22,562,4.94,3755
feb,10,27.22,562,4.94,3780
feb,11,27.22,562,4.94,3880
feb,12,27.22,562,4.94,3880
feb,13,27.22,562,4.94,4105
feb,14,27.22,562,4.94,3830
feb,15,27.22,562,4.94,4105
feb,16,27.22,562,4.94,4055
feb,17,27.22,562,4.94,3880
feb,18,27.22,562,4.94,4230
feb,19,27.22,562,4.94,3455
feb,20,27.22,562,4.94,3955
feb,1,23.82,678,2.94,5605
feb,2,23.82,678,2.94,5755
feb,3,23.82,678,2.94,5855
feb,4,23.82,678,2.94,5755
feb,5,23.82,678,2.94,5800
feb,6,23.82,678,2.94,5755
feb,7,23.82,678,2.94,5725
feb,8,23.82,678,2.94,5755
feb,9,23.82,678,2.94,5755
feb,10,23.82,678,2.94,5755
feb,11,23.82,678,2.94,5380
feb,12,23.82,678,2.94,5730
feb,13,23.82,678,2.94,5705
feb,14,23.82,678,2.94,5705
feb,15,23.82,678,2.94,5680
feb,16,23.82,678,2.94,5605
feb,17,23.82,678,2.94,5605
feb,18,23.82,678,2.94,5705
feb,19,23.82,678,2.94,5725
feb,20,23.82,678,2.94,5755
feb,1,26.24,673,4.86,4905
feb,2,26.24,673,4.86,4930
feb,3,26.24,673,4.86,4855
feb,4,26.24,673,4.86,4755
feb,5,26.24,673,4.86,4755
feb,6,26.24,673,4.86,4755
feb,7,26.24,673,4.86,4755
feb,8,26.24,673,4.86,4705
feb,9,26.24,673,4.86,4605
feb,10,26.24,673,4.86,4755
feb,11,26.24,673,4.86,4780
feb,12,26.24,673,4.86,4755
feb,13,26.24,673,4.86,4730
feb,14,26.24,673,4.86,4755
feb,15,26.24,673,4.86,4750
feb,16,26.24,673,4.86,4680
feb,17,26.24,673,4.86,4680
feb,18,26.24,673,4.86,4630
feb,19,26.24,673,4.86,4605
feb,20,26.24,673,4.86,4805
feb,1,26.6,559,7.66,5230
feb,2,26.6,559,7.66,5280
feb,3,26.6,559,7.66,5405
feb,4,26.6,559,7.66,5305
feb,5,26.6,559,7.66,5330
feb,6,26.6,559,7.66,5330
feb,7,26.6,559,7.66,5330
feb,8,26.6,559,7.66,5355
feb,9,26.6,559,7.66,5130
feb,10,26.6,559,7.66,5305
feb,11,26.6,559,7.66,5305
feb,12,26.6,559,7.66,5330
feb,13,26.6,559,7.66,5305
feb,14,26.6,559,7.66,5230
feb,15,26.6,559,7.66,5355
feb,16,26.6,559,7.66,5380
feb,17,26.6,559,7.66,5330
feb,18,26.6,559,7.66,5380
feb,19,26.6,559,7.66,5430
feb,20,26.6,559,7.66,5430
feb,1,26.29,614,6.76,5005
feb,2,26.29,614,6.76,4855
feb,3,26.29,614,6.76,4880
feb,4,26.29,614,6.76,4830
feb,5,26.29,614,6.76,4855
feb,6,26.29,614,6.76,4980
feb,7,26.29,614,6.76,4880
feb,8,26.29,614,6.76,4955
feb,9,26.29,614,6.76,5005
feb,10,26.29,614,6.76,4930
feb,11,26.29,614,6.76,4855
feb,12,26.29,614,6.76,4955
feb,13,26.29,614,6.76,4605
feb,14,26.29,614,6.76,4980
feb,15,26.29,614,6.76,4930
feb,16,26.29,614,6.76,4955
feb,17,26.29,614,6.76,4630
feb,18,26.29,614,6.76,4830
feb,19,26.29,614,6.76,4855
feb,20,26.29,614,6.76,4555
