month,date,area_sown,yield,inflation,price
jan,1,27.73,687,5.87,4100
jan,2,27.73,687,5.87,4100
jan,3,27.73,687,5.87,4090
jan,4,27.73,687,5.87,4130
jan,5,27.73,687,5.87,4115
jan,6,27.73,687,5.87,4145
jan,7,27.73,687,5.87,4125
jan,8,27.73,687,5.87,4055
jan,9,27.73,687,5.87,4070
jan,10,27.73,687,5.87,4090
jan,11,27.73,687,5.87,4005
jan,12,27.73,687,5.87,4035
jan,13,27.73,687,5.87,3955
jan,14,27.73,687,5.87,3855
jan,15,27.73,687,5.87,3805
jan,16,27.73,687,5.87,3925
jan,17,27.73,687,5.87,3855
jan,18,27.73,687,5.87,3855
jan,19,27.73,687,5.87,3830
jan,20,27.73,687,5.87,3780
jan,1,27.22,562,4.94,4555
jan,2,27.22,562,4.94,4555
jan,3,27.22,562,4.94,4555
jan,4,27.22,562,4.94,4405
jan,5,27.22,562,4.94,4405
jan,6,27.22,562,4.94,4555
jan,7,27.22,562,4.94,4580
jan,8,27.22,562,4.94,4430
jan,9,27.22,562,4.94,4380
jan,10,27.22,562,4.94,4380
jan,11,27.22,562,4.94,4405
jan,12,27.22,562,4.94,4255
jan,13,27.22,562,4.94,4330
jan,14,27.22,562,4.94,4405
jan,15,27.22,562,4.94,4505
jan,16,27.22,562,4.94,4430
jan,17,27.22,562,4.94,4255
jan,18,27.22,562,4.94,4080
jan,19,27.22,562,4.94,4230
jan,20,27.22,562,4.94,4130
jan,1,23.82,678,2.94,5230
jan,2,23.82,678,2.94,5180
jan,3,23.82,678,2.94,5255
jan,4,23.82,678,2.94,5305
jan,5,23.82,678,2.94,5505
jan,6,23.82,678,2.94,5705
jan,7,23.82,678,2.94,5730
jan,8,23.82,678,2.94,5755
jan,9,23.82,678,2.94,5605
jan,10,23.82,678,2.94,5780
jan,11,23.82,678,2.94,5055
jan,12,23.82,678,2.94,5755
jan,13,23.82,678,2.94,5655
jan,14,23.82,678,2.94,5755
jan,15,23.82,678,2.94,5830
jan,16,23.82,678,2.94,5730
jan,17,23.82,678,2.94,5655
jan,18,23.82,678,2.94,5605
jan,19,23.82,678,2.94,5605
jan,20,23.82,678,2.94,5630
jan,1,26.24,673,4.86,5000
jan,2,26.24,673,4.86,5230
jan,3,26.24,673,4.86,5105
jan,4,26.24,673,4.86,5155
jan,5,26.24,673,4.86,5180
jan,6,26.24,673,4.86,5205
jan,7,26.24,673,4.86,5180
jan,8,26.24,673,4.86,5130
jan,9,26.24,673,4.86,5080
jan,10,26.24,673,4.86,5030
jan,11,26.24,673,4.86,5180
jan,12,26.24,673,4.86,5180
jan,13,26.24,673,4.86,5080
jan,14,26.24,673,4.86,5125
jan,15,26.24,673,4.86,5180
jan,16,26.24,673,4.86,5205
jan,17,26.24,673,4.86,5155
jan,18,26.24,673,4.86,5155
jan,19,26.24,673,4.86,5055
jan,20,26.24,673,4.86,5055
jan,1,26.6,559,7.66,5405
jan,2,26.6,559,7.66,5405
jan,3,26.6,559,7.66,5380
jan,4,26.6,559,7.66,5430
jan,5,26.6,559,7.66,5405
jan,6,26.6,559,7.66,5355
jan,7,26.6,559,7.66,5405
jan,8,26.6,559,7.66,5380
jan,9,26.6,559,7.66,5355
jan,10,26.6,559,7.66,5280
jan,11,26.6,559,7.66,5330
jan,12,26.6,559,7.66,5380
jan,13,26.6,559,7.66,5355
jan,14,26.6,559,7.66,5280
jan,15,26.6,559,7.66,5405
jan,16,26.6,559,7.66,5355
jan,17,26.6,559,7.66,5380
jan,18,26.6,559,7.66,5355
jan,19,26.6,559,7.66,5355
jan,20,26.6,559,7.66,5330
jan,1,26.29,614,6.76,5305
jan,2,26.29,614,6.76,5330
jan,3,26.29,614,6.76,5355
jan,4,26.29,614,6.76,5430
jan,5,26.29,614,6.76,5430
jan,6,26.29,614,6.76,5330
jan,7,26.29,614,6.76,5305
jan,8,26.29,614,6.76,5355
jan,9,26.29,614,6.76,5430
jan,10,26.29,614,6.76,5480
jan,11,26.29,614,6.76,5405
jan,12,26.29,614,6.76,5330
jan,13,26.29,614,6.76,5330
jan,14,26.29,614,6.76,5280
jan,15,26.29,614,6.76,5455
jan,16,26.29,614,6.76,5430
jan,17,26.29,614,6.76,5205
jan,18,26.29,614,6.76,5205
jan,19,26.29,614,6.76,5280
jan,20,26.29,614,6.76,5205
