month,date,area_sown,yield,inflation,price
april,1,5.7,611,2.94,4360
april,2,5.7,611,2.94,4430
april,3,5.7,611,2.94,4466
april,4,5.7,611,2.94,4485
april,5,5.7,611,2.94,4460
april,6,5.7,611,2.94,4439
april,7,5.7,611,2.94,4444
april,8,5.7,611,2.94,4560
april,9,5.7,611,2.94,4620
april,10,5.7,611,2.94,4665
april,11,5.7,611,2.94,4652
april,12,5.7,611,2.94,4619
april,13,5.7,611,2.94,4500
april,14,5.7,611,2.94,4075
april,15,5.7,611,2.94,4530
april,16,5.7,611,2.94,4515
april,17,5.7,611,2.94,4465
april,18,5.7,611,2.94,4484
april,19,5.7,611,2.94,4515
april,20,5.7,611,2.94,4641
april,1,6.65,549,4.86,4681
april,2,6.65,549,4.86,4665
april,3,6.65,549,4.86,4663
april,4,6.65,549,4.86,4670
april,5,6.65,549,4.86,4668
april,6,6.65,549,4.86,4662
april,7,6.65,549,4.86,4675
april,8,6.65,549,4.86,4639
april,9,6.65,549,4.86,4650
april,10,6.65,549,4.86,4448
april,11,6.65,549,4.86,4725
april,12,6.65,549,4.86,4771
april,13,6.65,549,4.86,4755
april,14,6.65,549,4.86,4780
april,15,6.65,549,4.86,4791
april,16,6.65,549,4.86,5000
april,17,6.65,549,4.86,5031
april,18,6.65,549,4.86,4991
april,19,6.65,549,4.86,4980
april,20,6.65,549,4.86,5900
april,1,7.08,552,7.66,6028
april,2,7.08,552,7.66,6002
april,3,7.08,552,7.66,5985
april,4,7.08,552,7.66,5949
april,5,7.08,552,7.66,5880
april,6,7.08,552,7.66,5874
april,7,7.08,552,7.66,5751
april,8,7.08,552,7.66,5850
april,9,7.08,552,7.66,5886
april,10,7.08,552,7.66,5860
april,11,7.08,552,7.66,3860
april,12,7.08,552,7.66,5895
april,13,7.08,552,7.66,5650
april,14,7.08,552,7.66,5855
april,15,7.08,552,7.66,5785
april,16,7.08,552,7.66,5797
april,17,7.08,552,7.66,5782
april,18,7.08,552,7.66,5773
april,19,7.08,552,7.66,5715
april,20,7.08,552,7.66,4850
april,1,7.01,534,6.76,4795
april,2,7.01,534,6.76,4900
april,3,7.01,534,6.76,4850
april,4,7.01,534,6.76,4800
april,5,7.01,534,6.76,4800
april,6,7.01,534,6.76,4850
april,7,7.01,534,6.76,4945
april,8,7.01,534,6.76,5000
april,9,7.01,534,6.76,4960
april,10,7.01,534,6.76,4980
april,11,7.01,534,6.76,5020
april,12,7.01,534,6.76,4935
april,13,7.01,534,6.76,4860
april,14,7.01,534,6.76,4945
april,15,7.01,534,6.76,4909
april,16,7.01,534,6.76,5020
april,17,7.01,534,6.76,5010
april,18,7.01,534,6.76,5020
april,19,7.01,534,6.76,5022
april,20,7.01,534,6.76,5030
