month,date,area_sown,yield,inflation,price
march,1,6.15,401,4.94,4020
march,2,6.15,401,4.94,3750
march,3,6.15,401,4.94,4025
march,4,6.15,401,4.94,4010
march,5,6.15,401,4.94,4030
march,6,6.15,401,4.94,4040
march,7,6.15,401,4.94,4025
march,8,6.15,401,4.94,4080
march,9,6.15,401,4.94,3750
march,10,6.15,401,4.94,4150
march,11,6.15,401,4.94,3750
march,12,6.15,401,4.94,4230
march,13,6.15,401,4.94,4100
march,14,6.15,401,4.94,4110
march,15,6.15,401,4.94,4105
march,16,6.15,401,4.94,3750
march,17,6.15,401,4.94,4270
march,18,6.15,401,4.94,4340
march,19,6.15,401,4.94,4360
march,20,6.15,401,4.94,4360
march,1,5.7,611,2.94,4370
march,2,5.7,611,2.94,3640
march,3,5.7,611,2.94,4350
march,4,5.7,611,2.94,4683
march,5,5.7,611,2.94,4700
march,6,5.7,611,2.94,3685
march,7,5.7,611,2.94,4365
march,8,5.7,611,2.94,4713
march,9,5.7,611,2.94,4450
march,10,5.7,611,2.94,4685
march,11,5.7,611,2.94,4671
march,12,5.7,611,2.94,4631
march,13,5.7,611,2.94,4578
march,14,5.7,611,2.94,4581
march,15,5.7,611,2.94,4625
march,16,5.7,611,2.94,4619
march,17,5.7,611,2.94,4641
march,18,5.7,611,2.94,4681
march,19,5.7,611,2.94,4665
march,20,5.7,611,2.94,4663
march,1,6.65,549,4.86,5944
march,2,6.65,549,4.86,5860
march,3,6.65,549,4.86,6091
march,4,6.65,549,4.86,6114
march,5,6.65,549,4.86,6115
march,6,6.65,549,4.86,6164
march,7,6.65,549,4.86,6061
march,8,6.65,549,4.86,6000
march,9,6.65,549,4.86,5993
march,10,6.65,549,4.86,6131
march,11,6.65,549,4.86,6100
march,12,6.65,549,4.86,6030
march,13,6.65,549,4.86,6050
march,14,6.65,549,4.86,6040
march,15,6.65,549,4.86,6000
march,16,6.65,549,4.86,5850
march,17,6.65,549,4.86,5800
march,18,6.65,549,4.86,5800
march,19,6.65,549,4.86,5870
march,20,6.65,549,4.86,5900
march,1,7.08,552,7.66,5030
march,2,7.08,552,7.66,5011
march,3,7.08,552,7.66,5080
march,4,7.08,552,7.66,5150
march,5,7.08,552,7.66,5040
march,6,7.08,552,7.66,5040
march,7,7.08,552,7.66,5030
march,8,7.08,552,7.66,5010
march,9,7.08,552,7.66,4900
march,10,7.08,552,7.66,4850
march,11,7.08,552,7.66,4890
march,12,7.08,552,7.66,4800
march,13,7.08,552,7.66,4925
march,14,7.08,552,7.66,4900
march,15,7.08,552,7.66,4850
march,16,7.08,552,7.66,4880
march,17,7.08,552,7.66,4880
march,18,7.08,552,7.66,4890
march,19,7.08,552,7.66,4800
march,20,7.08,552,7.66,4855
march,1,7.01,534,6.76,5360
march,2,7.01,534,6.76,5505
march,3,7.01,534,6.76,5505
march,4,7.01,534,6.76,5510
march,5,7.01,534,6.76,5480
march,6,7.01,534,6.76,5575
march,7,7.01,534,6.76,5600
march,8,7.01,534,6.76,5620
march,9,7.01,534,6.76,5710
march,10,7.01,534,6.76,5700
march,11,7.01,534,6.76,5800
march,12,7.01,534,6.76,6000
march,13,7.01,534,6.76,5900
march,14,7.01,534,6.76,5955
march,15,7.01,534,6.76,6015
march,16,7.01,534,6.76,6070
march,17,7.01,534,6.76,6070
march,18,7.01,534,6.76,6050
march,19,7.01,534,6.76,6000
march,20,7.01,534,6.76,5950
