month,date,price
dec,1,4190
dec,2,4290
dec,3,4290
dec,4,4290
dec,5,4325
dec,6,4390
dec,7,4395
dec,8,4250
dec,9,4390
dec,10,4425
dec,11,4450
dec,12,4490
dec,13,4520
dec,14,4450
dec,15,4690
dec,16,4690
dec,17,4690
dec,18,4690
dec,19,4690
dec,20,4690
dec,1,5103.5
dec,2,5161
dec,3,5112.5
dec,4,5190
dec,5,4647.5
dec,6,4624
dec,7,4538
dec,8,4517.5
dec,9,4535.5
dec,10,4629
dec,11,4867.5
dec,12,4332
dec,13,4682.5
dec,14,4688
dec,15,4629.5
dec,16,4341
dec,17,4844.5
dec,18,4668.5
dec,19,4718
dec,20,4730
dec,1,5482
dec,2,5448
dec,3,5401
dec,4,5250
dec,5,5560
dec,6,5530
dec,7,5560
dec,8,5650
dec,9,5660
dec,10,5550
dec,11,5550
dec,12,5550
dec,13,5575
dec,14,5535
dec,15,5450
dec,16,5450
dec,17,5490
dec,18,5550
dec,19,5470
dec,20,5520
