month,date,area_sown,yield,inflation,price
feb,1,6.48,603,5.87,3990
feb,2,6.48,603,5.87,3950
feb,3,6.48,603,5.87,3970
feb,4,6.48,603,5.87,3950
feb,5,6.48,603,5.87,3970
feb,6,6.48,603,5.87,3980
feb,7,6.48,603,5.87,3850
feb,8,6.48,603,5.87,3985
feb,9,6.48,603,5.87,3970
feb,10,6.48,603,5.87,3950
feb,11,6.48,603,5.87,4010
feb,12,6.48,603,5.87,4050
feb,13,6.48,603,5.87,4050
feb,14,6.48,603,5.87,3950
feb,15,6.48,603,5.87,3990
feb,16,6.48,603,5.87,4010
feb,17,6.48,603,5.87,4090
feb,18,6.48,603,5.87,4090
feb,19,6.48,603,5.87,3980
feb,20,6.48,603,5.87,3940
feb,1,6.15,401,4.94,4525
feb,2,6.15,401,4.94,4495
feb,3,6.15,401,4.94,4510.5
feb,4,6.15,401,4.94,4567.5
feb,5,6.15,401,4.94,4537.5
feb,6,6.15,401,4.94,4473
feb,7,6.15,401,4.94,4560
feb,8,6.15,401,4.94,4308.5
feb,9,6.15,401,4.94,4410.5
feb,10,6.15,401,4.94,4440
feb,11,6.15,401,4.94,4578.5
feb,12,6.15,401,4.94,4560
feb,13,6.15,401,4.94,4589.5
feb,14,6.15,401,4.94,4359.5
feb,15,6.15,401,4.94,4555
feb,16,6.15,401,4.94,4656
feb,17,6.15,401,4.94,4660
feb,18,6.15,401,4.94,4557
feb,19,6.15,401,4.94,4570
feb,20,6.15,401,4.94,4645
feb,1,5.7,611,2.94,5850
feb,2,5.7,611,2.94,5900
feb,3,5.7,611,2.94,5800
feb,4,5.7,611,2.94,6000
feb,5,5.7,611,2.94,6100
feb,6,5.7,611,2.94,5900
feb,7,5.7,611,2.94,6000
feb,8,5.7,611,2.94,6000
feb,9,5.7,611,2.94,6100
feb,10,5.7,611,2.94,6000
feb,11,5.7,611,2.94,6000
feb,12,5.7,611,2.94,6000
feb,13,5.7,611,2.94,6000
feb,14,5.7,611,2.94,5900
feb,15,5.7,611,2.94,6100
feb,16,5.7,611,2.94,6100
feb,17,5.7,611,2.94,6200
feb,18,5.7,611,2.94,6300
feb,19,5.7,611,2.94,6250
feb,20,5.7,611,2.94,6200
feb,1,6.65,549,4.86,5350
feb,2,6.65,549,4.86,5390
feb,3,6.65,549,4.86,5450
feb,4,6.65,549,4.86,5350
feb,5,6.65,549,4.86,5320
feb,6,6.65,549,4.86,5290
feb,7,6.65,549,4.86,5390
feb,8,6.65,549,4.86,5390
feb,9,6.65,549,4.86,5250
feb,10,6.65,549,4.86,5160
feb,11,6.65,549,4.86,5150
feb,12,6.65,549,4.86,5150
feb,13,6.65,549,4.86,5160
feb,14,6.65,549,4.86,5210
feb,15,6.65,549,4.86,5210
feb,16,6.65,549,4.86,5220
feb,17,6.65,549,4.86,5150
feb,18,6.65,549,4.86,5110
feb,19,6.65,549,4.86,5105
feb,20,6.65,549,4.86,5195
feb,1,7.08,552,7.66,5470
feb,2,7.08,552,7.66,5451
feb,3,7.08,552,7.66,5440
feb,4,7.08,552,7.66,5420
feb,5,7.08,552,7.66,5470
feb,6,7.08,552,7.66,5451
feb,7,7.08,552,7.66,5426
feb,8,7.08,552,7.66,5450
feb,9,7.08,552,7.66,5450
feb,10,7.08,552,7.66,5450
feb,11,7.08,552,7.66,5454
feb,12,7.08,552,7.66,5450
feb,13,7.08,552,7.66,5504
feb,14,7.08,552,7.66,5300
feb,15,7.08,552,7.66,5555
feb,16,7.08,552,7.66,5450
feb,17,7.08,552,7.66,5450
feb,18,7.08,552,7.66,5451
feb,19,7.08,552,7.66,5510
feb,20,7.08,552,7.66,5570
feb,1,7.01,534,6.76,5001
feb,2,7.01,534,6.76,5061
feb,3,7.01,534,6.76,5002
feb,4,7.01,534,6.76,5150
feb,5,7.01,534,6.76,5151
feb,6,7.01,534,6.76,5109
feb,7,7.01,534,6.76,4997
feb,8,7.01,534,6.76,4909
feb,9,7.01,534,6.76,4800
feb,10,7.01,534,6.76,4100
feb,11,7.01,534,6.76,5170
feb,12,7.01,534,6.76,5275
feb,13,7.01,534,6.76,5271
feb,14,7.01,534,6.76,5200
feb,15,7.01,534,6.76,5230
feb,16,7.01,534,6.76,5050
feb,17,7.01,534,6.76,5150
feb,18,7.01,534,6.76,5300
feb,19,7.01,534,6.76,5232
feb,20,7.01,534,6.76,5235
