month,date,area_sown,yield,inflation,price
jan,1,6.48,603,5.87,4290
jan,2,6.48,603,5.87,4276
jan,3,6.48,603,5.87,4310
jan,4,6.48,603,5.87,4290
jan,5,6.48,603,5.87,4295
jan,6,6.48,603,5.87,4250
jan,7,6.48,603,5.87,4250
jan,8,6.48,603,5.87,4230
jan,9,6.48,603,5.87,4150
jan,10,6.48,603,5.87,4190
jan,11,6.48,603,5.87,4190
jan,12,6.48,603,5.87,4125
jan,13,6.48,603,5.87,4020
jan,14,6.48,603,5.87,4010
jan,15,6.48,603,5.87,4010
jan,16,6.48,603,5.87,3990
jan,17,6.48,603,5.87,4020
jan,18,6.48,603,5.87,4000
jan,19,6.48,603,5.87,3990
jan,20,6.48,603,5.87,4050
jan,1,6.15,401,4.94,4720
jan,2,6.15,401,4.94,4810
jan,3,6.15,401,4.94,4290
jan,4,6.15,401,4.94,4680
jan,5,6.15,401,4.94,4790
jan,6,6.15,401,4.94,4850
jan,7,6.15,401,4.94,4470
jan,8,6.15,401,4.94,4690
jan,9,6.15,401,4.94,4570
jan,10,6.15,401,4.94,4620
jan,11,6.15,401,4.94,4580
jan,12,6.15,401,4.94,4610
jan,13,6.15,401,4.94,4580
jan,14,6.15,401,4.94,4820
jan,15,6.15,401,4.94,4850
jan,16,6.15,401,4.94,4750
jan,17,6.15,401,4.94,4690
jan,18,6.15,401,4.94,4650
jan,19,6.15,401,4.94,4710
jan,20,6.15,401,4.94,4660
jan,1,5.7,611,2.94,5075.5
jan,2,5.7,611,2.94,5050
jan,3,5.7,611,2.94,5075.5
jan,4,5.7,611,2.94,5075.5
jan,5,5.7,611,2.94,5167.5
jan,6,5.7,611,2.94,5575
jan,7,5.7,611,2.94,5168
jan,8,5.7,611,2.94,5252.5
jan,9,5.7,611,2.94,5050.5
jan,10,5.7,611,2.94,5435.5
jan,11,5.7,611,2.94,4875.5
jan,12,5.7,611,2.94,5256.3
jan,13,5.7,611,2.94,5127
jan,14,5.7,611,2.94,5419.5
jan,15,5.7,611,2.94,4994.5
jan,16,5.7,611,2.94,5025
jan,17,5.7,611,2.94,5908
jan,18,5.7,611,2.94,5525.5
jan,19,5.7,611,2.94,5617
jan,20,5.7,611,2.94,5617
jan,1,6.65,549,4.86,5350
jan,2,6.65,549,4.86,5310
jan,3,6.65,549,4.86,5430
jan,4,6.65,549,4.86,5490
jan,5,6.65,549,4.86,5470
jan,6,6.65,549,4.86,5390
jan,7,6.65,549,4.86,5450
jan,8,6.65,549,4.86,5290
jan,9,6.65,549,4.86,5420
jan,10,6.65,549,4.86,5410
jan,11,6.65,549,4.86,5370
jan,12,6.65,549,4.86,5470
jan,13,6.65,549,4.86,5420
jan,14,6.65,549,4.86,5350
jan,15,6.65,549,4.86,5350
jan,16,6.65,549,4.86,5520
jan,17,6.65,549,4.86,5490
jan,18,6.65,549,4.86,5520
jan,19,6.65,549,4.86,5310
jan,20,6.65,549,4.86,5295
jan,1,7.08,552,7.66,5501
jan,2,7.08,552,7.66,5520
jan,3,7.08,552,7.66,5510
jan,4,7.08,552,7.66,5560
jan,5,7.08,552,7.66,5540
jan,6,7.08,552,7.66,5490
jan,7,7.08,552,7.66,5450
jan,8,7.08,552,7.66,5560
jan,9,7.08,552,7.66,5400
jan,10,7.08,552,7.66,5350
jan,11,7.08,552,7.66,5470
jan,12,7.08,552,7.66,5470
jan,13,7.08,552,7.66,5550
jan,14,7.08,552,7.66,5470
jan,15,7.08,552,7.66,5540
jan,16,7.08,552,7.66,5470
jan,17,7.08,552,7.66,5490
jan,18,7.08,552,7.66,5470
jan,19,7.08,552,7.66,5550
jan,20,7.08,552,7.66,5521
jan,1,7.01,534,6.76,5225
jan,2,7.01,534,6.76,5212
jan,3,7.01,534,6.76,5250
jan,4,7.01,534,6.76,5250
jan,5,7.01,534,6.76,5402
jan,6,7.01,534,6.76,5450
jan,7,7.01,534,6.76,5525
jan,8,7.01,534,6.76,5371
jan,9,7.01,534,6.76,5521
jan,10,7.01,534,6.76,5406
jan,11,7.01,534,6.76,5412
jan,12,7.01,534,6.76,5350
jan,13,7.01,534,6.76,5390
jan,14,7.01,534,6.76,5481
jan,15,7.01,534,6.76,5310
jan,16,7.01,534,6.76,5311
jan,17,7.01,534,6.76,5270
jan,18,7.01,534,6.76,5121
jan,19,7.01,534,6.76,5041
jan,20,7.01,534,6.76,5041
