month,date,area_sown,yield,inflation,price
march,1,6.15,401,4.94,4010
march,2,6.15,401,4.94,4090
march,3,6.15,401,4.94,4090
march,4,6.15,401,4.94,3980
march,5,6.15,401,4.94,3940
march,6,6.15,401,4.94,3990
march,7,6.15,401,4.94,3980
march,8,6.15,401,4.94,3990
march,9,6.15,401,4.94,4050
march,10,6.15,401,4.94,3990
march,11,6.15,401,4.94,4050
march,12,6.15,401,4.94,4150
march,13,6.15,401,4.94,4190
march,14,6.15,401,4.94,4150
march,15,6.15,401,4.94,4180
march,16,6.15,401,4.94,4250
march,17,6.15,401,4.94,4399
march,18,6.15,401,4.94,4450
march,19,6.15,401,4.94,4350
march,20,6.15,401,4.94,4500
march,1,5.7,611,2.94,4542.5
march,2,5.7,611,2.94,4483
march,3,5.7,611,2.94,4565
march,4,5.7,611,2.94,4690
march,5,5.7,611,2.94,4600.5
march,6,5.7,611,2.94,4650
march,7,5.7,611,2.94,4366.5
march,8,5.7,611,2.94,4621
march,9,5.7,611,2.94,4621
march,10,5.7,611,2.94,4635.5
march,11,5.7,611,2.94,4575.5
march,12,5.7,611,2.94,4495.5
march,13,5.7,611,2.94,4496.5
march,14,5.7,611,2.94,4492.5
march,15,5.7,611,2.94,4581
march,16,5.7,611,2.94,4490
march,17,5.7,611,2.94,4512.5
march,18,5.7,611,2.94,4585.5
march,19,5.7,611,2.94,4587.5
march,20,5.7,611,2.94,4600
march,1,6.65,549,4.86,5980
march,2,6.65,549,4.86,5910
march,3,6.65,549,4.86,5910
march,4,6.65,549,4.86,6080
march,5,6.65,549,4.86,6000
march,6,6.65,549,4.86,6010
march,7,6.65,549,4.86,5990
march,8,6.65,549,4.86,6000
march,9,6.65,549,4.86,6100
march,10,6.65,549,4.86,5820
march,11,6.65,549,4.86,5940
march,12,6.65,549,4.86,6090
march,13,6.65,549,4.86,5900
march,14,6.65,549,4.86,6180
march,15,6.65,549,4.86,6000
march,16,6.65,549,4.86,6000
march,17,6.65,549,4.86,6050
march,18,6.65,549,4.86,6000
march,19,6.65,549,4.86,5899
march,20,6.65,549,4.86,5990
march,1,7.08,552,7.66,5220
march,2,7.08,552,7.66,5210
march,3,7.08,552,7.66,5110
march,4,7.08,552,7.66,5070
march,5,7.08,552,7.66,5035
march,6,7.08,552,7.66,4990
march,7,7.08,552,7.66,4890
march,8,7.08,552,7.66,4850
march,9,7.08,552,7.66,4850
march,10,7.08,552,7.66,4950
march,11,7.08,552,7.66,4950
march,12,7.08,552,7.66,4950
march,13,7.08,552,7.66,5010
march,14,7.08,552,7.66,4950
march,15,7.08,552,7.66,4950
march,16,7.08,552,7.66,4950
march,17,7.08,552,7.66,4890
march,18,7.08,552,7.66,4920
march,19,7.08,552,7.66,4890
march,20,7.08,552,7.66,4810
march,1,7.01,534,6.76,5460
march,2,7.01,534,6.76,5470
march,3,7.01,534,6.76,5451
march,4,7.01,534,6.76,5550
march,5,7.01,534,6.76,5650
march,6,7.01,534,6.76,5570
march,7,7.01,534,6.76,5540
march,8,7.01,534,6.76,5551
march,9,7.01,534,6.76,5550
march,10,7.01,534,6.76,5570
march,11,7.01,534,6.76,5510
march,12,7.01,534,6.76,5750
march,13,7.01,534,6.76,5710
march,14,7.01,534,6.76,5910
march,15,7.01,534,6.76,6150
march,16,7.01,534,6.76,6190
march,17,7.01,534,6.76,6100
march,18,7.01,534,6.76,6180
march,19,7.01,534,6.76,6174
march,20,7.01,534,6.76,6250
