month,date,area_sown,yield,inflation,price
nov,1,6.65,549,4.86,4700
nov,2,6.65,549,4.86,4650
nov,3,6.65,549,4.86,4750
nov,4,6.65,549,4.86,4350
nov,5,6.65,549,4.86,4450
nov,6,6.65,549,4.86,4190
nov,7,6.65,549,4.86,4150
nov,8,6.65,549,4.86,4120
nov,9,6.65,549,4.86,4190
nov,10,6.65,549,4.86,4250
nov,11,6.65,549,4.86,4220
nov,12,6.65,549,4.86,4270
nov,13,6.65,549,4.86,4290
nov,14,6.65,549,4.86,4290
nov,15,6.65,549,4.86,4120
nov,16,6.65,549,4.86,4290
nov,17,6.65,549,4.86,4190
nov,18,6.65,549,4.86,4290
nov,19,6.65,549,4.86,4290
nov,20,6.65,549,4.86,4290
nov,1,7.08,552,7.66,4610.5
nov,2,7.08,552,7.66,5040
nov,3,7.08,552,7.66,5050
nov,4,7.08,552,7.66,5330.5
nov,5,7.08,552,7.66,5165
nov,6,7.08,552,7.66,4728
nov,7,7.08,552,7.66,5265
nov,8,7.08,552,7.66,5234
nov,9,7.08,552,7.66,5311
nov,10,7.08,552,7.66,5333.5
nov,11,7.08,552,7.66,4850.5
nov,12,7.08,552,7.66,4800
nov,13,7.08,552,7.66,4743
nov,14,7.08,552,7.66,4743
nov,15,7.08,552,7.66,5103.5
nov,16,7.08,552,7.66,5161
nov,17,7.08,552,7.66,5112.5
nov,18,7.08,552,7.66,5190
nov,19,7.08,552,7.66,4647.5
nov,20,7.08,552,7.66,4624
nov,1,7.01,534,6.76,5256
nov,2,7.01,534,6.76,5250
nov,3,7.01,534,6.76,5450
nov,4,7.01,534,6.76,5350
nov,5,7.01,534,6.76,5510
nov,6,7.01,534,6.76,5550
nov,7,7.01,534,6.76,5550
nov,8,7.01,534,6.76,5710
nov,9,7.01,534,6.76,5650
nov,10,7.01,534,6.76,5690
nov,11,7.01,534,6.76,5550
nov,12,7.01,534,6.76,5442
nov,13,7.01,534,6.76,5450
nov,14,7.01,534,6.76,5460
nov,15,7.01,534,6.76,5660
nov,16,7.01,534,6.76,5460
nov,17,7.01,534,6.76,5482
nov,18,7.01,534,6.76,5482
nov,19,7.01,534,6.76,5448
nov,20,7.01,534,6.76,5401
