month,date,price
dec,1,4100
dec,2,4200
dec,3,4200
dec,4,4294
dec,5,4200
dec,6,4225
dec,7,4248
dec,8,4200
dec,9,4200
dec,10,4258
dec,11,4266
dec,12,4000
dec,13,4300
dec,14,4300
dec,15,4000
dec,16,4300
dec,17,4400
dec,18,4350
dec,19,4550
dec,20,4450
dec,1,4260
dec,2,4285
dec,3,4260
dec,4,4225
dec,5,4225
dec,6,4125
dec,7,4230
dec,8,4200
dec,9,4075
dec,10,4115
dec,11,4150
dec,12,4150
dec,13,4191
dec,14,4125
dec,15,4215
dec,16,4200
dec,17,4200
dec,18,4140
dec,19,4130
dec,20,4120
dec,1,5400
dec,2,5400
dec,3,5450
dec,4,5422
dec,5,5342
dec,6,5459
dec,7,5418
dec,8,5300
dec,9,5390
dec,10,5421
dec,11,5450
dec,12,5400
dec,13,5411
dec,14,5374
dec,15,5300
dec,16,5358
dec,17,5270
dec,18,4625
dec,19,5335
dec,20,5400
