month,date,area_sown,yield,inflation,price
march,1,6.15,401,4.94,4000
march,2,6.15,401,4.94,4000
march,3,6.15,401,4.94,4000
march,4,6.15,401,4.94,4000
march,5,6.15,401,4.94,4000
march,6,6.15,401,4.94,4000
march,7,6.15,401,4.94,4000
march,8,6.15,401,4.94,4000
march,9,6.15,401,4.94,4650
march,10,6.15,401,4.94,4000
march,11,6.15,401,4.94,4000
march,12,6.15,401,4.94,4000
march,13,6.15,401,4.94,4000
march,14,6.15,401,4.94,4000
march,15,6.15,401,4.94,4000
march,16,6.15,401,4.94,4231
march,17,6.15,401,4.94,4100
march,18,6.15,401,4.94,4200
march,19,6.15,401,4.94,4000
march,20,6.15,401,4.94,4320
march,1,5.7,611,2.94,4675
march,2,5.7,611,2.94,4621
march,3,5.7,611,2.94,4620
march,4,5.7,611,2.94,4621
march,5,5.7,611,2.94,4650
march,6,5.7,611,2.94,4642
march,7,5.7,611,2.94,4575
march,8,5.7,611,2.94,4559
march,9,5.7,611,2.94,4531
march,10,5.7,611,2.94,4560
march,11,5.7,611,2.94,4565
march,12,5.7,611,2.94,4565
march,13,5.7,611,2.94,4575
march,14,5.7,611,2.94,4575
march,15,5.7,611,2.94,4580
march,16,5.7,611,2.94,4580
march,17,5.7,611,2.94,4575
march,18,5.7,611,2.94,4570
march,19,5.7,611,2.94,4560
march,20,5.7,611,2.94,4850
march,1,6.65,549,4.86,5850
march,2,6.65,549,4.86,5900
march,3,6.65,549,4.86,6100
march,4,6.65,549,4.86,5610
march,5,6.65,549,4.86,6100
march,6,6.65,549,4.86,6000
march,7,6.65,549,4.86,6190
march,8,6.65,549,4.86,5900
march,9,6.65,549,4.86,6000
march,10,6.65,549,4.86,6040
march,11,6.65,549,4.86,5800
march,12,6.65,549,4.86,6185
march,13,6.65,549,4.86,6125
march,14,6.65,549,4.86,5984
march,15,6.65,549,4.86,5900
march,16,6.65,549,4.86,5925
march,17,6.65,549,4.86,6125
march,18,6.65,549,4.86,5984
march,19,6.65,549,4.86,5900
march,20,6.65,549,4.86,5925
march,1,7.08,552,7.66,4980
march,2,7.08,552,7.66,4810
march,3,7.08,552,7.66,5000
march,4,7.08,552,7.66,5010
march,5,7.08,552,7.66,5040
march,6,7.08,552,7.66,5000
march,7,7.08,552,7.66,4950
march,8,7.08,552,7.66,5000
march,9,7.08,552,7.66,4680
march,10,7.08,552,7.66,4230
march,11,7.08,552,7.66,4600
march,12,7.08,552,7.66,4100
march,13,7.08,552,7.66,4790
march,14,7.08,552,7.66,4825
march,15,7.08,552,7.66,4860
march,16,7.08,552,7.66,4800
march,17,7.08,552,7.66,4800
march,18,7.08,552,7.66,4640
march,19,7.08,552,7.66,4800
march,20,7.08,552,7.66,4747
march,1,7.01,534,6.76,5365
march,2,7.01,534,6.76,5370
march,3,7.01,534,6.76,5495
march,4,7.01,534,6.76,5535
march,5,7.01,534,6.76,5535
march,6,7.01,534,6.76,5530
march,7,7.01,534,6.76,5500
march,8,7.01,534,6.76,5621
march,9,7.01,534,6.76,5651
march,10,7.01,534,6.76,5650
march,11,7.01,534,6.76,5650
march,12,7.01,534,6.76,5750
march,13,7.01,534,6.76,5780
march,14,7.01,534,6.76,6020
march,15,7.01,534,6.76,6000
march,16,7.01,534,6.76,5940
march,17,7.01,534,6.76,6030
march,18,7.01,534,6.76,6065
march,19,7.01,534,6.76,6075
march,20,7.01,534,6.76,6065
