month,date,price
nov,1,4300
nov,2,4350
nov,3,4320
nov,4,4250
nov,5,4222
nov,6,4150
nov,7,4100
nov,8,4120
nov,9,4220
nov,10,4250
nov,11,4250
nov,12,4100
nov,13,4200
nov,14,4200
nov,15,4294
nov,16,4200
nov,17,4225
nov,18,4248
nov,19,4200
nov,20,4200
nov,1,4250
nov,2,4280
nov,3,4300
nov,4,4290
nov,5,4335
nov,6,4315
nov,7,4345
nov,8,4420
nov,9,4431
nov,10,4421
nov,11,4451
nov,12,4450
nov,13,4510
nov,14,4470
nov,15,4460
nov,16,4435
nov,17,4331
nov,18,4330
nov,19,4321
nov,20,4260
nov,1,5333
nov,2,5400
nov,3,5300
nov,4,5300
nov,5,5300
nov,6,5350
nov,7,5330
nov,8,5330
nov,9,5491
nov,10,5400
nov,11,5450
nov,12,5550
nov,13,5500
nov,14,5400
nov,15,5400
nov,16,5450
nov,17,5422
nov,18,5342
nov,19,5459
nov,20,5418
