month,date,price
oct,1,4200
oct,2,4300
oct,3,4320
oct,4,4300
oct,5,4350
oct,6,4450
oct,7,4432
oct,8,4350
oct,9,4450
oct,10,4500
oct,11,4510
oct,12,4510
oct,13,4530
oct,14,4500
oct,15,4500
oct,16,4593
oct,17,4530
oct,18,4520
oct,19,4550
oct,20,4650
oct,1,4455
oct,2,4420
oct,3,4431
oct,4,4381
oct,5,4380
oct,6,4321
oct,7,4292
oct,8,4260
oct,9,4300
oct,10,4321
oct,11,4300
oct,12,4300
oct,13,4300
oct,14,4300
oct,15,4311
oct,16,4345
oct,17,4290
oct,18,4200
oct,19,4250
oct,20,4280
oct,1,5100
oct,2,5020
oct,3,5000
oct,4,5100
oct,5,5100
oct,6,5100
oct,7,5200
oct,8,5000
oct,9,5277
oct,10,5200
oct,11,5300
oct,12,5200
oct,13,5275
oct,14,5280
oct,15,5200
oct,16,5249
oct,17,5300
oct,18,5300
oct,19,5300
oct,20,5300
