month,date,price
april,1,4064
april,2,3959
april,3,4094
april,4,4181
april,5,4250
april,6,4247
april,7,4266
april,8,4275
april,9,4244
april,10,4198
april,11,4182
april,12,4194
april,13,4171
april,14,4257
april,15,4355
april,16,4196
april,17,4323
april,18,4367
april,19,4415
april,20,4413
april,1,4279
april,2,4291
april,3,4329
april,4,4329
april,5,4484
april,6,4559
april,7,4777
april,8,4928
april,9,4883
april,10,4843
april,11,4911
april,12,4853
april,13,4858
april,14,4794
april,15,4740
april,16,4873
april,17,4844
april,18,4979
april,19,4927
april,20,4995
april,1,5589
april,2,5594
april,3,5656
april,4,5673
april,5,5392
april,6,5523
april,7,5501
april,8,5449
april,9,5492
april,10,5390
april,11,5284
april,12,5234
april,13,5159
april,14,5076
april,15,5098
april,16,5083
april,17,5084
april,18,5080
april,19,4972
april,20,5037
april,1,3572
april,2,3654
april,3,3918
april,4,3881
april,5,3804
april,6,3814
april,7,3820
april,8,3945
april,9,4038
april,10,4024
april,11,3983
april,12,3984
april,13,3970
april,14,3892
april,15,4040
april,16,4044
april,17,4078
april,18,4059
april,19,3940
april,20,4053
april,1,5917
april,2,5979
april,3,5973
april,4,5986
april,5,6164
april,6,6256
april,7,6200
april,8,6327
april,9,6255
april,10,6222
april,11,6305
april,12,6208
april,13,6248
april,14,6199
april,15,6264
april,16,6254
april,17,6294
april,18,6447
april,19,6253
april,20,6395
