month,date,price
jan,1,4067
jan,2,4052
jan,3,3951
jan,4,3970
jan,5,3996
jan,6,3987
jan,7,4006
jan,8,3895
jan,9,3913
jan,10,3846
jan,11,3825
jan,12,3815
jan,13,3788
jan,14,3820
jan,15,3807
jan,16,3801
jan,17,3773
jan,18,3730
jan,19,3730
jan,20,3732
jan,1,4936
jan,2,4896
jan,3,4912
jan,4,4890
jan,5,4878
jan,6,4861
jan,7,4588
jan,8,4767
jan,9,4746
jan,10,4662
jan,11,4683
jan,12,4745
jan,13,4720
jan,14,4686
jan,15,4695
jan,16,4340
jan,17,4259
jan,18,4245
jan,19,4439
jan,20,4296
jan,1,5455
jan,2,5501
jan,3,5507
jan,4,5617
jan,5,5611
jan,6,5614
jan,7,5637
jan,8,5636
jan,9,5698
jan,10,5735
jan,11,5700
jan,12,5712
jan,13,5769
jan,14,5807
jan,15,6059
jan,16,6025
jan,17,5954
jan,18,5933
jan,19,5869
jan,20,5810
jan,1,5238
jan,2,5262
jan,3,5193
jan,4,5179
jan,5,5238
jan,6,5240
jan,7,5166
jan,8,5151
jan,9,5150
jan,10,5110
jan,11,5177
jan,12,5046
jan,13,5084
jan,14,5140
jan,15,5261
jan,16,5282
jan,17,5255
jan,18,5253
jan,19,5202
jan,20,5050
jan,1,5682
jan,2,5708
jan,3,5722
jan,4,5706
jan,5,5733
jan,6,5657
jan,7,5646
jan,8,5531
jan,9,5472
jan,10,5564
jan,11,5581
jan,12,5585
jan,13,5609
jan,14,5619
jan,15,5577
jan,16,5584
jan,17,5563
jan,18,5500
jan,19,5402
jan,20,5421
jan,1,5216
jan,2,5193
jan,3,5224
jan,4,5225
jan,5,5131
jan,6,5160
jan,7,5162
jan,8,5175
jan,9,5211
jan,10,5294
jan,11,5220
jan,12,5221
jan,13,5215
jan,14,5245
jan,15,5228
jan,16,5217
jan,17,5237
jan,18,5122
jan,19,5105
jan,20,5002
