month,date,area_sown,yield,inflation,price
march,1,8.75,661,5.87,3801
march,2,8.75,661,5.87,3804
march,3,8.75,661,5.87,3838
march,4,8.75,661,5.87,3840
march,5,8.75,661,5.87,3829
march,6,8.75,661,5.87,3826
march,7,8.75,661,5.87,3806
march,8,8.75,661,5.87,3817
march,9,8.75,661,5.87,3850
march,10,8.75,661,5.87,3803
march,11,8.75,661,5.87,3817
march,12,8.75,661,5.87,3826
march,13,8.75,661,5.87,3880
march,14,8.75,661,5.87,3892
march,15,8.75,661,5.87,3872
march,16,8.75,661,5.87,3865
march,17,8.75,661,5.87,3913
march,18,8.75,661,5.87,3936
march,19,8.75,661,5.87,3930
march,20,8.75,661,5.87,3971
march,1,6.42,516,4.94,4417
march,2,6.42,516,4.94,4448
march,3,6.42,516,4.94,4427
march,4,6.42,516,4.94,4463
march,5,6.42,516,4.94,4420
march,6,6.42,516,4.94,4577
march,7,6.42,516,4.94,4383
march,8,6.42,516,4.94,4446
march,9,6.42,516,4.94,4540
march,10,6.42,516,4.94,4444
march,11,6.42,516,4.94,4398
march,12,6.42,516,4.94,4449
march,13,6.42,516,4.94,4329
march,14,6.42,516,4.94,4321
march,15,6.42,516,4.94,4284
march,16,6.42,516,4.94,4181
march,17,6.42,516,4.94,4086
march,18,6.42,516,4.94,4089
march,19,6.42,516,4.94,4006
march,20,6.42,516,4.94,4102
march,1,5.1,600,2.94,5834
march,2,5.1,600,2.94,5871
march,3,5.1,600,2.94,5901
march,4,5.1,600,2.94,5859
march,5,5.1,600,2.94,5834
march,6,5.1,600,2.94,5911
march,7,5.1,600,2.94,5860
march,8,5.1,600,2.94,5809
march,9,5.1,600,2.94,5785
march,10,5.1,600,2.94,5647
march,11,5.1,600,2.94,5705
march,12,5.1,600,2.94,5717
march,13,5.1,600,2.94,5704
march,14,5.1,600,2.94,5685
march,15,5.1,600,2.94,5660
march,16,5.1,600,2.94,5723
march,17,5.1,600,2.94,5680
march,18,5.1,600,2.94,5666
march,19,5.1,600,2.94,5629
march,20,5.1,600,2.94,5657
march,1,5.47,538,4.86,3887
march,2,5.47,538,4.86,3955
march,3,5.47,538,4.86,4053
march,4,5.47,538,4.86,3899
march,5,5.47,538,4.86,3958
march,6,5.47,538,4.86,4046
march,7,5.47,538,4.86,3942
march,8,5.47,538,4.86,3859
march,9,5.47,538,4.86,3646
march,10,5.47,538,4.86,3769
march,11,5.47,538,4.86,3404
march,12,5.47,538,4.86,3615
march,13,5.47,538,4.86,3390
march,14,5.47,538,4.86,3455
march,15,5.47,538,4.86,3492
march,16,5.47,538,4.86,3533
march,17,5.47,538,4.86,3487
march,18,5.47,538,4.86,3665
march,19,5.47,538,4.86,3516
march,20,5.47,538,4.86,3367
march,1,7.36,346,7.66,5247
march,2,7.36,346,7.66,5264
march,3,7.36,346,7.66,5316
march,4,7.36,346,7.66,5295
march,5,7.36,346,7.66,5350
march,6,7.36,346,7.66,5459
march,7,7.36,346,7.66,5461
march,8,7.36,346,7.66,5589
march,9,7.36,346,7.66,5681
march,10,7.36,346,7.66,5788
march,11,7.36,346,7.66,5842
march,12,7.36,346,7.66,5767
march,13,7.36,346,7.66,5832
march,14,7.36,346,7.66,5962
march,15,7.36,346,7.66,5813
march,16,7.36,346,7.66,5924
march,17,7.36,346,7.66,5858
march,18,7.36,346,7.66,5983
march,19,7.36,346,7.66,6004
march,20,7.36,346,7.66,6034
march,1,5.5,556,6.76,4540
march,2,5.5,556,6.76,4484
march,3,5.5,556,6.76,4545
march,4,5.5,556,6.76,4371
march,5,5.5,556,6.76,4337
march,6,5.5,556,6.76,4438
march,7,5.5,556,6.76,4552
march,8,5.5,556,6.76,4708
march,9,5.5,556,6.76,4699
march,10,5.5,556,6.76,4756
march,11,5.5,556,6.76,4569
march,12,5.5,556,6.76,4441
march,13,5.5,556,6.76,4517
march,14,5.5,556,6.76,4457
march,15,5.5,556,6.76,4535
march,16,5.5,556,6.76,4379
march,17,5.5,556,6.76,4377
march,18,5.5,556,6.76,4388
march,19,5.5,556,6.76,3879
march,20,5.5,556,6.76,3578
