month,date,area_sown,yield,inflation,price
may,1,8.75,661,5.87,4541
may,2,8.75,661,5.87,4505
may,3,8.75,661,5.87,4504
may,4,8.75,661,5.87,4541
may,5,8.75,661,5.87,4533
may,6,8.75,661,5.87,4567
may,7,8.75,661,5.87,4520
may,8,8.75,661,5.87,4463
may,9,8.75,661,5.87,4450
may,10,8.75,661,5.87,4380
may,11,8.75,661,5.87,4477
may,12,8.75,661,5.87,4419
may,13,8.75,661,5.87,4377
may,14,8.75,661,5.87,4360
may,15,8.75,661,5.87,4324
may,16,8.75,661,5.87,4244
may,17,8.75,661,5.87,4202
may,18,8.75,661,5.87,4296
may,19,8.75,661,5.87,4340
may,20,8.75,661,5.87,4308
may,1,6.42,516,4.94,5023
may,2,6.42,516,4.94,5008
may,3,6.42,516,4.94,5076
may,4,6.42,516,4.94,5039
may,5,6.42,516,4.94,4998
may,6,6.42,516,4.94,5024
may,7,6.42,516,4.94,4867
may,8,6.42,516,4.94,4984
may,9,6.42,516,4.94,4862
may,10,6.42,516,4.94,5009
may,11,6.42,516,4.94,5035
may,12,6.42,516,4.94,5051
may,13,6.42,516,4.94,5081
may,14,6.42,516,4.94,5053
may,15,6.42,516,4.94,5109
may,16,6.42,516,4.94,5087
may,17,6.42,516,4.94,5056
may,18,6.42,516,4.94,5192
may,19,6.42,516,4.94,5113
may,20,6.42,516,4.94,5115
may,1,5.1,600,2.94,5140
may,2,5.1,600,2.94,4972
may,3,5.1,600,2.94,5165
may,4,5.1,600,2.94,5167
may,5,5.1,600,2.94,5133
may,6,5.1,600,2.94,5109
may,7,5.1,600,2.94,5341
may,8,5.1,600,2.94,5077
may,9,5.1,600,2.94,5030
may,10,5.1,600,2.94,5092
may,11,5.1,600,2.94,5185
may,12,5.1,600,2.94,5269
may,13,5.1,600,2.94,5397
may,14,5.1,600,2.94,5130
may,15,5.1,600,2.94,5230
may,16,5.1,600,2.94,5012
may,17,5.1,600,2.94,5320
may,18,5.1,600,2.94,5137
may,19,5.1,600,2.94,5254
may,20,5.1,600,2.94,5258
may,1,5.47,538,4.86,4044
may,2,5.47,538,4.86,4078
may,3,5.47,538,4.86,4059
may,4,5.47,538,4.86,3940
may,5,5.47,538,4.86,4053
may,6,5.47,538,4.86,4115
may,7,5.47,538,4.86,3927
may,8,5.47,538,4.86,3866
may,9,5.47,538,4.86,4029
may,10,5.47,538,4.86,4336
may,11,5.47,538,4.86,4338
may,12,5.47,538,4.86,4360
may,13,5.47,538,4.86,4402
may,14,5.47,538,4.86,4558
may,15,5.47,538,4.86,4661
may,16,5.47,538,4.86,4776
may,17,5.47,538,4.86,4743
may,18,5.47,538,4.86,4692
may,19,5.47,538,4.86,4890
may,20,5.47,538,4.86,4839
may,1,7.36,346,7.66,6387
may,2,7.36,346,7.66,6453
may,3,7.36,346,7.66,6468
may,4,7.36,346,7.66,6430
may,5,7.36,346,7.66,6384
may,6,7.36,346,7.66,6429
may,7,7.36,346,7.66,6447
may,8,7.36,346,7.66,6242
may,9,7.36,346,7.66,6254
may,10,7.36,346,7.66,6193
may,11,7.36,346,7.66,6285
may,12,7.36,346,7.66,6208
may,13,7.36,346,7.66,6320
may,14,7.36,346,7.66,6154
may,15,7.36,346,7.66,6374
may,16,7.36,346,7.66,6270
may,17,7.36,346,7.66,6337
may,18,7.36,346,7.66,6122
may,19,7.36,346,7.66,6349
may,20,7.36,346,7.66,6201
may,1,5.5,556,6.76,3375
may,2,5.5,556,6.76,3532
may,3,5.5,556,6.76,3269
may,4,5.5,556,6.76,3268
may,5,5.5,556,6.76,3312
may,6,5.5,556,6.76,3159
may,7,5.5,556,6.76,2981
may,8,5.5,556,6.76,3185
may,9,5.5,556,6.76,3179
may,10,5.5,556,6.76,3413
may,11,5.5,556,6.76,3521
may,12,5.5,556,6.76,3747
may,13,5.5,556,6.76,3741
may,14,5.5,556,6.76,3917
may,15,5.5,556,6.76,3778
may,16,5.5,556,6.76,4060
may,17,5.5,556,6.76,3839
may,18,5.5,556,6.76,3791
may,19,5.5,556,6.76,3954
may,20,5.5,556,6.76,3844
